parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,2,1200-2020,1200,1200-2020,2,0.213,1.911151,5.526084,0.830857,-0.766044,0.213
1,2,1200-2020,2020,1200-2020,2,0.787,7.057241,-5.954761,6.385012,-6.023296,0.787
2,2,0202-2020,0202,0202-2020,2,0.405,-5.150858,2.914486,-3.89047,6.591929,0.405
2,2,0202-2020,2020,0202-2020,2,0.595,5.946396,-8.531371,6.405283,-4.663105,0.595
3,1,2020,2020,2020,1,1,5.982987,-4.28601,7.284748,-6.574712,1
4,2,0202-2020,2020,0202-2020,2,0.571,6.04579,-5.401005,7.392005,-8.336912,0.571
4,2,0202-2020,0202,0202-2020,2,0.429,-3.692556,5.912545,-0.93684,3.547156,0.429
5,2,2020-2210,2020,2020,2,0.207,3.301937,-2.064522,6.896839,-6.534181,0.207
5,2,2020-2210,2210,2020,2,0.793,2.507024,3.848631,2.760872,-2.631826,0.793
6,1,0202,0202,0202,1,1,-9.408039,5.950735,-1.871375,6.958254,1
7,1,0202,0202,0202,1,1,-9.116283,5.971052,-4.89945,6.359712,1
8,1,2020,2020,2020,1,1,7.219551,-11.103409,6.304776,-4.920581,1
9,3,0202-2020-2102,2020,0202-2020,3,0.447,6.145306,-5.901332,5.856022,-4.013745,0.447
9,3,0202-2020-2102,2102,0202-2020,3,0.401,2.05198,1.31269,-0.77134,4.807213,0.401
9,3,0202-2020-2102,0202,0202-2020,3,0.152,-2.716797,4.967302,-4.665465,7.160643,0.152
10,3,0202-2020-2200,2020,0202-2020,3,0.274,6.383422,-2.259333,3.016887,-1.843459,0.274
10,3,0202-2020-2200,0202,0202-2020,3,0.232,-4.116365,5.703408,-7.783813,6.485496,0.232
10,3,0202-2020-2200,2200,0202-2020,3,0.494,0.789714,4.257388,-2.767412,1.451176,0.494
11,2,0202-2020,0202,-1,2,0.941,-2.544223,7.391746,-7.786452,7.139545,0.941
11,2,0202-2020,2020,-1,2,0.059,5.909737,-1.124351,3.549285,0.088127,0.059
