2.230,2.406	112.903,0.031	0.030,214.122
1.332,7.019	38.231,0.284	0.016,83.247
4.560,1.682	290.921,0.058	0.166,102.218	10.597,102.218
1.542,1.328	109.502,0.015	0.023,80.500
48.220,0.050	0.267,79.700
68.220,0.183	0.011,1.575	0.011,94.858
0.003,76.384
3.115,1.409	0.497,112.594
0.012,22.780	0.012,100.223
2.992,0.449	21.921,0.005	0.093,32.380
1.142,0.377	85.098,0.012	0.035,36.410
0.372,230.443
1.677,0.643	136.961,0.036	0.140,49.525	11.473,49.525
0.002,163.327
0.446,1.706	0.125,104.933
1.180,0.108	78.324,0.003
3.664,1.982	272.327,0.058	0.442,75.975
0.611,1.294	47.457,0.035	0.162,116.596	12.567,116.596
8.324,0.029	340.373,0.029	0.995,27.917
105.939,1.923	0.059,108.497
91.951,0.029	91.951,1.659	0.015,164.596
7.112,1.056	358.281,0.075	0.415,101.285
0.429,6.353	39.149,0.131	0.042,405.090
1.534,5.019	150.703,0.086	0.039,300.883
13.244,0.017	109.892,0.017	0.576,96.656
72.837,0.164	0.032,9.356	0.032,297.519
1.066,0.094	59.489,0.002	1.066,5.810
1.597,0.171	116.368,0.002
93.612,0.025	1.538,12.530
1.236,2.360	40.148,0.085	0.017,96.795
0.054,1.158	5.213,1.158	0.001,110.064
2.072,0.239	60.870,0.008	0.024,11.738
436.765,0.250	0.108,16.057	0.108,56.028
2.491,2.004	125.441,0.081	0.066,179.926
17.235,0.002	224.022,0.002
0.184,0.702	0.006,54.148
2.395,0.929	114.600,0.066	0.391,90.705
0.101,1.053
0.945,2.657	83.076,0.043	0.011,104.002
103.726,0.125	0.618,151.400
0.697,1.398	39.408,0.033	0.023,101.551
186.904,0.339	4.907,602.064
0.359,2.218	0.005,140.534
58.160,0.075	0.028,85.141
1.399,1.512	61.980,0.020	0.015,116.804
0.122,0.409	0.004,24.150
341.082,0.006	0.394,24.483
0.003,4.934	0.003,331.243
68.383,0.058	0.008,3.403	0.008,40.149
0.143,1.341	13.413,1.341	0.143,21.793	13.413,21.793
1.993,2.425	97.266,0.033	0.046,183.129
2.172,0.773	113.532,0.009	0.026,77.248
139.843,0.063	0.084,276.707
107.017,1.002	107.017,21.451	1.740,256.845
3.813,0.109	236.974,0.109	0.211,117.396
0.012,2.174	0.012,136.775
3.566,1.443	68.915,0.221	68.915,17.843	0.062,116.613
0.954,3.814	54.829,0.049	0.011,83.711
1.112,1.593	56.102,0.018	0.061,91.445	3.054,91.445
2.821,3.945	115.381,0.045	115.381,4.418	0.048,391.050
0.167,2.839	0.021,169.464
149.141,0.025	0.161,86.456
64.454,0.238	0.026,443.574
1.713,0.190	89.465,0.002
1.847,0.173	117.959,0.003	1.847,16.048
1.056,1.562	60.990,0.041	0.012,102.391
0.124,0.825	0.001,46.206
1.372,0.783	106.465,0.027	0.015,30.732
23.503,0.038	126.060,0.038	4.572,91.657
0.126,0.696	0.003,52.888
3.088,0.233	204.997,0.005
1.742,1.926	139.753,0.134	0.031,169.320
119.731,0.239	0.029,7.666	0.029,706.396
0.046,4.626	0.001,431.900
8.154,0.303	130.922,0.303	8.154,13.718	130.922,13.718	0.130,245.324
2.669,3.515	111.496,0.097	0.029,104.420
25.989,0.227	0.061,163.251	1.300,163.251
0.067,7.689	0.067,673.542
183.464,0.013	0.161,45.463	6.130,45.463
1.662,8.077	144.605,0.095	0.030,45.994
2.204,1.508	82.733,0.033	0.043,73.292
0.966,5.155	57.054,0.066	0.862,247.151
7.368,1.372	450.140,0.014	0.120,120.778
0.062,6.885	0.001,120.530
37.188,1.074	0.010,85.170
0.389,2.964	38.620,0.064	0.006,49.184
0.227,1.905	12.563,0.059	0.003,33.930
250.717,0.436	0.583,170.277
1.162,0.316	66.243,0.005	0.025,29.524
385.313,0.036	0.164,1.636	0.164,149.218
1.074,1.971	29.713,0.025	0.016,119.488
445.089,0.021	4.641,112.136
2.453,5.090	99.082,0.241	0.025,95.004
4.915,5.968	145.994,0.114	0.115,539.538
4.054,0.162	108.995,0.162	0.046,113.536
2.544,1.309	253.721,0.320	0.152,95.304	15.148,23.338
2.437,0.008	159.279,0.008
368.093,0.055	2.540,151.130
1.006,1.500	51.439,0.017	0.358,34.505
119.628,0.056	0.017,29.487
124.870,0.279	0.198,40.383
91.121,1.563	0.147,22.463	0.147,554.357
1.062,0.543	102.283,0.007	0.013,19.852
10.749,1.078	222.576,0.012	0.208,70.819
6.738,0.692	87.251,0.016	0.223,38.845
