241.491,0.052	241.491,2.952	0.047,81.996
39.871,0.385	0.013,10.236	0.013,293.501
0.911,0.119	48.832,0.001
3.476,3.250	140.887,0.097	0.079,192.991
0.718,0.973	22.050,0.024	0.010,91.140
35.583,0.802	0.008,173.817
128.976,0.089	0.150,110.160
20.556,0.923	0.015,2.552	0.015,116.737
1.099,0.331	80.750,0.005	0.034,20.789
5.448,4.143	112.098,0.429	0.096,242.449
0.377,2.567	0.009,102.766
0.175,0.948	17.068,0.948	0.006,79.315
1.929,0.081	117.415,0.001
1.265,1.239	119.298,0.023	1.128,102.872
0.496,3.463	0.007,155.107
1.082,1.012	70.342,0.037	0.039,65.756
250.286,1.227	250.286,21.624	1.285,78.336
1.036,0.747	99.362,0.016	0.013,12.197
99.651,0.356	99.651,3.216	0.022,64.588
5.930,0.205	79.107,0.205	0.059,128.222
2.473,0.049	143.355,0.049	0.085,106.509
0.338,0.358	31.170,0.221	0.063,35.066
0.890,1.834	32.585,0.034	0.022,115.093
0.907,0.241	79.836,0.004
3.145,11.388	150.276,0.212	0.199,260.375
207.296,0.089	207.296,1.329	0.784,31.194
318.402,0.044	0.418,112.712
0.005,632.496
0.035,3.624	0.002,84.344
11.774,0.029	626.035,0.029
32.607,0.474	0.019,20.214	0.019,118.913
3.672,0.042	51.098,0.042	0.552,58.145
1.778,0.709	161.357,0.047	0.027,52.033
4.116,0.077	259.004,0.077	0.050,29.624
190.881,0.152	0.032,3.369	0.032,158.133
347.552,0.054	0.232,149.709
312.238,1.283	0.516,94.735	5.337,94.735
0.015,437.318
99.368,0.091	0.259,66.261
39.554,0.773	0.037,103.647
2.313,1.182	154.442,0.177	0.030,48.476
6.918,0.382	159.853,0.382	0.262,473.362
1.004,2.575	84.190,0.029	0.090,140.582	7.558,140.582
0.008,198.013
0.288,2.407	20.446,0.115	0.004,76.743
71.963,0.515	0.077,296.663
0.684,5.445	26.916,0.210	0.045,141.075
0.629,0.821	38.564,0.010	0.013,79.237
57.375,0.042	0.070,125.486
363.265,0.042	0.243,59.332
0.454,4.242	24.206,0.064	0.007,110.693
0.519,2.022	47.361,0.045	0.007,63.337
6.136,1.507	154.104,1.507	0.643,150.318	16.159,92.757
0.059,5.292	0.059,113.588
0.533,0.633	50.741,0.041	0.006,20.552
6.022,0.972	72.606,0.028	0.096,73.117
344.319,0.037	0.077,72.117	3.938,72.117
0.746,0.143	57.876,0.006	0.018,8.266
318.711,0.043	0.425,123.772
0.446,0.290	43.662,0.115	0.007,28.587
101.552,0.042	0.320,50.127	1.148,50.127
0.044,2.364	0.001,55.185
0.415,0.664	37.804,0.040	0.011,61.464
0.295,6.652	26.237,0.096	0.003,122.324
1.249,0.666	83.015,0.016	0.014,24.964
215.180,0.142	0.379,496.370
2.648,0.481	98.630,0.006	2.648,7.358
7.189,2.675	148.860,0.034	0.339,258.214
1.298,1.102	105.878,0.091	0.023,67.392
0.002,9.319	0.002,524.892
0.025,248.376
0.206,4.733	0.006,59.996
0.945,1.309	93.806,0.019	0.114,69.221	11.318,69.221
188.189,0.016	0.578,89.540
149.096,0.129	0.116,5.841	0.116,110.927
58.794,0.076	0.017,98.244
1.740,3.685	148.271,0.101	0.028,124.118
45.256,3.414	0.015,59.413
0.003,13.024
1.900,4.341	48.610,0.051	0.057,201.282
377.288,0.469	0.875,86.399
0.044,235.958
119.006,0.016	0.053,61.471	1.231,61.471
6.311,0.381	93.366,0.381	0.406,140.836
2.277,4.545	127.501,0.046	0.031,256.799
19.333,4.142	4.769,234.606
0.049,1.519	0.002,81.842
6.287,0.688	139.105,0.007	0.322,31.928
417.353,0.010	0.554,54.241	8.789,54.241
23.655,0.079	0.017,194.945
2.575,1.236	37.939,0.013	0.058,62.971
125.078,0.539	0.022,243.433
2.195,1.467	128.507,0.032	0.093,67.567
32.952,0.245	0.016,8.749	0.016,227.626
234.103,0.150	234.103,10.961	0.516,435.067
0.072,1.336	7.057,1.336	0.001,68.527
0.236,0.872	23.559,0.026	0.005,60.898
0.399,1.709	0.005,102.150
10.627,0.814	445.058,0.008	1.608,74.531
0.318,3.152	28.727,0.077	0.005,104.935
3.463,0.148	209.195,0.012
141.535,0.638	0.022,621.971	1.865,621.971
3.445,0.877	189.200,0.053	0.053,54.750
24.791,0.095	0.033,3.203	0.033,230.541
0.652,3.076	21.072,0.045	0.009,202.313
131.504,1.045	0.081,14.840
0.001,517.906
1.770,0.099	115.982,0.005	0.031,9.059
18.750,0.329	0.004,76.072
535.804,0.035	0.133,20.544
6.237,0.004	143.828,0.004	0.188,40.609
166.690,0.045	0.026,3.382	0.026,161.000
2.487,1.453	77.907,0.087	77.907,4.164	0.036,69.523
1.244,0.060	29.287,0.060	0.024,226.749
0.884,1.059	39.935,0.012	0.027,105.054
4.380,0.486	432.196,0.006	1.143,43.985
1.598,2.595	38.928,0.027	0.021,240.099
217.206,0.073	0.142,330.994	8.772,330.994
135.104,0.211	0.051,14.867	0.051,271.519
0.337,0.943	0.004,45.249
0.149,0.036
48.068,0.159	0.025,5.389	0.025,336.597
2.888,1.527	281.039,0.015	0.058,147.875
3.459,1.888	120.462,0.024	0.037,185.368
99.197,0.020	0.184,1.245	0.184,103.263
0.003,97.085
5.752,0.002	128.936,0.002
43.644,0.008	0.563,54.358	1.334,54.358
1.301,1.178	117.532,0.056	0.016,89.158
452.645,0.076	0.127,183.902
0.437,9.448	31.648,0.215	0.009,59.678
1.937,4.767	82.464,0.050	0.075,128.521
62.820,0.045	0.146,65.246	1.254,65.246
3.271,0.595	122.318,0.007	0.039,34.991
1.633,1.953	67.355,0.034	0.025,141.415
44.483,0.082	0.056,4.546	3.988,4.546	0.056,435.421	3.988,435.421
1.418,8.882	106.724,1.231	0.026,161.068
349.037,0.245	0.167,466.196
1.983,1.563	114.677,0.018	0.028,117.704
73.515,11.937	0.017,243.745
124.688,0.064	0.091,4.258	0.091,231.457
89.837,0.027	89.837,1.830	0.158,113.755	6.168,113.755
2.032,0.168	170.365,0.002	0.148,14.818
0.095,11.274	0.006,98.007
1.294,3.266	114.358,0.076	0.016,133.999
1.599,2.211	157.551,0.054	0.019,174.536
138.300,0.027	1.528,125.988
4.512,0.035	124.039,0.035	0.059,120.915
2.483,1.943	200.464,0.035	0.033,109.578
1.101,1.471	78.872,0.033	0.021,80.132
1.970,1.300	100.586,0.021	0.023,104.696
226.805,0.129	1.133,121.595
10.121,0.154	108.812,0.154	0.106,12.869	0.106,292.575
1.298,7.327	69.017,0.128	69.017,11.655	0.182,666.452	9.684,666.452
5.685,0.160	381.374,0.160	0.070,303.295
3.191,10.038	68.524,0.155	0.061,220.563
106.753,0.903	0.026,332.649
14.724,2.441	226.805,0.040	5.395,121.595
84.683,0.170	0.703,9.394	0.703,217.090
290.768,0.917	290.768,8.490	1.166,43.216
0.720,0.745	60.899,0.010	0.022,52.895
6.175,2.035	317.355,0.040	0.080,60.773
175.816,0.209	0.027,116.702
0.394,0.258	36.882,0.003	0.004,19.279
1.295,0.852	111.687,0.123	0.024,69.749
0.523,9.219	41.856,0.114	0.009,254.795
3.278,1.589	106.253,0.037	0.047,118.892
1.453,0.249	111.657,0.029	0.043,12.665
48.218,0.037	0.021,1.369	0.021,132.197
2.506,1.390	113.680,0.041	0.061,66.156
0.861,0.620	75.727,0.090	0.021,47.760
11.517,0.749	412.858,0.749	0.121,88.028
