Phase,Count,Frequency
00,123,0.0123
00-01,9,9e-4
00-01-10,1,1e-4
00-01-20,15,0.0015
00-01-20-21,1,1e-4
00-02,186,0.0186
00-02-10,14,0.0014
00-02-20,328,0.0328
00-02-20-22,1,1e-4
00-10,6,6e-4
00-20,182,0.0182
01,8,8e-4
01-02,9,9e-4
01-02-11,1,1e-4
01-02-12-20,1,1e-4
01-02-20,36,0.0036
01-11-20,1,1e-4
01-20,27,0.0027
01-20-21,2,2e-4
01-21,3,3e-4
02,1469,0.1469
02-10,31,0.0031
02-10-20,32,0.0032
02-11-21,1,1e-4
02-12,12,0.0012
02-12-20,151,0.0151
02-12-20-21,8,8e-4
02-12-20-22,1,1e-4
02-12-21,1,1e-4
02-12-22,3,3e-4
02-20,5177,0.5177
02-20-21,160,0.016
02-20-22,50,0.005
02-21,121,0.0121
02-21-22,1,1e-4
02-22,37,0.0037
10,17,0.0017
10-20,15,0.0015
11-20,1,1e-4
12,17,0.0017
12-20,113,0.0113
12-20-21,1,1e-4
12-20-22,2,2e-4
12-21,4,4e-4
12-22,1,1e-4
20,1530,0.153
20-21,22,0.0022
20-22,26,0.0026
21,17,0.0017
22,25,0.0025
