Phase,Count,Frequency
3030-3302,1,1e-4
3030-3303,10,0.001
3030-3320,1,1e-4
3031,36,0.0036
3031-3303,1,1e-4
3032,7,7e-4
3033,7,7e-4
3100,2,2e-4
3101,1,1e-4
3103,4,4e-4
3110,4,4e-4
3120,4,4e-4
3130,32,0.0032
3130-3303,1,1e-4
3133,1,1e-4
3200,6,6e-4
3203,1,1e-4
3210,2,2e-4
3220,1,1e-4
3230,3,3e-4
3300,15,0.0015
3301,1,1e-4
3302,1,1e-4
3303,4,4e-4
3330,2,2e-4
