parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
8521,2,01-20,01,01-20,2,0.792,-2.708977,8.531491,0.792
8522,1,01,01,01,1,1,-3.963926,7.372055,1
8523,1,20,20,10-20,1,1,7.528632,0.041424,1
8524,2,01-21,01,01-21,2,0.391,-4.665032,7.521314,0.391
8524,2,01-21,21,01-21,2,0.609,1.350694,4.763566,0.609
8525,2,01-20,01,01-20,2,0.241,-1.063989,5.224106,0.241
8525,2,01-20,20,01-20,2,0.759,7.213614,-0.832527,0.759
8526,2,01-20,01,01-20,2,0.247,-2.96954,6.491101,0.247
8526,2,01-20,20,01-20,2,0.753,8.752559,0.190415,0.753
8527,2,01-20,20,01-20,2,0.031,3.884621,0.387063,0.031
8527,2,01-20,01,01-20,2,0.969,-8.423522,5.226891,0.969
8528,1,01,01,01,1,1,-8.343395,5.660186,1
8529,3,01-10-20,10,01-10-20,3,0.287,0.813241,-0.915496,0.287
8529,3,01-10-20,01,01-10-20,3,0.318,-4.40944,5.676293,0.318
8529,3,01-10-20,20,01-10-20,3,0.395,6.602503,-0.915496,0.395
8530,1,01,01,01,1,1,-2.785714,8.084495,1
8531,1,01,01,01,1,1,-5.895211,8.203314,1
8532,1,01,01,01,1,1,-8.636031,9.496451,1
8533,2,01-20,01,01-20,2,0.895,-7.70631,8.516816,0.895
8533,2,01-20,20,01-20,2,0.105,4.243551,2.194211,0.105
8534,2,01-20,20,01-20,2,0.112,5.879717,-0.149227,0.112
8534,2,01-20,01,01-20,2,0.888,-5.174614,6.236256,0.888
8535,3,01-10-20,20,01-10-20,3,0.603,7.141607,0.945418,0.603
8535,3,01-10-20,01,01-10-20,3,0.237,-2.332335,6.795208,0.237
8535,3,01-10-20,10,01-10-20,3,0.16,0.538673,0.94542,0.16
8536,2,01-20,01,01-20,2,0.309,-0.880144,5.738144,0.309
8536,2,01-20,20,01-20,2,0.691,7.0175,-0.056921,0.691
8537,2,01-20,01,01-20,2,0.622,-5.198179,7.022933,0.622
8537,2,01-20,20,01-20,2,0.378,6.207545,1.38337,0.378
8538,2,00-20,00,00-20,2,0.773,-1.236558,4.281846,0.773
8538,2,00-20,20,00-20,2,0.227,4.506172,1.574616,0.227
8539,2,01-20,01,01-20,2,0.94,-9.465268,6.534283,0.94
8539,2,01-20,20,01-20,2,0.06,2.881107,0.157446,0.06
8540,2,01-21,21,01-21,2,0.469,0.787794,2.329343,0.469
8540,2,01-21,01,01-21,2,0.531,-5.523055,6.112552,0.531
8541,2,01-20,20,01-20,2,0.591,7.396593,0.249414,0.591
8541,2,01-20,01,01-20,2,0.409,-3.249664,6.150932,0.409
8542,2,01-20,01,01-20,2,0.792,-4.041692,8.958844,0.792
8542,2,01-20,20,01-20,2,0.208,5.891802,2.663972,0.208
8543,3,01-11-20,01,01-11-20,3,0.15,-5.237342,6.916163,0.15
8543,3,01-11-20,20,01-11-20,3,0.665,6.649482,1.404939,0.665
8543,3,01-11-20,11,01-11-20,3,0.185,0.153041,6.916163,0.185
8544,3,01-10-20,10,01-10-20,3,0.162,0.763564,0.703998,0.162
8544,3,01-10-20,01,01-10-20,3,0.409,-5.150796,6.457952,0.409
8544,3,01-10-20,20,01-10-20,3,0.429,7.039198,0.703998,0.429
8545,2,01-20,01,01-20,2,0.614,-5.893031,3.112879,0.614
8545,2,01-20,20,01-20,2,0.386,5.645338,-2.327835,0.386
8546,2,01-20,01,01-20,2,0.734,-7.152952,4.996513,0.734
8546,2,01-20,20,01-20,2,0.266,4.206116,-0.475149,0.266
8547,1,20,20,20,1,1,7.073878,-1.141039,1
8548,2,01-20,20,01-20,2,0.64,6.984228,2.320509,0.64
8548,2,01-20,01,01-20,2,0.36,-3.860426,6.806538,0.36
8549,2,01-20,01,01-20,2,0.458,-3.430909,7.11207,0.458
8549,2,01-20,20,01-20,2,0.542,6.208363,1.198242,0.542
8550,2,01-20,20,01-20,2,0.423,5.53358,-0.311713,0.423
8550,2,01-20,01,01-20,2,0.577,-6.798764,5.521853,0.577
8551,2,01-21,21,01-21,2,0.683,2.771563,0.167047,0.683
8551,2,01-21,01,01-21,2,0.317,-2.252817,4.77853,0.317
8552,2,01-20,01,01-20,2,0.873,-6.549672,7.149242,0.873
8552,2,01-20,20,01-20,2,0.127,3.761118,0.883606,0.127
8553,2,01-20,01,01-20,2,0.867,-5.504088,7.130398,0.867
8553,2,01-20,20,01-20,2,0.133,6.228022,3.534507,0.133
8554,2,01-20,01,01-20,2,0.245,-1.226243,6.380952,0.245
8554,2,01-20,20,01-20,2,0.755,8.325185,0.834963,0.755
8555,2,01-20,01,01-20,2,0.745,-6.853421,7.077263,0.745
8555,2,01-20,20,01-20,2,0.255,5.507887,0.666556,0.255
8556,2,01-20,20,01-20,2,0.452,6.517743,1.792923,0.452
8556,2,01-20,01,01-20,2,0.548,-2.495738,6.381132,0.548
8557,2,01-20,20,01-20,2,0.547,6.030658,1.403918,0.547
8557,2,01-20,01,01-20,2,0.453,-3.3324,7.667542,0.453
8558,2,01-20,01,01-20,2,0.423,-4.402592,5.655627,0.423
8558,2,01-20,20,01-20,2,0.577,6.599321,0.215028,0.577
8559,3,01-10-20,20,01-10-20,3,0.416,6.094747,0.486196,0.416
8559,3,01-10-20,01,01-10-20,3,0.357,-5.640299,6.823824,0.357
8559,3,01-10-20,10,01-10-20,3,0.227,0.214893,0.486196,0.227
8560,1,01,01,01,1,1,-10.289687,6.147847,1
8561,3,01-10-20,01,01-10-20,3,0.934,-5.413994,8.655996,0.934
8561,3,01-10-20,20,01-10-20,3,0.039,4.907869,2.099927,0.039
8561,3,01-10-20,10,01-10-20,3,0.027,0.862853,2.099943,0.027
8562,1,01,01,01,1,1,-5.548671,7.073823,1
8563,2,01-20,20,01-20,2,0.352,6.917833,2.381739,0.352
8563,2,01-20,01,01-20,2,0.648,-5.071643,5.876856,0.648
8564,2,01-20,01,01-20,2,0.665,-8.69729,4.049795,0.665
8564,2,01-20,20,01-20,2,0.335,4.552658,-1.413254,0.335
8565,2,01-20,01,01-20,2,0.812,-6.053253,8.054824,0.812
8565,2,01-20,20,01-20,2,0.188,6.156112,1.804663,0.188
8566,2,01-20,20,01-20,2,0.384,6.013762,-0.740555,0.384
8566,2,01-20,01,01-20,2,0.616,-3.687246,5.611944,0.616
8567,2,01-20,20,01-20,2,0.873,8.413362,1.041381,0.873
