Phase,Count,Frequency
0013-0303-0310-3030-3310,1,1e-4
0013-0303-0311-2310-3030,1,1e-4
0013-0303-0330-1030-3030,1,1e-4
0013-0303-0330-3030,2,2e-4
0013-0303-1013-3030,1,1e-4
0013-0303-1030-3030,1,1e-4
0013-0303-1310-3030,1,1e-4
0013-0303-2013-3011-3030,1,1e-4
0013-0303-2013-3030-3031,1,1e-4
0013-0303-2023-3030,1,1e-4
0013-0303-2030-3030,1,1e-4
0013-0303-3003-3030,1,1e-4
0013-0303-3011-3030,1,1e-4
0013-0303-3013-3030,5,5e-4
0013-0303-3030,28,0.0028
0013-0303-3030-3032,1,1e-4
0013-0303-3030-3300,2,2e-4
0013-3013-3030,1,1e-4
0013-3030,2,2e-4
0023-0030-0033-0203-0303-0323-3030,1,1e-4
0023-0030-0303,1,1e-4
0023-0030-0303-0310-3030,1,1e-4
0023-0030-0303-0330-3030,1,1e-4
0023-0030-0303-3030,4,4e-4
0023-0031-0103-0303-3030,1,1e-4
0023-0032-0303-0332-3030,1,1e-4
0023-0032-0303-3030,1,1e-4
0023-0033-0303-3030,2,2e-4
0023-0103-0301-0303-3030,1,1e-4
0023-0103-0303-1023-3030,1,1e-4
0023-0103-0303-2300-3030,1,1e-4
0023-0103-0303-3002-3022-3030,1,1e-4
0023-0103-0303-3003-3030,1,1e-4
0023-0103-0303-3030,2,2e-4
0023-0300-0303-2300-3003-3030,1,1e-4
0023-0303-0330-2023-3030,1,1e-4
0023-0303-0330-3030,3,3e-4
0023-0303-1023-3030,1,1e-4
0023-0303-1030-1230-3030,1,1e-4
0023-0303-1030-3030-3200,1,1e-4
0023-0303-2003-2023-3030,1,1e-4
0023-0303-2023-3030,2,2e-4
0023-0303-3001-3030,1,1e-4
0023-0303-3003-3023,1,1e-4
0023-0303-3003-3023-3030,1,1e-4
0023-0303-3003-3030,1,1e-4
0023-0303-3023-3030,1,1e-4
0023-0303-3023-3030-3103-3300,1,1e-4
0023-0303-3030,50,0.005
0023-0303-3030-3033,1,1e-4
0023-0303-3030-3102-3302,1,1e-4
0023-0303-3030-3202-3302,1,1e-4
0023-0303-3030-3300,2,2e-4
0023-0303-3030-3301,1,1e-4
0023-0303-3031,2,2e-4
0023-0313-3030,1,1e-4
0023-0323-0330-3030,1,1e-4
0030,1,1e-4
0030-0031-0230-0231-0303-3030,1,1e-4
0030-0031-0303-0322-3030,1,1e-4
0030-0031-0303-0330-0331-3030,1,1e-4
0030-0031-0303-3030,5,5e-4
0030-0032-0230-0232-0303-3030,2,2e-4
0030-0032-0230-0303-0332-3030,1,1e-4
0030-0032-0303,1,1e-4
0030-0032-0303-0330-3030,1,1e-4
0030-0032-0303-3000-3030-3330,1,1e-4
0030-0032-0303-3003-3030-3032,1,1e-4
0030-0032-0303-3030,6,6e-4
0030-0032-0303-3030-3100,1,1e-4
0030-0033-0103-0303-3030,1,1e-4
0030-0033-0130-0133-0303-3030,3,3e-4
0030-0033-0230-0233-0303-3000-3030-3200,1,1e-4
0030-0033-0230-0233-0303-3030,2,2e-4
0030-0033-0230-0300-0303-3030,1,1e-4
0030-0033-0230-0303-3030-3300,1,1e-4
0030-0033-0303,4,4e-4
0030-0033-0303-0310-3030,1,1e-4
0030-0033-0303-0313-3030,2,2e-4
0030-0033-0303-0320-3030,1,1e-4
0030-0033-0303-0330,4,4e-4
0030-0033-0303-0330-0333-3030,1,1e-4
0030-0033-0303-0330-3003-3030-3130,1,1e-4
0030-0033-0303-0330-3030,16,0.0016
0030-0033-0303-3000-3003-3030,2,2e-4
0030-0033-0303-3000-3030,2,2e-4
0030-0033-0303-3003-3030,3,3e-4
0030-0033-0303-3030,46,0.0046
0030-0033-0303-3030-3103,1,1e-4
0030-0033-0303-3030-3200,1,1e-4
0030-0033-0303-3030-3230,1,1e-4
0030-0033-0330-0333,1,1e-4
0030-0033-3030,2,2e-4
0030-0100-0300-3000-3030,1,1e-4
0030-0103-0113-0303-3030,1,1e-4
0030-0103-0300-0303-0330-3003-3030,1,1e-4
0030-0103-0301-0303-3030,1,1e-4
0030-0103-0303,1,1e-4
0030-0103-0303-0330,1,1e-4
0030-0113-0303-3030,1,1e-4
0030-0123-0303-3030,1,1e-4
0030-0130-0300-0303-3030,1,1e-4
0030-0130-0303,1,1e-4
0030-0130-0303-3030,5,5e-4
0030-0130-0303-3030-3130,1,1e-4
0030-0230-0303-3030,9,9e-4
0030-0300-0302-0310-0312-0330-3030,1,1e-4
0030-0300-0303-0310-3030,2,2e-4
0030-0300-0303-0320,1,1e-4
0030-0300-0303-0320-2300-2320-3030,1,1e-4
0030-0300-0303-0330-3030,4,4e-4
0030-0300-0303-0330-3030-3300,1,1e-4
0030-0300-0303-1030,1,1e-4
0030-0300-0303-3000-3030,1,1e-4
0030-0300-0303-3030,9,9e-4
0030-0300-0320-3030-3200-3220,1,1e-4
0030-0300-3030,6,6e-4
0030-0301-0303-0330-3030,2,2e-4
0030-0301-0303-3030,6,6e-4
0030-0302-0303-0330-3030,2,2e-4
0030-0302-0303-3030,1,1e-4
0030-0303,12,0.0012
0030-0303-0310,1,1e-4
0030-0303-0310-0330-3030,1,1e-4
0030-0303-0310-3030,2,2e-4
0030-0303-0313-3030,2,2e-4
0030-0303-0320,1,1e-4
0030-0303-0320-0330,1,1e-4
0030-0303-0320-3030,1,1e-4
0030-0303-0320-3030-3300-3302-3320,1,1e-4
0030-0303-0321-3030,1,1e-4
0030-0303-0330,4,4e-4
0030-0303-0330-0331-3030,1,1e-4
0030-0303-0330-2030,1,1e-4
0030-0303-0330-3000-3030-3100,1,1e-4
0030-0303-0330-3003-3030,1,1e-4
0030-0303-0330-3010-3030,1,1e-4
0030-0303-0330-3030,33,0.0033
0030-0303-0330-3030-3130,1,1e-4
0030-0303-0330-3030-3230,1,1e-4
0030-0303-0330-3030-3300,1,1e-4
0030-0303-0330-3030-3300-3330,1,1e-4
0030-0303-0331,1,1e-4
0030-0303-3000-3001-3030,1,1e-4
0030-0303-3000-3003-3030,1,1e-4
0030-0303-3000-3030,14,0.0014
0030-0303-3000-3030-3100,1,1e-4
0030-0303-3003-3030,6,6e-4
0030-0303-3010-3030,3,3e-4
0030-0303-3013-3030,1,1e-4
0030-0303-3030,166,0.0166
0030-0303-3030-3100,1,1e-4
0030-0303-3030-3100-3300,1,1e-4
0030-0303-3030-3200,1,1e-4
0030-0303-3030-3300,4,4e-4
0030-0313-0330-3030,1,1e-4
0030-0313-3030,2,2e-4
0030-0330,1,1e-4
0030-2030,1,1e-4
0030-3030,5,5e-4
0031-0032-0131-0132-0303-3030,1,1e-4
0031-0033-0113-0303-3030,1,1e-4
0031-0033-0231-0233-0303-3030,1,1e-4
0031-0033-0231-0303-2003-2031-2033-3030,1,1e-4
0031-0033-0303-0331-0333-2033-3030,1,1e-4
0031-0033-0303-0331-0333-3030,1,1e-4
0031-0033-0303-1033-3030,1,1e-4
0031-0033-0303-3003-3030,1,1e-4
0031-0033-0303-3030,12,0.0012
0031-0033-0303-3030-3300,1,1e-4
0031-0103-0303-3003-3030,2,2e-4
0031-0103-0303-3030,1,1e-4
0031-0131-0303,1,1e-4
0031-0131-0303-3000-3030,1,1e-4
0031-0131-0303-3003-3030,1,1e-4
0031-0131-0303-3030,1,1e-4
0031-0230-0303-3030,1,1e-4
0031-0231-0303-3030,1,1e-4
0031-0303,5,5e-4
0031-0303-0331,1,1e-4
0031-0303-0331-0333-3030,1,1e-4
0031-0303-0331-3030,3,3e-4
0031-0303-1030-3030,1,1e-4
0031-0303-3000-3030,1,1e-4
0031-0303-3002-3030,1,1e-4
0031-0303-3003-3030,3,3e-4
0031-0303-3003-3030-3033-3103,1,1e-4
0031-0303-3010-3030,1,1e-4
0031-0303-3013-3030,1,1e-4
0031-0303-3030,25,0.0025
0031-0303-3030-3101-3103,1,1e-4
0031-0303-3030-3230,1,1e-4
0031-0303-3030-3301,1,1e-4
