parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
1,3,0010-0012-0312,0010,0010-0012-0312,3,0.5,16.027,0.001,77.02,0.207,0.5
1,3,0010-0012-0312,0012,0010-0012-0312,3,0.3333333333333333,16.027,0.12,77.018,16.907,0.3333333333333333
1,3,0010-0012-0312,0312,0010-0012-0312,3,1,2.557,11.822,3.924,16.907,1
2,2,0303-1010,1010,0303-1010,2,0.2,24.716,0.001,2.069,2.02,0.2
2,2,0303-1010,0303,0303-1010,2,0.25,0.433,1005.771,0.008,112.358,0.25
3,4,0010-0112-0310-0312,0112,0010-0112-0310-0312,4,0.25,14.181,0.542,1.471,43.6,0.25
3,4,0010-0112-0310-0312,0310,0010-0112-0310-0312,4,1,0.234,6.428,1.521,1.287,1
3,4,0010-0112-0310-0312,0312,0010-0112-0310-0312,4,0.5,0.234,40.527,1.446,43.6,0.5
3,4,0010-0112-0310-0312,0010,0010-0112-0310-0312,4,0.3333333333333333,14.181,0.086,56.959,1.287,0.3333333333333333
4,4,0303-1010-1013-1103,1013,0303-1010-1013-1103,4,0.5,79.104,0.006,1.577,62.418,0.5
4,4,0303-1010-1013-1103,1103,0303-1010-1013-1103,4,0.3333333333333333,79.104,0.24,0.095,62.418,0.3333333333333333
4,4,0303-1010-1013-1103,1010,0303-1010-1013-1103,4,1,79.104,0,94.378,1.166,1
4,4,0303-1010-1013-1103,0303,0303-1010-1013-1103,4,0.2,1.697,278.745,0.064,62.418,0.2
5,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.5,50.971,0.271,2.3,98.998,0.5
5,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,1,50.971,0,9.422,1.532,1
5,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.2,0.68,1155.058,0.045,98.998,0.2
5,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.25,0.68,12.41,0.183,1.532,0.25
6,3,0303-1010-1013,1010,0303-1010-1013,3,0.25,98.496,0,76.843,1.039,0.25
6,3,0303-1010-1013,0303,0303-1010-1013,3,0.3333333333333333,4.773,209.357,0.012,83.576,0.3333333333333333
6,3,0303-1010-1013,1013,0303-1010-1013,3,0.2,98.496,0.017,1.125,83.576,0.2
7,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,1,2.963,6.832,1.734,0.95,1
7,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.5,2.963,666.927,0.06,59.139,0.5
7,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.25,89.275,0.011,3.349,59.139,0.25
7,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.3333333333333333,89.275,0,96.287,0.95,0.3333333333333333
8,3,0312-1010-1012,1010,0312-1010-1012,3,1,83.849,0,92.868,1.394,1
8,3,0312-1010-1012,0312,0312-1010-1012,3,0.2,2.797,7.486,1.033,39.101,0.2
8,3,0312-1010-1012,1012,0312-1010-1012,3,0.5,83.849,0.002,92.737,39.101,0.5
9,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,1,115.506,0.038,1.01,133.296,1
9,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.3333333333333333,1.337,94.219,0.02,133.296,0.3333333333333333
9,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.2,115.506,0,98.998,1.657,0.2
9,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.25,1.339,0.963,1.924,1.657,0.25
10,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.2,66.693,0.11,0.72,167.086,0.2
10,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.25,66.693,0,37.022,1.705,0.25
10,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.5,0.743,30.852,0.42,1.705,0.5
10,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.3333333333333333,0.743,928.681,0.008,167.086,0.3333333333333333
11,3,1003-1010-1303,1303,1003-1010-1303,3,1,4.25,5.901,0.004,185.355,1
11,3,1003-1010-1303,1010,1003-1010-1303,3,0.5,77.46,0,10.634,1.895,0.5
11,3,1003-1010-1303,1003,1003-1010-1303,3,0.3333333333333333,77.46,0.129,0.353,185.355,0.3333333333333333
12,1,1010,1010,1010,1,0.25,89.275,0,92.868,2.031,0.25
13,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,1,4.966,1.247,28.02,2.617,1
13,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.2,4.965,540.69,0.375,97.977,0.2
13,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.5,168.18,0,176.525,2.617,0.5
13,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.3333333333333333,168.18,0.002,2.363,97.977,0.3333333333333333
14,3,1010-1013-1303,1303,1010-1013-1213-1303,3,0.5,18.657,28.945,0.127,110.434,0.5
14,3,1010-1013-1303,1013,1010-1013-1213-1303,3,1,125.093,0.02,3.46,110.434,1
14,3,1010-1013-1303,1010,1010-1013-1213-1303,3,0.2,125.093,0,75.351,1.244,0.2
15,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.5,2.992,50.954,0.775,3.642,0.5
15,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.3333333333333333,2.992,928.668,0.061,167.086,0.3333333333333333
15,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.25,86.005,0,37.022,3.642,0.25
15,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.2,86.005,0.003,2.925,167.086,0.2
16,2,0303-1010,1010,0303-1010,2,0.5,37.022,0,76.356,1.888,0.5
16,2,0303-1010,0303,0303-1010,2,1,1.32,1670.855,0.037,151.902,1
17,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.2,66.693,0,37.022,3.642,0.2
17,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,1,66.693,0.003,2.925,167.086,1
17,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.3333333333333333,0.691,50.955,0.775,3.642,0.3333333333333333
17,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.25,0.691,928.681,0.061,167.086,0.25
18,1,1010,1010,1010,1,0.5,114.352,0,67.462,0.367,0.5
19,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.25,1.551,1039.261,0.248,81.686,0.25
