Phase,RACIPE,DSGRN,JSD,Parameter,nState
002,0.07064064488756894,0.0731862537123462,0.03372806702821027,Phase,1
002-011-012-201-202-211,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-012-021-022-102-120,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-012-021-102,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-012-200,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-020,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-021,4.2426813746287653e-4,0,0.03372806702821027,Phase,1
002-021-022-102-121,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-021-102-200,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-022,4.2426813746287653e-4,0,0.03372806702821027,Phase,1
002-022-102-200,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-102,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-102-200,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-201,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-202,6.364022061943148e-4,0,0.03372806702821027,Phase,1
002-210,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-211-220,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
002-220,4.2426813746287653e-4,0,0.03372806702821027,Phase,1
012,0.05218498090793382,0.05960967331353415,0.03372806702821027,Phase,1
012-020,4.2426813746287653e-4,0,0.03372806702821027,Phase,1
012-020-021-022-112-120-202,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-020-021-102-120,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-020-021-112-202-210-211,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-020-102-201-202-211,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-021,4.2426813746287653e-4,0,0.03372806702821027,Phase,1
012-021-022-112-120-121,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-021-022-112-121-210,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-021-022-112-210,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
012-021-022-121-201,2.1213406873143826e-4,0,0.03372806702821027,Phase,1
