Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0022-0212-2020,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,3
0022-0212-2020-2110,1e-4,NA,NA,NA,NA,1,4
0022-2020,7e-4,3e-4,4e-4,4.6666666666666666e-4,2.0816659994661328e-4,1,2
0101,1e-4,NA,NA,NA,NA,1,1
0101-1001-1020,1e-4,NA,1e-4,NA,NA,1,3
0101-1020,1e-4,NA,NA,NA,NA,1,2
0101-2020,0.0011,0.0011,7e-4,9.666666666666667e-4,2.3094010767585034e-4,1,2
0102,0.002,0.0017,0.0013,0.0016666666666666666,3.5118845842842467e-4,1,1
0102-0110-2010,2e-4,4e-4,2e-4,2.666666666666667e-4,1.1547005383792516e-4,1,3
0102-0120-2020,3e-4,4e-4,1e-4,2.666666666666667e-4,1.5275252316519468e-4,1,3
0102-0121-2020,1e-4,1e-4,NA,NA,NA,1,3
0102-1002-1021-2020,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1,4
0102-1002-2001-2020,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,4
0102-1002-2020,0.0012,9e-4,0.001,0.0010333333333333334,1.5275252316519463e-4,1,3
0102-1010,1e-4,2e-4,NA,NA,NA,1,2
0102-1020,0.0015,0.0014,0.0017,0.0015333333333333334,1.5275252316519463e-4,1,2
0102-1020-1100,5e-4,2e-4,2e-4,3.0000000000000003e-4,1.7320508075688773e-4,1,3
0102-1020-1101,1e-4,1e-4,NA,NA,NA,1,3
0102-1020-1110,1e-4,NA,NA,NA,NA,1,3
0102-1101,1e-4,NA,NA,NA,NA,1,2
0102-1101-1110-2001-2010,1e-4,NA,NA,NA,NA,1,5
0102-2000,0.0018,9e-4,0.0019,0.0015333333333333334,5.507570547286102e-4,1,2
0102-2001,3e-4,2e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1,2
0102-2001-2010,1e-4,NA,1e-4,NA,NA,1,3
0102-2001-2020,0.0024,0.0015,0.0016,0.0018333333333333333,4.932882862316246e-4,1,3
0102-2010,0.0019,0.0016,0.002,0.0018333333333333333,2.0816659994661325e-4,1,2
0102-2010-2100,1e-4,1e-4,NA,NA,NA,1,3
0102-2020,0.0249,0.0273,0.0205,0.024233333333333332,0.0034486712417006833,1,2
0102-2020-2100,1e-4,5e-4,4e-4,3.333333333333333e-4,2.0816659994661328e-4,1,3
0111-0120-0201,1e-4,NA,NA,NA,NA,1,3
0111-2020,2e-4,2e-4,NA,NA,NA,1,2
0112-0120-0202,1e-4,5e-4,8e-4,4.6666666666666666e-4,3.5118845842842467e-4,1,3
0112-0120-0202-2011-2020,1e-4,1e-4,1e-4,1e-4,0,1,5
0112-0120-0202-2020,0.0016,0.0017,0.0017,0.0016666666666666666,5.773502691896248e-5,1,4
0112-0121-0202-2020,3e-4,5e-4,2e-4,3.333333333333333e-4,1.5275252316519468e-4,1,4
0112-0202,1e-4,1e-4,NA,NA,NA,1,2
0112-0202-1120-2020,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,4
0112-0202-2010,1e-4,NA,NA,NA,NA,1,3
0112-0202-2011-2020-2201,1e-4,NA,NA,NA,NA,1,5
0112-0202-2020,3e-4,6e-4,5e-4,4.6666666666666666e-4,1.5275252316519465e-4,1,3
0112-2020,1e-4,3e-4,NA,NA,NA,1,2
0120,1e-4,1e-4,1e-4,1e-4,0,1,1
0120-0200,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,2
0120-0200-1020,2e-4,1e-4,NA,NA,NA,1,3
0120-0200-2020,0.0014,0.0016,0.0021,0.0017,3.605551275463989e-4,1,3
0120-0201,1e-4,4e-4,3e-4,2.666666666666667e-4,1.5275252316519468e-4,1,2
0120-0201-0210-2020,1e-4,NA,NA,NA,NA,1,4
0120-0201-2020,0.0021,0.0019,0.0023,0.0021,1.9999999999999998e-4,1,3
0120-0202,0.0031,0.0036,0.0044,0.0037,6.557438524302003e-4,1,2
0120-0202-0210,2e-4,7e-4,4e-4,4.333333333333333e-4,2.5166114784235834e-4,1,3
0120-0202-0210-2020,0.0014,0.0036,0.0023,0.0024333333333333334,0.0011060440015358039,1,4
0120-0202-1002-1020,1e-4,NA,NA,NA,NA,1,4
0120-0202-1002-2020,2e-4,4e-4,4e-4,3.333333333333334e-4,1.1547005383792516e-4,1,4
0120-0202-1020,8e-4,4e-4,8e-4,6.666666666666668e-4,2.309401076758503e-4,1,3
