Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0112-0121-0202-1120-2020,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,5
0112-0121-0202-2012-2021,1e-4,NA,NA,NA,NA,1-10,5
0112-0121-0202-2020,0.0018,8e-4,7e-4,0.0011,6.08276253029822e-4,1-10,4
0112-0121-2020,4e-4,NA,NA,NA,NA,1-10,3
0112-0202,4e-4,1e-4,5e-4,3.333333333333333e-4,2.0816659994661328e-4,1-10,2
0112-0202-1012,1e-4,1e-4,NA,NA,NA,1-10,3
0112-0202-1012-2020,7e-4,6e-4,9e-4,7.333333333333333e-4,1.5275252316519468e-4,1-10,4
0112-0202-1111-1120-1201-2011-2020,4e-4,3e-4,2e-4,3.0000000000000003e-4,1e-4,1-10,7
0112-0202-1120-2020,0.0014,9e-4,6e-4,9.666666666666667e-4,4.0414518843273807e-4,1-10,4
0112-0202-2011-2020,7e-4,9e-4,0.001,8.666666666666666e-4,1.5275252316519468e-4,1-10,4
0112-0202-2012-2020,3e-4,5e-4,4e-4,4e-4,1.0000000000000002e-4,1-10,4
0112-0202-2020,0.0029,0.0029,0.0029,0.0029,0,1-10,3
0112-0202-2020-2200,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0112-1111-1120-2011-2020,1e-4,NA,NA,NA,NA,1-10,5
0112-1120-2020,1e-4,2e-4,NA,NA,NA,1-10,3
0112-2020,0.0013,9e-4,0.001,0.0010666666666666667,2.0816659994661325e-4,1-10,2
0120-0200-2020,3e-4,3e-4,4e-4,3.333333333333333e-4,5.7735026918962605e-5,1-10,3
0120-0201-2020,4e-4,2e-4,8e-4,4.6666666666666666e-4,3.0550504633038936e-4,1-10,3
0120-0202,0.002,0.0019,0.0015,0.0018,2.6457513110645904e-4,1-10,2
0120-0202-0210,3e-4,4e-4,4e-4,3.6666666666666667e-4,5.7735026918962605e-5,1-10,3
0120-0202-0210-2020,0.0035,0.0041,0.0037,0.003766666666666667,3.0550504633038947e-4,1-10,4
0120-0202-1002-2020,1e-4,3e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0120-0202-1020,3e-4,7e-4,3e-4,4.333333333333333e-4,2.309401076758503e-4,1-10,3
0120-0202-2001-2020,3e-4,1e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0120-0202-2020,0.0208,0.0224,0.0219,0.0217,8.185352771872454e-4,1-10,3
0120-0210,1e-4,NA,NA,NA,NA,1-10,2
0120-0210-2020,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0120-2020,8e-4,0.001,0.001,9.333333333333333e-4,1.1547005383792514e-4,1-10,2
0121,1e-4,NA,NA,NA,NA,1-10,1
0121-0202,7e-4,2e-4,3e-4,3.9999999999999996e-4,2.6457513110645904e-4,1-10,2
0121-0202-0211,1e-4,1e-4,1e-4,1e-4,0,1-10,3
0121-0202-0211-1021-2020,3e-4,3e-4,NA,NA,NA,1-10,5
0121-0202-0211-1120-1210-2020,2e-4,1e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,6
0121-0202-0211-2020,0.0014,0.0016,0.0017,0.0015666666666666667,1.5275252316519465e-4,1-10,4
0121-0202-1002-1021-2020,2e-4,4e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,5
0121-0202-1021-2020,6e-4,8e-4,9e-4,7.666666666666667e-4,1.5275252316519468e-4,1-10,4
0121-0202-1120,1e-4,NA,NA,NA,NA,1-10,3
