parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,2,0303-3030,0303,0003-0013-0303-3030,2,0.02,-4.170185,6.001571,-8.032969,5.646939,0.02
1,2,0303-3030,3030,0003-0013-0303-3030,2,0.98,6.185601,-12.154999,5.544937,-11.365812,0.98
2,4,0303-0330-3003-3030,0330,0203-0303-0330-3003-3020-3030,4,0.032,-4.960423,1.371113,0.759063,-3.753185,0.032
2,4,0303-0330-3003-3030,3003,0203-0303-0330-3003-3020-3030,4,0.127,1.586985,-6.428648,-5.616105,1.332824,0.127
2,4,0303-0330-3003-3030,3030,0203-0303-0330-3003-3020-3030,4,0.585,7.041339,-11.209442,5.851348,-7.693703,0.585
2,4,0303-0330-3003-3030,0303,0203-0303-0330-3003-3020-3030,4,0.256,-11.538616,6.160556,-10.728149,5.273295,0.256
3,2,0303-3030,3030,0303-3030,2,0.895,6.791953,-12.47557,7.067587,-11.046926,0.895
3,2,0303-3030,0303,0303-3030,2,0.105,-5.713899,5.781165,-8.748365,5.831442,0.105
4,4,0303-3030-3300-3330,3300,0303-0330-3030,4,0.099,-0.292416,5.363772,-3.861952,-4.851955,0.099
4,4,0303-3030-3300-3330,0303,0303-0330-3030,4,0.229,-8.436597,6.676317,-10.280949,4.834642,0.229
4,4,0303-3030-3300-3330,3030,0303-0330-3030,4,0.554,5.031492,-9.269144,5.860838,-11.326741,0.554
4,4,0303-3030-3300-3330,3330,0303-0330-3030,4,0.118,-0.289775,1.701053,1.033109,-11.259095,0.118
5,4,0303-2303-3030-3300,3030,0303-1300-2303-3030-3300,4,0.093,7.46589,-4.848484,4.654984,-10.0895,0.093
5,4,0303-2303-3030-3300,0303,0303-1300-2303-3030-3300,4,0.091,-6.021748,6.835607,-10.961012,5.802339,0.091
5,4,0303-2303-3030-3300,3300,0303-1300-2303-3030-3300,4,0.584,4.433181,4.739632,-8.131449,-3.652427,0.584
5,4,0303-2303-3030-3300,2303,0303-1300-2303-3030-3300,4,0.232,-0.155208,6.746479,-10.961012,2.091743,0.232
6,2,0303-3030,0303,0300-0303-1030-3030,2,0.447,-11.660952,5.756197,-11.795933,4.341695,0.447
6,2,0303-3030,3030,0300-0303-1030-3030,2,0.553,6.538698,-9.732251,7.307987,-13.422012,0.553
7,4,0303-3003-3030-3300,3003,0003-0303-3003-3030-3300,4,0.106,1.009021,-4.22422,-3.797988,0.081247,0.106
7,4,0303-3003-3030-3300,3030,0003-0303-3003-3030-3300,4,0.261,6.420016,-9.13982,2.820726,-11.07631,0.261
7,4,0303-3003-3030-3300,0303,0003-0303-3003-3030-3300,4,0.586,-12.352103,2.665578,-9.67271,6.531795,0.586
7,4,0303-3003-3030-3300,3300,0003-0303-3003-3030-3300,4,0.047,-0.164635,1.825588,-3.330462,-4.285235,0.047
8,5,0033-0303-0323-0330-3030,0330,0033-0303-0323-0330-2030-3030,5,0.222,-6.661439,-0.374407,0.348535,-3.439817,0.222
8,5,0033-0303-0323-0330-3030,3030,0033-0303-0323-0330-2030-3030,5,0.263,4.654985,-8.613774,5.942298,-6.403225,0.263
8,5,0033-0303-0323-0330-3030,0033,0033-0303-0323-0330-2030-3030,5,0.115,-7.196683,-5.339103,4.539749,1.812786,0.115
8,5,0033-0303-0323-0330-3030,0303,0033-0303-0323-0330-2030-3030,5,0.101,-13.073838,5.802346,-7.064835,6.36434,0.101
8,5,0033-0303-0323-0330-3030,0323,0033-0303-0323-0330-2030-3030,5,0.299,-12.978623,-0.332748,-1.113441,6.191412,0.299
9,5,0131-0133-0303-3030-3300,0303,0131-0133-0303-3030-3300,5,0.599,-9.264152,6.479901,-11.835189,6.1598560000000004,0.599
9,5,0131-0133-0303-3030-3300,0131,0131-0133-0303-3030-3300,5,0.037,-4.082203,-2.541055,4.373801,-2.232052,0.037
9,5,0131-0133-0303-3030-3300,3030,0131-0133-0303-3030-3300,5,0.228,7.479357,-8.835458,7.633914,-8.399515,0.228
9,5,0131-0133-0303-3030-3300,3300,0131-0133-0303-3030-3300,5,0.074,1.809991,0.177038,-5.350532,-3.522929,0.074
