parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,3,0121-0202-2020,0121,-1,3,0.173,0.223301,1.923516,3.101079,1.028094,0.173
1,3,0121-0202-2020,0202,-1,3,0.66,-5.283687,3.874723,-5.330888,6.11143,0.66
1,3,0121-0202-2020,2020,-1,3,0.167,5.275319,-0.030979,5.719401,-3.694642,0.167
2,2,0202-2020,0202,0202-2020,2,0.049,-1.305235,3.658974,-3.1400420000000002,6.367492,0.049
2,2,0202-2020,2020,0202-2020,2,0.951,5.336427,-5.549987,5.908447,-5.828603,0.951
3,3,0202-2020-2200,2200,0202-2020-2200,3,0.474,0.211255,3.257813,-1.167654,-1.416572,0.474
3,3,0202-2020-2200,2020,0202-2020-2200,3,0.346,6.34283,-2.867889,5.366625,-6.792668,0.346
3,3,0202-2020-2200,0202,0202-2020-2200,3,0.18,-4.653808,7.249373,-7.23181,5.097477,0.18
4,2,0202-2020,0202,0202-2020,2,0.311,-3.8999,6.267651,-2.97903,6.57092,0.311
4,2,0202-2020,2020,0202-2020,2,0.689,6.653156,-4.883897,6.367491,-0.352252,0.689
5,2,0202-2020,0202,0202-2020,2,0.563,-6.224087,3.658974,-4.150442,6.367492,0.563
5,2,0202-2020,2020,0202-2020,2,0.437,5.336427,-8.65899,5.908447,-2.680997,0.437
6,4,0112-0202-2012-2020,2012,0112-0202-2012-2020,4,0.061,2.410313,-5.27869,0.134776,3.805677,0.061
6,4,0112-0202-2012-2020,0112,0112-0202-2012-2020,4,0.112,-1.358878,1.243079,0.120278,5.794524,0.112
6,4,0112-0202-2012-2020,0202,0112-0202-2012-2020,4,0.216,-1.358879,7.16985,-3.382038,5.794532,0.216
6,4,0112-0202-2012-2020,2020,0112-0202-2012-2020,4,0.611,5.975694,-5.330464,6.441215,-2.69998,0.611
7,4,0202-1012-2011-2020,1012,0202-1201-2011-2020,4,0.15,0.710717,-2.046776,0.260187,2.706225,0.15
7,4,0202-1012-2011-2020,2020,0202-1201-2011-2020,4,0.339,6.900375,-7.43852,6.852088,-4.587066,0.339
7,4,0202-1012-2011-2020,2011,0202-1201-2011-2020,4,0.471,6.899697,-7.43852,0.260836,0.335888,0.471
7,4,0202-1012-2011-2020,0202,0202-1201-2011-2020,4,0.04,-5.262236,4.512679,-5.137424,5.350364,0.04
8,2,0202-2020,0202,0202-2020,2,0.659,-5.869514,4.621661,-4.395256,7.323115,0.659
8,2,0202-2020,2020,0202-2020,2,0.341,4.724725,-8.278068,5.542169,-4.910051,0.341
9,2,0202-2020,0202,0202-2001-2020,2,0.65,-5.501786,6.630072,-6.367429,6.438598,0.65
9,2,0202-2020,2020,0202-2001-2020,2,0.35,6.771177,-5.968363,5.522717,-3.608485,0.35
10,3,0202-1200-2020,1200,0202-1200-2020,3,0.564,0.645939,6.907418,0.875653,-0.073045,0.564
10,3,0202-1200-2020,0202,0202-1200-2020,3,0.276,-5.281556,6.907672,-5.2293,6.022736,0.276
10,3,0202-1200-2020,2020,0202-1200-2020,3,0.16,6.4315,-3.90528,6.149524,-6.739346,0.16
11,2,0202-2020,0202,0202-1021-2020,2,0.688,-2.979031,6.570919,-5.144219,7.401577,0.688
11,2,0202-2020,2020,0202-1021-2020,2,0.312,6.367492,-0.352252,6.819993,-5.205354,0.312
12,2,0202-2020,0202,0202-2020,2,0.96,-7.17324,6.310607,-7.997293,4.199029,0.96
12,2,0202-2020,2020,0202-2020,2,0.04,3.590039,-2.272831,5.167087,-6.027039,0.04
13,2,0202-2020,2020,0202-2020,2,0.927,7.323115,-4.748848,6.610756,-4.445498,0.927
13,2,0202-2020,0202,0202-2020,2,0.073,0.032511,6.174024,-2.125363,6.282247,0.073
14,4,0202-2011-2020-2101,2020,0202-2011-2020-2101,4,0.086,6.303117,-1.449383,6.290384,-6.09884,0.086
14,4,0202-2011-2020-2101,0202,0202-2011-2020-2101,4,0.805,-6.188989,7.087033,-5.081503,6.67845,0.805
14,4,0202-2011-2020-2101,2101,0202-2011-2020-2101,4,0.074,5.351507,1.863863,-4.960369,0.419929,0.074
14,4,0202-2011-2020-2101,2011,0202-2011-2020-2101,4,0.035,6.30297,-1.321973,0.607614,0.419923,0.035
15,4,0202-2020-2101-2110,0202,0202-2020-2101-2110,4,0.621,-4.494373,6.303117,-6.077348,6.290387,0.621
15,4,0202-2020-2101-2110,2020,0202-2020-2101-2110,4,0.195,7.113192,-2.284126,7.087031,-3.93605,0.195
15,4,0202-2020-2101-2110,2110,0202-2020-2101-2110,4,0.131,6.898125,1.299731,0.507933,-3.932039,0.131
15,4,0202-2020-2101-2110,2101,0202-2020-2101-2110,4,0.053,6.835231,1.299762,-4.989409,1.45892,0.053
16,3,0120-0202-2020,0202,0120-0202-2020,3,0.823,-8.464151,6.60986,-6.473919,5.367837,0.823
16,3,0120-0202-2020,0120,0120-0202-2020,3,0.12,-2.361017,0.279857,5.098896,-0.870101,0.12
16,3,0120-0202-2020,2020,0120-0202-2020,3,0.057,3.796526,-3.611225,5.098913,-6.950043,0.057
17,3,0012-0202-2020,2020,0012-0021-0202-2020,3,0.523,5.69964,-5.819074,6.01289,-4.483429,0.523
17,3,0012-0202-2020,0202,0012-0021-0202-2020,3,0.294,-7.07765,6.45389,-6.585544,7.406717,0.294
17,3,0012-0202-2020,0012,0012-0021-0202-2020,3,0.183,-0.588111,1.130055,5.76e-4,7.406175,0.183
18,2,0202-2020,0202,0202-2020,2,0.782,-6.65879,6.01289,-5.292849,6.898897,0.782
18,2,0202-2020,2020,0202-2020,2,0.218,5.303754,-6.096566,7.406717,-2.316094,0.218
19,2,0202-2020,2020,0202-2020,2,0.115,6.485135,-5.923039,4.818091,-1.684927,0.115
19,2,0202-2020,0202,0202-2020,2,0.885,-4.684666,4.630161,-6.333457,7.661597,0.885
20,3,0202-1200-2020,0202,0202-1200-2020,3,0.123,-4.318947,7.555917,-5.482823,5.566337,0.123
20,3,0202-1200-2020,2020,0202-1200-2020,3,0.289,3.554306,-3.835261,6.130454,-6.03111,0.289
20,3,0202-1200-2020,1200,0202-1200-2020,3,0.588,-0.306382,7.555908,0.47356,0.174607,0.588
21,3,0202-0211-2020,0202,0202-0211-2020,3,0.099,-4.75557,3.837535,-6.598929,6.241721,0.099
21,3,0202-0211-2020,2020,0202-0211-2020,3,0.612,6.072796,-6.286834,5.689176,-6.133495,0.612
21,3,0202-0211-2020,0211,0202-0211-2020,3,0.289,-4.75557,3.837534,-0.636595,0.132379,0.289
22,3,0202-2020-2100,2020,0202-2020-2100,3,0.284,6.604717,-2.162833,6.817049,-8.354556,0.284
22,3,0202-2020-2100,0202,0202-2020-2100,3,0.537,-3.454173,6.885656,-5.379114,3.590039,0.537
22,3,0202-2020-2100,2100,0202-2020-2100,3,0.179,6.527634,1.728167,0.783405,-2.695496,0.179
23,2,0202-2020,2020,0202-2020,2,0.766,6.202106,-7.171152,7.914556,-4.881545,0.766
