parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1172,2,0202-2020,0202,0202-2020,2,0.19,-5.634013,6.363541,-3.573882,5.497016,0.19
1172,2,0202-2020,2020,0202-2020,2,0.81,6.91733,-6.214218,6.431538,-6.74004,0.81
1173,3,0202-2020-2101,0202,0202-2020-2101,3,0.75,-6.207913,6.711444,-4.009556,7.185375,0.75
1173,3,0202-2020-2101,2020,0202-2020-2101,3,0.22,6.407753,-5.983246,7.284765,-5.178146,0.22
1173,3,0202-2020-2101,2101,0202-2020-2101,3,0.03,6.407752,0.539145,-4.009556,0.584257,0.03
1174,2,0202-2020,2020,0202-2020,2,0.18,5.71683,-4.543322,7.184008,-5.197377,0.18
1174,2,0202-2020,0202,0202-2020,2,0.82,-5.343623,8.169018,-5.735958,3.38725,0.82
1175,1,2020,2020,2020,1,1,9.600444,-0.8127,6.677011,-4.631089,1
1176,2,0202-2020,2020,0202-2020,2,0.91,7.047723,-7.992959,7.101837,-1.776759,0.91
1176,2,0202-2020,0202,0202-2020,2,0.09,-4.450047,4.112982,-3.621853,6.798789,0.09
1177,2,0202-2020,0202,0202-2020,2,0.26,-4.799326,5.418516,-3.155472,6.865329,0.26
1177,2,0202-2020,2020,0202-2020,2,0.74,6.817659,-2.566969,7.676606,-5.6828,0.74
1178,2,0202-2020,0202,0202-2020,2,0.78,-7.237287,7.046681,-2.345193,5.859899,0.78
1178,2,0202-2020,2020,0202-2020,2,0.22,5.203923,-5.22452,7.829929,-4.138976,0.22
1179,2,0202-2020,0202,0202-2020,2,0.89,-5.591566,7.930466,-6.754843,6.759225,0.89
1179,2,0202-2020,2020,0202-2020,2,0.11,6.828564,-4.833474,5.752061,-4.695568,0.11
1180,2,0202-2020,0202,0202-2020,2,0.66,-5.481787,6.775612,-3.676755,6.804415,0.66
1180,2,0202-2020,2020,0202-2020,2,0.34,5.906243,-4.80955,8.283229,-2.114921,0.34
1181,3,0202-2002-2020,2020,0202-2002-2020,3,0.08,6.296661,-8.098567,6.573058,-4.569507,0.08
1181,3,0202-2002-2020,2002,0202-2002-2020,3,0.73,2.895917,-3.020241,0.631944,1.466414,0.73
1181,3,0202-2002-2020,0202,0202-2002-2020,3,0.19,-3.665858,3.564426,-5.908243,7.727872,0.19
1182,2,0202-2021,0202,0202-2021,2,0.98,-4.980015,9.005547,-4.666833,8.495205,0.98
1182,2,0202-2021,2021,0202-2021,2,0.02,1.827031,-2.736971,6.357291,0.126939,0.02
1183,2,0202-2020,2020,0202-2020,2,0.88,6.080337,-4.712183,6.609423,-5.973768,0.88
1183,2,0202-2020,0202,0202-2020,2,0.12,-2.340921,6.874709,-3.405859,4.972639,0.12
1184,2,0212-2020,2020,0212-2020,2,0.08,5.117917,-3.525154,7.312954,-2.414231,0.08
1184,2,0212-2020,0212,0212-2020,2,0.92,-6.830351,2.597615,-3.305975,7.117604,0.92
1185,1,2020,2020,2020,1,1,6.978879,-2.923167,6.380177,-3.539506,1
1186,3,0202-1120-2020,1120,0202-1120-2020,3,0.54,-3.46e-4,-0.65219800000000006,6.047572,-5.9372490000000004,0.54
1186,3,0202-1120-2020,0202,0202-1120-2020,3,0.18,-5.904635,5.615261,-3.281432,5.922772,0.18
1186,3,0202-1120-2020,2020,0202-1120-2020,3,0.28,6.431384,-6.681188,6.047572,-5.937261,0.28
1187,3,0202-1022-2020,1022,0202-1022-2020,3,0.22,1.383341,-8.1904419999999991,3.100606,1.065726,0.22
1187,3,0202-1022-2020,0202,0202-1022-2020,3,0.05,-3.008985,4.895739,-2.467435,6.36787,0.05
1187,3,0202-1022-2020,2020,0202-1022-2020,3,0.73,6.496578,-8.1904419999999991,7.183189,-5.00595,0.73
1188,2,0202-2020,0202,0202-2020,2,0.26,-1.468816,6.377744,-2.571158,6.69337,0.26
1188,2,0202-2020,2020,0202-2020,2,0.74,7.039912,-2.74279,6.099926,-3.581441,0.74
1189,3,0202-2020-2021,2021,0202-2020,3,0.18,1.318904,-7.250811,3.477377,-0.736774,0.18
1189,3,0202-2020-2021,0202,0202-2020,3,0.34,-4.952268,4.613932,-9.180009,5.695254,0.34
1189,3,0202-2020-2021,2020,0202-2020,3,0.48,6.774557,-7.25082,3.477377,-2.075764,0.48
1190,4,0202-0220-2020-2102,2102,0202-0220-2020-2102,4,0.03,1.41442,0.418843,-3.854909,3.234488,0.03
1190,4,0202-0220-2020-2102,2020,0202-0220-2020-2102,4,0.19,5.16971,-2.461011,7.371483,-3.135397,0.19
1190,4,0202-0220-2020-2102,0202,0202-0220-2020-2102,4,0.29,-4.426434,6.805093,-3.85491,7.050238,0.29
1190,4,0202-0220-2020-2102,0220,0202-0220-2020-2102,4,0.49,-0.705747,5.163148,1.330005,0.680354,0.49
1191,2,0202-2020,0202,0202-2020,2,0.01,-5.833718,2.324868,-4.428751,5.550679,0.01
1191,2,0202-2020,2020,0202-2020,2,0.99,5.854027,-8.840746,8.260579,-6.714428,0.99
1192,2,0202-2020,2020,0202-2020,2,0.14,5.414266,-1.308372,6.404713,-6.827099,0.14
1192,2,0202-2020,0202,0202-2020,2,0.86,-5.785951,6.862019,-6.43804,5.447413,0.86
1193,2,0202-2020,2020,0202-2020,2,0.98,7.623867,-7.766894,8.746447,-4.126748,0.98
1193,2,0202-2020,0202,0202-2020,2,0.02,-2.859076,2.374781,-3.758267,6.870083,0.02
1194,2,0112-2020,2020,0112-2020,2,0.7,5.71998,-6.183557,6.805872,-4.369705,0.7
1194,2,0112-2020,0112,0112-2020,2,0.3,0.37831,0.275599,0.719365,6.96043,0.3
1195,1,0202,0202,0202,1,1,-6.654482,8.350472,-4.477738,7.427959,1
1196,2,0202-2020,2020,0202-2020,2,0.57,6.884917,-2.483996,7.680586,-4.662599,0.57
1196,2,0202-2020,0202,0202-2020,2,0.43,0.14614,8.873115,-1.45773,7.839377,0.43
1197,1,2020,2020,0202-2020,1,1,8.72676,-4.813833,8.448477,-6.78801,1
1198,2,0202-2020,2020,0202-2020,2,0.15,6.285443,-4.315818,5.384559,-4.460506,0.15
1198,2,0202-2020,0202,0202-2020,2,0.85,-5.366121,5.853583,-7.253689,7.775297,0.85
1199,3,0122-0202-2020,0202,0122-0202-2020,3,0.31,-2.990583,6.471628,-4.414605,7.781781,0.31
1199,3,0122-0202-2020,2020,0122-0202-2020,3,0.27,5.322487,-2.989339,8.146031,-3.57617,0.27
1199,3,0122-0202-2020,0122,0122-0202-2020,3,0.42,-2.990583,0.347084,2.161154,2.940092,0.42
1200,1,2020,2020,2020,1,1,7.739775,-6.345379,7.05941,-5.514321,1
1201,2,0202-2020,0202,0202-2020,2,0.01,-2.014073,4.033604,-1.469824,4.394824,0.01
1201,2,0202-2020,2020,0202-2020,2,0.99,8.376736,-8.46735,9.069656,-8.535673,0.99
1202,3,0202-1022-2020,2020,0202-1022-2020,3,0.28,5.246927,-5.584423,7.279091,-1.9341140000000001,0.28
1202,3,0202-1022-2020,0202,0202-1022-2020,3,0.33,-5.39903,6.608708,-3.826327,6.283915,0.33
1202,3,0202-1022-2020,1022,0202-1022-2020,3,0.39,1.000996,-5.582468,1.39343,3.170266,0.39
1203,3,0202-1200-2020,1200,0202-1200-2020,3,0.21,0.822222,2.997697,-1.348074,-0.382672,0.21
1203,3,0202-1200-2020,2020,0202-1200-2020,3,0.51,6.627955,-8.940525,3.620308,-4.082148,0.51
1203,3,0202-1200-2020,0202,0202-1200-2020,3,0.28,-4.49753,2.997697,-7.078912,5.559952,0.28
1204,3,0202-2020-2100,2020,0202-2020-2100,3,0.67,4.428282,-5.868498,5.030547,-9.403897,0.67
1204,3,0202-2020-2100,0202,0202-2020-2100,3,0.2,-6.903241,4.720224,-2.528358,3.247437,0.2
1204,3,0202-2020-2100,2100,0202-2020-2100,3,0.13,4.428282,-1.000596,-0.459084,-3.123863,0.13
1205,2,0202-2020,0202,0202-2020,2,0.07,-3.315215,9.124363,-4.370016,6.781125,0.07
1205,2,0202-2020,2020,0202-2020,2,0.93,7.278035,-1.598158,8.082151,-5.837016,0.93
1206,2,0202-2020,0202,0202-2020,2,0.13,-2.606867,6.576138,-2.750112,6.713399,0.13
1206,2,0202-2020,2020,0202-2020,2,0.87,6.982467,-5.283377,7.218777,-5.226348,0.87
1207,2,0202-1120,1120,-1,2,0.02,0.153115,1.476522,6.961913,-1.098469,0.02
