1.137,2.745	57.659,0.037	0.078,91.248
1.097,0.795	104.824,0.016	0.022,38.163
6.918,1.254	238.497,0.073	0.139,114.234
176.255,0.029	0.072,46.005
3.084,2.203	158.504,0.023	0.046,177.028
9.158,0.515	70.102,0.006	0.355,44.021
1.636,8.001	46.167,0.186	0.021,117.482
8.548,0.640	331.620,0.007	0.748,60.158
103.259,0.172	0.155,19.670
82.666,0.079	0.115,222.538
2.406,3.997	172.248,0.126	0.028,103.319
3.530,0.285	121.400,0.004
1.900,1.320	56.106,0.028	0.038,106.159
127.669,0.140	0.078,1.618	0.078,141.622
1.656,0.147	72.790,0.001
0.942,10.538	0.011,60.863
0.003,2.523	0.003,153.954
19.833,0.075	772.149,0.075	0.219,86.676
70.136,0.402	0.053,184.282
0.098,1.410	0.003,123.789
3.397,11.380	176.118,0.481	0.055,264.128
2.974,2.102	210.014,0.026	0.035,54.069
3.281,1.818	77.685,0.186	0.089,169.805
5.978,7.271	121.887,0.088	0.332,574.920
274.016,0.074	274.016,6.634	0.107,294.042
0.132,0.452
2.117,1.085	153.637,0.022	0.022,79.645
3.549,0.053	252.784,0.053	0.041,102.055
1.000,2.409	71.283,0.033	0.071,133.419
2.282,2.500	118.570,0.079	0.029,58.877
0.132,630.686
1.084,0.705	79.460,0.026	0.174,50.824
0.832,5.133	69.370,0.075	0.009,165.779
69.310,0.019	0.125,66.661
2.073,0.379	97.058,0.005	2.073,28.634
113.115,0.077	0.286,179.275	2.917,179.275
1.694,6.330	88.595,0.068	0.021,154.410
76.261,0.148	0.033,127.580
6.544,2.384	211.585,0.026	0.071,99.727
45.550,0.031	0.009,136.655
16.698,0.011	16.698,0.777	0.004,76.188
35.012,3.162	0.004,245.253
187.659,0.006
84.824,13.739	0.739,187.102
209.133,0.004
1.717,3.728	143.410,0.334	143.410,24.046	0.027,268.105
326.483,0.445	0.172,375.420
84.587,0.044	0.157,23.977
80.279,0.046	0.570,130.936
0.110,1.963	7.563,1.963	0.007,154.716
131.228,0.018
76.511,0.674	76.511,6.011	0.033,75.343
9.496,3.681	163.142,0.053	0.402,83.032
0.087,4.445	0.005,184.672
2.128,1.298	139.954,0.057	0.243,121.648
0.089,4.102	0.001,55.507
5.505,0.862	272.871,0.010	0.062,56.967
26.688,0.196	0.005,286.526
3.999,1.722	272.775,0.029	0.070,103.614
1.185,0.570	94.947,0.082	0.025,19.398
0.558,22.367	0.006,283.606
0.001,1.848	0.001,32.891
161.397,0.051	0.024,80.272
113.394,0.484	0.041,116.268
55.413,0.046	55.413,1.941	0.114,140.855
144.329,0.005
0.193,2.039	0.003,98.516
2.330,1.331	41.646,0.017	0.315,84.512
1.559,0.710	140.197,0.008	0.018,28.018
1.111,0.655	46.831,0.026	0.017,57.376
1.264,8.443	109.323,0.240	0.041,440.887
3.923,0.532	49.772,0.007	0.047,41.470
185.000,0.215	0.038,80.493
12.862,0.040	143.410,0.040	0.154,268.105
64.491,0.618	64.491,6.714	0.147,104.794
118.880,0.173	118.880,3.216	0.093,155.186
