183.795,0.003
3.158,0.456	198.549,0.010	0.069,35.820
0.428,0.508	0.006,35.886
395.195,5.420	6.048,63.707
0.879,1.832	59.797,0.064	0.035,52.341
0.763,1.550	43.014,0.026
0.093,1.724	0.001,108.804
2.411,4.667	40.873,0.082	0.027,122.677
0.624,0.237	34.839,0.020	0.010,9.219
7.505,0.989	164.092,0.015	0.127,56.970
33.690,0.079	33.690,7.862	0.647,57.875
0.004,61.994
4.647,0.747	183.438,0.042	0.329,57.457
6.117,1.119	93.696,0.141	4.079,108.644
107.232,0.224	0.019,205.524
0.393,1.816	0.010,78.833
0.332,0.973	0.009,93.656
4.579,1.056	281.055,0.013	0.056,100.294
2.605,0.701	45.948,0.016	0.027,50.733
9.296,5.268	126.210,0.063	0.157,114.997
422.265,0.173	0.123,105.862
0.129,2.707	9.256,0.219	9.256,16.574	0.006,204.448
0.526,0.169	51.781,0.003	0.009,16.095
48.028,0.007	0.291,69.177
3.525,1.529	174.024,0.034	0.051,111.768
185.407,0.394	0.072,200.574	6.098,200.574
352.766,0.039	0.414,60.610
1.938,3.675	157.591,0.070
220.626,0.133	0.925,130.575
3.450,5.989	222.169,0.110	0.094,213.639
1.452,1.204	73.868,0.039
78.449,0.969	0.015,116.661
2.705,10.376	247.931,0.140	0.029,311.749
5.928,1.976	427.079,0.029	0.060,98.990
3.662,0.687	97.611,0.017	0.200,45.909
9.147,3.177	217.630,0.035	0.352,51.474
2.102,0.488	130.183,0.288
75.737,0.333	0.737,21.417	0.737,262.668
140.919,0.021	0.306,105.953
0.436,3.739	33.103,0.050	0.006,90.077
196.177,0.038	2.223,144.374
6.708,6.332	97.041,1.175	0.084,42.394
1.311,0.644	119.194,0.008	0.017,37.806
0.007,1.516	0.007,73.199
13.821,0.290	192.684,0.004	0.232,22.151
0.914,1.626	43.872,0.020	0.062,92.544
1.801,0.715	127.207,0.009	0.022,54.415
1.519,1.153	68.405,0.126	0.020,34.245
0.423,2.359	0.005,90.620
0.130,0.755	0.002,59.161
1.089,1.487	31.637,0.022	0.013,67.119
0.773,0.863	46.772,0.025	0.030,85.744
116.211,0.316	116.211,10.785	0.013,147.713
4.528,0.322	195.426,0.005	0.132,28.002
3.476,2.392	124.332,0.042	0.098,94.234
1.684,26.279	64.610,0.391	0.036,213.552
1.874,4.033	115.305,0.091	0.037,152.916
0.917,0.496	59.035,0.005	0.131,36.604
4.947,0.081	94.955,0.081
58.991,0.525	0.051,338.208
1.641,1.653	97.207,0.294	0.028,84.017
4.364,5.773	218.419,0.181	218.419,17.515	0.084,557.664
4.096,0.408	149.071,0.024	0.045,36.270
0.476,0.046	43.006,0.001
2.394,6.771	37.252,0.082	0.038,253.274
1.910,0.010	97.951,0.010	0.020,59.995
0.772,0.059	52.305,0.059	0.010,44.223
1.408,3.056	103.355,0.483	0.022,76.962
1.527,2.478	53.898,0.040	0.032,204.857
259.930,0.339	259.930,3.592	0.251,58.048
0.734,0.062	51.611,0.003
73.303,0.135	0.394,182.091
1.161,0.253	22.237,0.253	0.055,12.098
0.479,0.798	14.537,0.798	0.007,70.998
118.510,0.004	2.267,31.085
0.586,1.309	46.936,0.023	0.007,37.855
232.877,0.226	0.158,414.142
0.663,0.068	54.682,0.001
78.175,0.076	0.250,6.471	17.385,6.471	0.250,326.628	17.385,326.628
48.191,0.040	0.125,143.390
0.105,0.954	0.002,64.316
24.951,0.056	186.207,0.056	0.500,168.203
242.595,2.094	242.595,9.773	0.391,688.140
1.740,0.282	54.193,0.003
1.713,6.845	55.140,0.071	0.020,114.735
41.981,0.027	41.981,0.932	0.006,86.335
2.651,1.809	155.348,0.021	0.146,96.243
133.997,0.096	0.072,254.128
3.744,2.054	181.044,0.028	0.141,135.664
2.525,1.086	76.953,0.012	0.032,84.981
3.336,0.113	109.249,0.002
97.672,0.028	0.103,161.856
84.140,0.471	0.036,517.770
1.701,0.002	164.210,0.002
6.627,1.530	143.093,0.018	0.072,107.927
0.779,0.557	45.133,0.028	0.779,34.554
0.910,3.726	52.043,0.073	0.034,109.434
1.628,2.307	81.426,0.024	0.019,110.118
3.029,0.877	35.645,0.049	0.041,54.903
3.596,1.782	0.690,172.894
0.888,7.565	70.378,0.093	0.087,430.598
5.695,4.064	49.438,0.051	0.081,211.811
1.085,4.344	89.550,0.176	0.017,79.112
0.776,1.454	0.010,54.899
533.071,0.405	2.637,45.103
114.207,0.095	0.089,131.957
0.491,1.088	37.792,0.040	0.026,67.055
3.375,4.332	141.991,0.057	0.128,213.164
4.231,1.001	77.456,0.061	0.196,80.966
74.913,1.134	0.057,79.516
216.788,0.215	1.076,33.094
12.524,4.515	688.620,0.193	0.253,76.684
0.212,8.675	0.003,64.005
3.097,1.960	173.599,0.053	0.051,182.163
104.233,0.357	104.233,12.924	0.065,398.580
0.615,3.137	0.011,56.826
9.417,2.637	143.764,0.161	143.764,11.712	0.220,191.435
1.236,2.508	83.738,0.031	0.019,88.227
5.951,11.966	163.706,0.139	0.110,269.239
0.887,1.790	42.485,0.505	42.485,14.046	0.059,49.827
27.795,0.464	0.012,78.717	0.571,78.717
6.125,2.812	108.240,0.211	0.079,138.356
114.641,0.019	0.037,80.026	3.436,80.026
2.007,0.002	62.397,0.002
0.686,2.863	65.285,0.129	0.007,207.571
41.376,0.100	0.016,128.827
6.250,0.110	448.123,0.001
5.229,14.766	94.644,0.489	0.070,240.315
0.328,0.722
6.240,1.551	245.090,0.037	0.074,133.343
6.493,1.266	265.895,0.014	0.069,80.745
4.155,1.351	183.378,0.018	0.055,106.600
5.699,0.488	360.092,0.006	0.064,44.676
199.904,0.016	199.904,1.233	0.039,105.852
1.313,1.411	103.372,0.032	0.027,112.730
74.815,2.128	0.046,21.457	2.742,21.457	0.046,244.362	2.742,244.362
312.606,2.992	0.055,244.969	4.086,244.969
1.540,5.578	102.660,0.105	0.034,233.557
3.041,0.226	150.905,0.226	0.041,343.543
12.881,5.948	197.481,0.130	2.047,159.604
0.102,0.637	0.002,36.412
1.111,0.102	95.369,0.001
2.216,1.747	67.747,0.055	0.024,81.328
1.322,1.081	104.734,0.017	0.019,100.016
106.538,0.087	0.501,1.950	0.501,166.707
0.230,11.349	15.500,11.349	0.005,348.302
116.000,0.542	0.080,18.143
105.190,0.049	0.046,3.602	0.046,92.755
2.751,1.066	165.491,0.018	0.079,84.972
4.927,3.417	1.755,104.173
0.090,430.853
0.506,11.339	49.043,0.126	0.018,56.618
0.606,1.202	48.781,0.036	0.010,44.084
150.394,0.730	0.542,90.003
0.006,4.238	0.006,139.244
70.356,0.160	0.092,173.154
1.187,0.217	71.967,0.002
1.369,2.101	71.222,0.026	0.016,61.629
1.314,1.198	103.604,0.025	0.027,35.032
