11.421,0.444	206.303,0.020	0.226,38.773
1.340,0.534	92.790,0.038	0.040,36.156
2.343,0.418	59.384,0.006	0.027,37.754
68.311,2.061	0.019,412.348
0.004,135.924
1.500,4.439	75.047,0.360	0.016,323.181
7.861,2.523	456.724,0.029	0.133,157.572
2.325,1.909	104.403,0.045	0.103,104.206
0.095,0.301	0.095,19.964
10.378,0.357	332.013,0.004	0.113,27.701
291.830,0.108	0.172,184.650	4.115,184.650
2.732,2.984	174.484,0.046	0.049,272.998
3.255,0.145	169.065,0.009
0.001,102.881
0.360,2.156
2.009,3.445	184.953,0.110	0.023,114.951
2.076,15.945	97.078,0.190	0.031,346.198
0.409,1.502	0.020,94.773
102.412,0.134	102.412,9.096	0.015,201.915
3.056,5.486	205.648,0.137	0.127,104.792	8.561,104.792
2.064,6.169	141.053,0.134	0.022,316.806
1.680,2.411	133.433,0.184	0.029,211.157
0.148,14.805	0.009,147.966
9.819,0.007	175.057,0.007
1.348,2.362	89.701,0.029	0.058,80.240
5.552,1.812	294.822,0.020	0.165,111.269
3.329,0.495	38.312,0.011	0.179,36.221
233.478,0.125	0.260,9.700	13.986,9.700	0.260,55.156	13.986,55.156
1.430,7.697	85.284,0.118	0.048,356.872
7.660,3.965	165.815,0.080	0.210,144.423
3.333,0.582	166.900,0.013	0.080,51.408
68.969,0.020	0.095,64.500
14.221,0.345	137.910,0.004	0.186,32.408
0.606,0.375	55.853,0.010	0.007,36.157
5.595,1.980	200.098,0.023	0.091,160.340
1.287,1.634	99.183,0.156	0.064,45.775
160.794,0.073	0.418,76.793	2.757,76.793
1.373,1.063	89.596,0.016	0.021,105.365
118.993,0.028	0.236,70.452
0.448,1.527	0.422,93.019
1.125,1.266	59.010,0.031	0.015,90.877
0.369,5.016	22.968,0.141
0.716,1.175	14.002,1.175	0.086,76.191
1.936,2.609	190.608,0.077	0.051,131.110
0.419,2.362	26.449,0.158	26.449,8.300	0.016,123.950
498.439,0.028	0.697,88.785
51.128,0.668	0.025,129.523
81.777,0.105	0.453,8.058	0.453,456.760
5.524,1.307	389.841,0.043	0.141,82.254
5.465,0.027	114.596,0.027
8.335,0.023	237.183,0.023	0.202,163.943
0.014,11.839	0.014,282.561
90.871,4.888	90.871,27.793	0.020,763.404
0.866,0.322	40.874,0.006	0.866,25.378
406.981,0.149	0.087,206.306
32.839,0.445	0.006,19.093	0.006,643.036
4.245,1.809	70.294,0.020	0.064,88.883
0.560,2.296	52.084,0.033	0.030,120.124
1.462,0.832	100.815,0.009	0.061,80.332
1.736,0.252	138.206,0.004
1.031,1.373	16.260,0.022	0.017,112.678
3.919,1.800	268.845,0.039	0.051,63.561
247.490,0.026	0.720,86.470
2.480,1.750	48.888,0.060	0.045,59.044
1.669,2.167	157.971,0.034	0.019,109.038
7.077,5.520	76.312,0.090	0.073,163.426
2.054,4.439	131.983,0.195	0.053,324.026
3.024,1.451	78.163,0.034	0.157,63.434
53.070,0.990	0.048,22.594	0.048,259.443
2.310,2.323	92.226,0.089	0.122,58.294	4.859,58.294
1.976,1.058	114.016,0.012	1.976,24.078
3.079,2.328	103.606,0.029	0.045,123.331
1.131,1.659	56.856,0.045	0.021,124.937
100.330,0.029	0.066,117.286
1.146,10.228	86.998,0.675	0.072,132.592
0.364,0.183
162.536,0.020	0.140,108.542	5.090,108.542
0.004,12.053	0.004,166.614
1.038,1.093	93.366,0.013	0.030,98.806
0.752,5.108	0.102,217.388
2.675,1.087	134.594,0.016	0.040,54.677
5.349,2.701	134.757,0.208	0.103,143.717
3.446,0.294	212.821,0.004	0.035,26.876
0.960,2.434	71.707,0.075	0.013,84.761
2.349,2.746	133.937,0.056	0.051,141.010
0.670,0.272	32.217,0.007
1.436,1.534	126.813,0.419	0.019,124.552
2.803,3.315	162.717,0.059	0.030,291.380
179.216,0.154	0.108,132.763
0.058,0.066	3.103,0.066
433.599,0.006	0.500,6.430	22.262,6.430
0.890,2.625	36.482,0.060	0.009,163.822
8.207,8.704	272.370,1.653	0.113,100.103
0.761,7.552	41.729,1.834	0.024,140.746
5.543,0.109	248.702,0.109	0.062,290.465
5.748,0.019	258.947,0.019	0.138,32.915
116.743,0.115	116.743,6.396	1.029,248.632
0.891,0.696	21.912,0.696	0.048,58.188
0.389,13.722	12.072,13.722	0.006,196.695
0.114,2.276	0.008,186.821
1.830,11.372	85.567,0.129	0.032,269.349
1.731,4.893	104.215,0.083	0.034,102.946
138.685,0.069	1.089,277.218
1.230,4.636	96.932,0.052	0.015,73.832
1.873,0.589	176.335,0.010	0.072,39.174
0.697,6.339	0.010,112.758
2.465,1.170	106.392,0.046	0.037,42.475
87.099,0.365	87.099,4.445	0.019,98.953
2.449,3.101	228.966,0.036	0.168,102.310
2.987,0.872	115.175,0.060	0.047,54.764
0.663,0.281	55.147,0.107
111.792,0.013	1.287,24.049
35.417,0.045	35.417,3.798	0.007,135.216
0.478,1.922	9.733,0.156	0.008,94.262
57.576,0.189	0.013,5.466	0.013,157.722
0.949,0.616	77.437,0.006	0.949,24.374
