parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,2,0202-2020,0202,0202-2020,2,0.39,-7.776146,3.7201,-6.64589,4.447221,0.39
1,2,0202-2020,2020,0202-2020,2,0.61,4.999074,-5.77163,5.153943,-6.860178,0.61
2,4,0022-0202-2020-2021,0022,0202-2020,4,0.24,-0.549176,-2.438485,0.573314,3.477617,0.24
2,4,0022-0202-2020-2021,0202,0202-2020,4,0.23,-3.849767,3.071451,-4.807663,6.331921,0.23
2,4,0022-0202-2020-2021,2020,0202-2020,4,0.5,5.542972,-8.289365,6.283004,-3.947577,0.5
2,4,0022-0202-2020-2021,2021,0202-2020,4,0.03,5.542972,-8.288536,0.573317,-0.345397,0.03
3,2,0202-2020,2020,0112-0202-2020,2,0.99,8.116803,-4.540431,6.398783,-5.351307,0.99
3,2,0202-2020,0202,0112-0202-2020,2,0.01,-0.55123200000000006,4.265661,-4.236627,3.735353,0.01
4,2,0202-2020,0202,0202-2020,2,0.22,-7.776145,3.7201,-1.925751,4.447221,0.22
4,2,0202-2020,2020,0202-2020,2,0.78,4.999074,-4.611042,5.153943,-7.751216,0.78
5,2,0202-2020,2020,0202-2020,2,0.1,7.232016,-3.131453,6.422203,-4.882507,0.1
5,2,0202-2020,0202,0202-2020,2,0.9,-3.383064,7.148045,-6.680134,6.735064,0.9
6,2,0202-2020,0202,0202-2020,2,0.78,-3.018429,6.773894,-4.267244,8.380462,0.78
6,2,0202-2020,2020,0202-2020,2,0.22,7.749984,-4.186582,6.539625,-3.674924,0.22
7,2,0202-2020,0202,0202-2020,2,0.29,-4.679919,4.388212,-5.231497,6.117224,0.29
7,2,0202-2020,2020,0202-2020,2,0.71,7.434024,-7.236381,6.824036,-3.143894,0.71
8,2,0202-2020,2020,0202-2020,2,0.22,6.531264,-2.339911,6.203144,-2.671774,0.22
8,2,0202-2020,0202,0202-2020,2,0.78,-4.914603,6.70571,-4.729581,5.284557,0.78
9,2,0202-2020,2020,0202-2020,2,0.28,6.824036,-5.697193,7.131092,-2.807237,0.28
9,2,0202-2020,0202,0202-2020,2,0.72,-4.990381,6.117224,-4.493425,7.323162,0.72
10,3,0202-2020-2110,2020,0202-0210-2020-2110,3,0.05,4.285637,-4.332662,3.91876,-4.275468,0.05
10,3,0202-2020-2110,2110,0202-0210-2020-2110,3,0.04,4.268367,0.75054,1.086616,-3.761345,0.04
10,3,0202-2020-2110,0202,0202-0210-2020-2110,3,0.91,-6.521232,6.614518,-3.434128,6.468421,0.91
11,2,0202-2020,0202,0202-2020,2,0.72,-7.329441,7.619655,-5.722944,4.548817,0.72
11,2,0202-2020,2020,0202-2020,2,0.28,5.294255,-1.915405,6.161679,-7.954937,0.28
12,2,0202-2020,0202,0120-0202-2020,2,0.19,-4.867747,3.759272,-4.748423,3.071452,0.19
12,2,0202-2020,2020,0120-0202-2020,2,0.81,8.172382,-3.588443,5.542972,-6.610513,0.81
13,2,0202-2020,2020,0202-0210-2020,2,0.65,7.846299,-4.346683,7.160218,-5.654663,0.65
13,2,0202-2020,0202,0202-0210-2020,2,0.35,-2.800877,7.041262,-4.985231,5.791204,0.35
14,3,0202-2012-2020,2012,0202-2012-2020,3,0.59,3.513815,-3.869725,0.40936,4.49791,0.59
14,3,0202-2012-2020,0202,0202-2012-2020,3,0.37,-1.660495,6.773894,-6.108259,8.380462,0.37
14,3,0202-2012-2020,2020,0202-2012-2020,3,0.04,7.749984,-4.020998,6.539566,-1.844568,0.04
15,3,0202-1012-2020,1012,0202-1012-2020,3,0.34,0.428465,-3.368134,1.07884,6.585082,0.34
15,3,0202-1012-2020,2020,0202-1012-2020,3,0.46,6.70571,-3.583662,5.284557,-2.146906,0.46
15,3,0202-1012-2020,0202,0202-1012-2020,3,0.2,-4.998269,6.203354,-2.892198,7.148045,0.2
16,2,0202-2020,2020,0202-2020,2,0.02,3.759272,-4.704162,3.071451,-5.617874,0.02
16,2,0202-2020,0202,0202-2020,2,0.98,-8.367913,5.542972,-8.967715,6.283004,0.98
17,2,0202-2020,0202,0202-2020,2,0.77,-4.969175,8.204004,-3.739285,4.107256,0.77
17,2,0202-2020,2020,0202-2020,2,0.23,7.335327,-3.910836,6.209955,-8.144334,0.23
18,2,0202-2020,2020,0202-2020,2,0.92,6.531264,-6.486435,6.682121,-5.367784,0.92
18,2,0202-2020,0202,0202-2020,2,0.08,-2.253313,6.7057,-0.686899,4.734899,0.08
19,2,0102-2020,2020,0102-2020,2,0.91,7.345907,-7.859835,5.761102,-6.419495,0.91
19,2,0102-2020,0102,0102-2020,2,0.09,-2.635082,0.544258,-0.734518,4.942479,0.09
20,3,0202-0210-2020,0210,0202-0210-2020-2110,3,0.4,-2.590697,6.455094,0.643573,0.83529,0.4
20,3,0202-0210-2020,0202,0202-0210-2020-2110,3,0.23,-8.936989,6.468421,-5.531972,5.918524,0.23
20,3,0202-0210-2020,2020,0202-0210-2020-2110,3,0.37,3.91876,-3.302333,6.835054,-1.999559,0.37
21,3,0202-2020-2201,2201,-1,3,0.4,3.414609,1.839027,-2.399237,0.849543,0.4
21,3,0202-2020-2201,2020,-1,3,0.1,8.204004,-3.325123,4.107256,-4.81129,0.1
21,3,0202-2020-2201,0202,-1,3,0.5,-1.687032,6.209951,-8.340297,7.33416,0.5
22,3,0202-1220-2020,0202,0202-1220-2020,3,0.4,-4.51831,7.758713,-0.591879,5.568617,0.4
22,3,0202-1220-2020,1220,0202-1220-2020,3,0.17,1.041542,2.412253,6.014546,-2.64274,0.17
22,3,0202-1220-2020,2020,0202-1220-2020,3,0.43,6.288559,-3.188451,7.657658,-2.647117,0.43
23,2,0202-2020,0202,0202-2002-2020,2,0.46,-3.027515,6.161679,-7.596632,6.563885,0.46
23,2,0202-2020,2020,0202-2002-2020,2,0.54,7.619655,-5.226266,4.548817,-4.881983,0.54
24,2,0202-2020,0202,0202-2020,2,0.74,-4.367449,6.331452,-4.240823,7.619655,0.74
24,2,0202-2020,2020,0202-2020,2,0.26,6.751505,-6.291789,5.294255,-4.264963,0.26
25,3,0202-2020-2210,0202,0202-2020,3,0.17,-3.203601,5.294255,-4.883973,6.161679,0.17
25,3,0202-2020-2210,2020,0202-2020,3,0.74,6.331452,-6.590369,7.619655,-5.5423,0.74
25,3,0202-2020-2210,2210,0202-2020,3,0.09,1.960524,3.798047,1.135034,-5.479796,0.09
26,2,0202-2020,0202,0202-2020-2110,2,0.74,-6.943334,5.240198,-4.342363,7.845341,0.74
26,2,0202-2020,2020,0202-2020-2110,2,0.26,5.514112,-5.528198,6.289454,-4.284696,0.26
27,2,0202-2120,2120,0202-2120,2,0.61,5.621304,-0.946816,6.735064,-2.61441,0.61
27,2,0202-2120,0202,0202-2120,2,0.39,-0.625072,6.422205,-1.038052,7.625165,0.39
28,2,0202-2020,2020,0202-2020,2,0.11,2.400738,-2.283494,7.749984,-3.116832,0.11
28,2,0202-2020,0202,0202-2020,2,0.89,-7.845588,5.845648,-3.164908,6.773889,0.89
29,1,2020,2020,2020-2101-2110,1,1,6.741275,-4.571384,8.377567,-3.255873,1
30,3,0021-0202-2020,2020,0021-0202-2020,3,0.1,5.284158,-5.891995,6.892529,-2.123563,0.1
30,3,0021-0202-2020,0021,0021-0202-2020,3,0.69,-0.239838,0.735926,6.874511,-0.173062,0.69
30,3,0021-0202-2020,0202,0021-0202-2020,3,0.21,-6.209155,4.694742,-3.353796,6.325664,0.21
31,1,0202,0202,0202,1,1,-2.533923,5.999651,-3.478111,6.259283,1
32,3,0202-1021-2020,2020,0202-1021-2020,3,0.29,5.696799,-5.345448,6.453293,-4.710616,0.29
32,3,0202-1021-2020,1021,0202-1021-2020,3,0.63,1.328299,-5.345448,6.430474,1.505912,0.63
32,3,0202-1021-2020,0202,0202-1021-2020,3,0.08,-5.247969,6.152623,-4.84393,6.707867,0.08
33,3,0202-0220-2120,2120,0202-0220-2120,3,0.35,5.46554,-0.977456,3.185201,-4.836835,0.35
33,3,0202-0220-2120,0220,0202-0220-2120,3,0.21,0.625483,4.047355,3.185198,-0.044825,0.21
33,3,0202-0220-2120,0202,0202-0220-2120,3,0.44,-4.834874,6.543606,-0.159235,4.217237,0.44
34,3,0202-2020-2210,2210,0202-2020-2210,3,0.65,4.101492,1.676439,0.974064,-6.369317,0.65
34,3,0202-2020-2210,0202,0202-2020-2210,3,0.05,-1.891435,7.974961,-4.423329,6.254234,0.05
34,3,0202-2020-2210,2020,0202-2020-2210,3,0.3,5.188286,-4.223463,6.279205,-6.37788,0.3
35,2,0202-2020,0202,0202-2020,2,0.73,-3.937559,6.377711,-3.84623,6.05469,0.73
35,2,0202-2020,2020,0202-2020,2,0.27,7.598173,-5.121486,6.286779,-1.531822,0.27
36,3,0202-2020-2102,2020,0202-2020-2102,3,0.32,6.892527,-5.048874,7.797594,-1.119478,0.32
36,3,0202-2020-2102,2102,0202-2020-2102,3,0.21,2.189754,0.570716,-4.81214,3.784695,0.21
36,3,0202-2020-2102,0202,0202-2020-2102,3,0.47,-2.907998,6.325664,-4.872668,8.532631,0.47
37,2,0202-2020,0202,0202-2020,2,0.97,-6.065819,8.401565,-6.186408,5.911395,0.97
37,2,0202-2020,2020,0202-2020,2,0.03,6.212223,-1.803146,6.39137,-1.707985,0.03
38,1,2020,2020,2020,1,1,5.451692,-3.943521,7.041746,-4.166422,1
39,4,0202-0211-1021-2020,0211,0121-0202-0211-1021-2020,4,0.02,-5.301468,4.939421,0.033127,1.361945,0.02
39,4,0202-0211-1021-2020,1021,0121-0202-0211-1021-2020,4,0.61,1.141014,-6.997205,6.604088,1.352607,0.61
39,4,0202-0211-1021-2020,2020,0121-0202-0211-1021-2020,4,0.2,2.760852,-6.997205,6.75338,-3.617575,0.2
