Phase,RACIPE,DSGRN,JSD,Parameter,nState
-1,0,0.01944990176817289,0.09646573325247254,Phase,2
0002-0022,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0002-2020,1.9646365422396856e-4,3.929273084479371e-4,0.09646573325247254,Phase,2
0012-0021-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0012-0202,9.823182711198428e-4,0.0015717092337917485,0.09646573325247254,Phase,2
0012-0202-2020,3.929273084479371e-4,0,0.09646573325247254,Phase,2
0012-0202-2021,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0012-2020,5.893909626719057e-4,7.858546168958742e-4,0.09646573325247254,Phase,2
0020-0202,7.858546168958742e-4,7.858546168958742e-4,0.09646573325247254,Phase,2
0021-0102-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0021-0202,0.00137524557956778,0.0015717092337917485,0.09646573325247254,Phase,2
0021-0202-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0021-0212-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0021-0221-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0021-2020,9.823182711198428e-4,0.0019646365422396855,0.09646573325247254,Phase,2
0022,3.929273084479371e-4,0,0.09646573325247254,Phase,2
0022-0102-0112-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-0122-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-0202,0.0033398821218074658,0.003929273084479371,0.09646573325247254,Phase,2
0022-0202-0212-1220-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-0202-0212-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-0202-2020,0.004322200392927309,0,0.09646573325247254,Phase,2
0022-0212,3.929273084479371e-4,3.929273084479371e-4,0.09646573325247254,Phase,2
0022-0212-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-0212-2020-2021,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-0222-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0022-2020,0.00275049115913556,0.003536345776031434,0.09646573325247254,Phase,2
0102-1020,1.9646365422396856e-4,1.9646365422396856e-4,0.09646573325247254,Phase,2
0102-2020,0.0029469548133595285,0.003143418467583497,0.09646573325247254,Phase,2
0112-0120,0,1.9646365422396856e-4,0.09646573325247254,Phase,2
0112-0202,3.929273084479371e-4,7.858546168958742e-4,0.09646573325247254,Phase,2
0112-0202-1022-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0112-0202-2020,5.893909626719057e-4,0,0.09646573325247254,Phase,2
0112-0212-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0112-2012,0,1.9646365422396856e-4,0.09646573325247254,Phase,2
0112-2020,1.9646365422396856e-4,0.0015717092337917485,0.09646573325247254,Phase,2
0120,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0120-0202,0.0015717092337917485,0.001768172888015717,0.09646573325247254,Phase,2
0120-0202-2020,3.929273084479371e-4,0,0.09646573325247254,Phase,2
0120-2020,7.858546168958742e-4,0.0015717092337917485,0.09646573325247254,Phase,2
0121-0202,7.858546168958742e-4,7.858546168958742e-4,0.09646573325247254,Phase,2
0121-0202-2020,0.0019646365422396855,0,0.09646573325247254,Phase,2
0121-2020,0.00137524557956778,0.00137524557956778,0.09646573325247254,Phase,2
0122-0202,0.0011787819253438114,0.00137524557956778,0.09646573325247254,Phase,2
0122-0202-1022,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0122-0202-1022-2020,5.893909626719057e-4,0,0.09646573325247254,Phase,2
0122-0202-2020,0.0025540275049115912,0,0.09646573325247254,Phase,2
0122-0202-2121,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0122-2020,9.823182711198428e-4,0.0011787819253438114,0.09646573325247254,Phase,2
0122-2020-2120,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0122-2021,5.893909626719057e-4,5.893909626719057e-4,0.09646573325247254,Phase,2
0122-2022,1.9646365422396856e-4,1.9646365422396856e-4,0.09646573325247254,Phase,2
0200-2020,5.893909626719057e-4,5.893909626719057e-4,0.09646573325247254,Phase,2
0201-2020,7.858546168958742e-4,7.858546168958742e-4,0.09646573325247254,Phase,2
0202,0.040471512770137524,0,0.09646573325247254,Phase,2
0202-0210,0.00137524557956778,0.0019646365422396855,0.09646573325247254,Phase,2
0202-0210-0220,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0210-2120,3.929273084479371e-4,0,0.09646573325247254,Phase,2
0202-0211,5.893909626719057e-4,0.00137524557956778,0.09646573325247254,Phase,2
0202-0211-1210-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0211-2020,9.823182711198428e-4,0,0.09646573325247254,Phase,2
0202-0211-2020-2210,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0211-2120,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0211-2210,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0212-0221-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0212-1021-2020,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0212-2020,0.00137524557956778,0,0.09646573325247254,Phase,2
0202-0220,0.003536345776031434,0.0051080550098231824,0.09646573325247254,Phase,2
0202-0220-2020,0.004322200392927309,0,0.09646573325247254,Phase,2
0202-0220-2020-2120,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0220-2120,5.893909626719057e-4,0,0.09646573325247254,Phase,2
0202-0221,0.0011787819253438114,0.00137524557956778,0.09646573325247254,Phase,2
0202-0221-1220-2020,5.893909626719057e-4,0,0.09646573325247254,Phase,2
0202-0221-2020,0.001768172888015717,0,0.09646573325247254,Phase,2
0202-0221-2020-2220,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-0222-2020,0.0011787819253438114,0,0.09646573325247254,Phase,2
0202-0222-2020-2022,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-1002,0.001768172888015717,0.00275049115913556,0.09646573325247254,Phase,2
0202-1012,0.0015717092337917485,0.0021611001964636544,0.09646573325247254,Phase,2
0202-1012-2020,0.002357563850687623,0,0.09646573325247254,Phase,2
0202-1020,0.0021611001964636544,0.0029469548133595285,0.09646573325247254,Phase,2
0202-1021,0.00137524557956778,0.0029469548133595285,0.09646573325247254,Phase,2
0202-1021-1102,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-1021-2020,5.893909626719057e-4,0,0.09646573325247254,Phase,2
0202-1021-2021,1.9646365422396856e-4,0,0.09646573325247254,Phase,2
0202-1022,0.00137524557956778,0.002357563850687623,0.09646573325247254,Phase,2
0202-1022-2020,0.0029469548133595285,0,0.09646573325247254,Phase,2
0202-1102,1.9646365422396856e-4,9.823182711198428e-4,0.09646573325247254,Phase,2
