Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
20,0.0218,0.0243,0.0253,0.023799999999999998,0.0018027756377319943,2-11,1
20-21,0.003,0.0033,0.0021,0.0028,6.244997998398399e-4,2-11,2
20-22,0.0034,0.0028,0.0024,0.0028666666666666667,5.033222956847167e-4,2-11,2
21,3e-4,2e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,2-11,1
21-22,3e-4,NA,2e-4,NA,NA,2-11,2
22,4e-4,6e-4,4e-4,4.6666666666666666e-4,1.1547005383792512e-4,2-11,1
00-02-10-12,NA,1e-4,1e-4,NA,NA,2-11,4
01-20-21,NA,2e-4,1e-4,NA,NA,2-11,3
00-01,2e-4,1e-4,NA,NA,NA,7-16,2
00-01-20,0.0022,0.0013,0.0017,0.0017333333333333333,4.5092497528228956e-4,7-16,3
00-02,0.0051,0.0053,0.0047,0.005033333333333333,3.055050463303893e-4,7-16,2
00-02-10,0.0025,0.0019,0.0016,0.002,4.58257569495584e-4,7-16,3
00-02-12-20,0.0075,0.0096,0.0092,0.008766666666666666,0.0011150485789118486,7-16,4
00-02-12-20-21,7e-4,9e-4,8e-4,8e-4,9.999999999999999e-5,7-16,5
00-02-20,0.1596,0.1559,0.166,0.1605,0.005109794516416488,7-16,3
00-02-20-21,0.0088,0.0099,0.01,0.009566666666666668,6.658328118479392e-4,7-16,4
00-02-20-22,0.004,0.0043,0.0046,0.0043,2.999999999999999e-4,7-16,4
00-20,0.0037,0.0035,0.0034,0.003533333333333333,1.5275252316519482e-4,7-16,2
01-02,0.004,0.0038,0.0038,0.0038666666666666667,1.1547005383792521e-4,7-16,2
01-02-10-20,0.0131,0.0135,0.0138,0.013466666666666667,3.5118845842842424e-4,7-16,4
01-02-10-20-22,3e-4,5e-4,5e-4,4.333333333333333e-4,1.1547005383792517e-4,7-16,5
01-02-11-12,7e-4,4e-4,6e-4,5.666666666666667e-4,1.5275252316519465e-4,7-16,4
01-02-11-12-20,0.0142,0.0155,0.0153,0.015,6.999999999999993e-4,7-16,5
01-02-20,0.0761,0.0779,0.0753,0.07643333333333334,0.0013316656236958743,7-16,3
01-02-20-22,0.0075,0.0053,0.0076,0.0068,0.0013,7-16,4
01-02-21,1e-4,2e-4,NA,NA,NA,7-16,3
01-02-21-22,6e-4,4e-4,7e-4,5.666666666666667e-4,1.5275252316519465e-4,7-16,4
01-20,1e-4,NA,1e-4,NA,NA,7-16,2
02,0.031,0.0282,0.0289,0.029366666666666666,0.0014571661996262933,7-16,1
02-10,5e-4,6e-4,1e-4,3.9999999999999996e-4,2.6457513110645904e-4,7-16,2
02-10-11,1e-4,NA,NA,NA,NA,7-16,3
02-10-11-20-21,0.0133,0.0142,0.0113,0.012933333333333333,0.0014843629385474886,7-16,5
02-10-20,0.0737,0.0767,0.0703,0.07356666666666667,0.0032020826556060887,7-16,3
02-10-20-22,0.0087,0.0078,0.0079,0.008133333333333333,4.932882862316244e-4,7-16,4
02-11-21,1e-4,1e-4,4e-4,2e-4,1.7320508075688773e-4,7-16,3
02-12,0.0056,0.0059,0.0051,0.005533333333333334,4.041451884327378e-4,7-16,2
02-12-20,0.0697,0.0764,0.0717,0.0726,0.0034394767043839664,7-16,3
02-12-20-21,0.0131,0.0118,0.0149,0.013266666666666666,0.001556705923844749,7-16,4
02-12-21,1e-4,4e-4,1e-4,2e-4,1.7320508075688773e-4,7-16,3
02-20,0.2746,0.2739,0.2754,0.27463333333333334,7.505553499465135e-4,7-16,2
02-20-21,0.0737,0.0729,0.0803,0.07563333333333333,0.0040611985094714705,7-16,3
02-20-22,0.053900000000000003,0.0512,0.0493,0.05146666666666667,0.0023115651263447778,7-16,3
02-21,0.0034,0.0037,0.0031,0.0034,3.0000000000000014e-4,7-16,2
02-21-22,0.003,0.0035,0.0034,0.0033,2.6457513110645904e-4,7-16,3
02-22,0.0084,0.0068,0.0067,0.0073,9.539392014169454e-4,7-16,2
10-11-20-21,3e-4,2e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,7-16,4
10-12-20,1e-4,NA,1e-4,NA,NA,7-16,3
10-12-20-22,7e-4,6e-4,6e-4,6.333333333333333e-4,5.7735026918962605e-5,7-16,4
10-20,0.0039,0.0035,0.0035,0.0036333333333333335,2.3094010767585018e-4,7-16,2
11-12,1e-4,1e-4,NA,NA,NA,7-16,2
11-12-20,4e-4,1e-4,4e-4,3.0000000000000003e-4,1.7320508075688773e-4,7-16,3
11-12-21-22,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,7-16,4
11-21,1e-4,1e-4,NA,NA,NA,7-16,2
12,4e-4,5e-4,2e-4,3.6666666666666667e-4,1.5275252316519468e-4,7-16,1
12-20,0.0042,0.0029,0.0035,0.003533333333333333,6.506407098647711e-4,7-16,2
12-20-21,3e-4,2e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,7-16,3
12-20-22,0.0026,0.0024,0.0029,0.002633333333333333,2.5166114784235834e-4,7-16,3
12-22,4e-4,3e-4,1e-4,2.666666666666667e-4,1.5275252316519468e-4,7-16,2
20,0.0292,0.0274,0.027,0.027866666666666668,0.0011718930554164631,7-16,1
20-21,0.0046,0.0059,0.0036,0.0047,0.0011532562594670796,7-16,2
20-22,0.0077,0.0088,0.0074,0.007966666666666667,7.371114795831995e-4,7-16,2
21,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,7-16,1
21-22,3e-4,2e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,7-16,2
22,4e-4,0.0012,6e-4,7.333333333333332e-4,4.163331998932265e-4,7-16,1
00-01-10-11,NA,1e-4,1e-4,NA,NA,7-16,4
00-01-20-21,NA,3e-4,NA,NA,NA,7-16,4
00-10,NA,1e-4,1e-4,NA,NA,7-16,2
01-10-20,NA,1e-4,NA,NA,NA,7-16,3
01-11-20,NA,1e-4,NA,NA,NA,7-16,3
00,NA,NA,2e-4,NA,NA,7-16,1
01-20-21,NA,NA,1e-4,NA,NA,7-16,3
00-01-20,0.0017,0.0016,0.0017,0.0016666666666666666,5.773502691896248e-5,12-21,3
00-02,0.0027,0.0025,0.0035,0.0029000000000000002,5.291502622129181e-4,12-21,2
00-02-10,0.0016,0.0014,0.0016,0.0015333333333333334,1.1547005383792521e-4,12-21,3
00-02-10-12,1e-4,NA,1e-4,NA,NA,12-21,4
00-02-12-20,0.0081,0.0077,0.009,0.008266666666666667,6.658328118479389e-4,12-21,4
00-02-12-20-21,7e-4,0.0012,6e-4,8.333333333333333e-4,3.214550253664318e-4,12-21,5
00-02-20,0.135,0.1392,0.1308,0.135,0.004199999999999995,12-21,3
00-02-20-21,0.009,0.0077,0.0088,0.0085,6.999999999999998e-4,12-21,4
00-02-20-22,0.004,0.0041,0.004,0.004033333333333333,5.773502691896273e-5,12-21,4
00-20,0.0024,0.0028,0.0024,0.002533333333333333,2.3094010767585042e-4,12-21,2
