Phase,Count,Frequency
0001-0303,3,3.023279250226746e-4
0002-0010,1,1.007759750075582e-4
0003-0010,2,2.015519500151164e-4
0010,86,0.008666733850650005
0010-0011,10,0.001007759750075582
0010-0012,3,3.023279250226746e-4
0010-0012-0302,1,1.007759750075582e-4
0010-0013,10,0.001007759750075582
0010-0013-0303,28,0.0028217273002116294
0010-0100,1,1.007759750075582e-4
0010-0100-0202,1,1.007759750075582e-4
0010-0103,4,4.031039000302328e-4
0010-0112,2,2.015519500151164e-4
0010-0112-0300-0302,1,1.007759750075582e-4
0010-0113,2,2.015519500151164e-4
0010-0113-0300-0303,1,1.007759750075582e-4
0010-0113-0303,7,7.054318250529074e-4
0010-0200-0303,2,2.015519500151164e-4
0010-0213,2,2.015519500151164e-4
0010-0300,6,6.046558500453492e-4
0010-0300-0302,2,2.015519500151164e-4
0010-0300-0303,30,0.003023279250226746
0010-0302,4,4.031039000302328e-4
0010-0303,259,0.026100977526957572
0010-0310,2,2.015519500151164e-4
0010-0312,2,2.015519500151164e-4
0010-0313,16,0.001612415600120931
0011,2,2.015519500151164e-4
0011-0013,1,1.007759750075582e-4
0011-0013-0301-0303,1,1.007759750075582e-4
0011-0013-0303,3,3.023279250226746e-4
0011-0113,2,2.015519500151164e-4
0011-0301,1,1.007759750075582e-4
0011-0301-0303,3,3.023279250226746e-4
0011-0303,14,0.0014108636501058147
0011-0313,1,1.007759750075582e-4
0012-0013-0302-0303,2,2.015519500151164e-4
0013,4,4.031039000302328e-4
0013-0303,10,0.001007759750075582
0100,1,1.007759750075582e-4
0100-0302,1,1.007759750075582e-4
0100-0303,6,6.046558500453492e-4
0101-0303,6,6.046558500453492e-4
0101-0303-1001,1,1.007759750075582e-4
0102-1010,1,1.007759750075582e-4
0103-1003,1,1.007759750075582e-4
0103-1010,4,4.031039000302328e-4
0110,9,9.069837750680237e-4
0110-0111,1,1.007759750075582e-4
0110-0112-0302,1,1.007759750075582e-4
0110-0213-1010,1,1.007759750075582e-4
0110-0300,4,4.031039000302328e-4
0110-0300-0303,8,8.062078000604656e-4
0110-0300-0303-1010,9,9.069837750680237e-4
0110-0303,30,0.003023279250226746
0110-0303-1010,14,0.0014108636501058147
0110-0303-1010-1013,1,1.007759750075582e-4
0110-0310-1010,1,1.007759750075582e-4
0110-0312-1010,1,1.007759750075582e-4
0110-0313,1,1.007759750075582e-4
0110-1010,1,1.007759750075582e-4
0111,1,1.007759750075582e-4
0111-0113,1,1.007759750075582e-4
0111-0113-0301-0303-1011-1013,2,2.015519500151164e-4
0111-0113-0303,1,1.007759750075582e-4
0111-0301-0303,2,2.015519500151164e-4
0111-0302,1,1.007759750075582e-4
0111-0303,8,8.062078000604656e-4
0111-0303-1011,1,1.007759750075582e-4
0112,2,2.015519500151164e-4
0112-0300-0302-1010-1012,1,1.007759750075582e-4
0112-1010,6,6.046558500453492e-4
0112-1010-1012,1,1.007759750075582e-4
0113,1,1.007759750075582e-4
