Phase,Count,Frequency
00,1,1e-4
00-01-20,7,7e-4
00-02,19,0.0019
00-02-10,5,5e-4
00-02-10-20,1,1e-4
00-02-12-20,32,0.0032
00-02-12-20-21,1,1e-4
00-02-20,890,0.089
00-02-20-21,28,0.0028
00-02-20-22,37,0.0037
00-02-21,1,1e-4
00-10,1,1e-4
00-12-20,4,4e-4
00-20,11,0.0011
01-02,23,0.0023
01-02-10,1,1e-4
01-02-10-20,75,0.0075
01-02-10-20-22,5,5e-4
01-02-11-12,1,1e-4
01-02-11-12-20,74,0.0074
01-02-11-20,2,2e-4
01-02-12-20,10,0.001
01-02-20,581,0.0581
01-02-20-21-22,1,1e-4
01-02-20-22,63,0.0063
01-02-21,1,1e-4
01-02-21-22,4,4e-4
01-12-20,8,8e-4
01-20,2,2e-4
02,444,0.0444
02-10,1,1e-4
02-10-11-20-21,51,0.0051
02-10-12-20-22,4,4e-4
02-10-20,594,0.0594
02-10-20-21,6,6e-4
02-10-20-22,79,0.0079
02-10-21,3,3e-4
02-11-12-20,2,2e-4
02-11-20,8,8e-4
02-11-20-21,4,4e-4
02-11-21,3,3e-4
02-12,73,0.0073
02-12-20,522,0.0522
02-12-20-21,63,0.0063
02-12-20-22,13,0.0013
02-12-21,14,0.0014
02-12-22,1,1e-4
02-20,3388,0.3388
02-20-21,508,0.0508
02-20-21-22,15,0.0015
02-20-22,984,0.0984
02-21,158,0.0158
02-21-22,48,0.0048
02-22,168,0.0168
10-11-20-21,2,2e-4
10-12-20-22,5,5e-4
10-20,24,0.0024
11-12-20,9,9e-4
11-12-21-22,3,3e-4
11-12-22,1,1e-4
12,21,0.0021
12-20,141,0.0141
12-20-21,12,0.0012
12-20-22,54,0.0054
12-21,3,3e-4
12-21-22,2,2e-4
12-22,5,5e-4
20,415,0.0415
20-21,59,0.0059
20-22,156,0.0156
21,10,0.001
21-22,15,0.0015
22,20,0.002
