parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
8326,4,0112-0120-0202-2020,0112,0112-0120-0202-2020,4,0.04,-7.589412,1.367572,1.211237,3.199913,0.04
8326,4,0112-0120-0202-2020,0120,0112-0120-0202-2020,4,0.179,-2.631046,1.367568,6.472278,-3.103208,0.179
8326,4,0112-0120-0202-2020,0202,0112-0120-0202-2020,4,0.385,-7.589457,5.57772,-5.216352,3.390456,0.385
8326,4,0112-0120-0202-2020,2020,0112-0120-0202-2020,4,0.396,3.390804,-5.115754,6.472387,-5.459238,0.396
8327,1,2020,2020,2020,1,1,7.103258,-5.156572,7.644291,-4.021831,1
8328,2,0202-2020,0202,0202-2020,2,0.889,-4.718926,5.505978,-6.776907,7.781518,0.889
8328,2,0202-2020,2020,0202-2020,2,0.111,6.375723,-4.017879,6.017433,-3.945958,0.111
8329,1,2201,2201,2201,1,1,5.307527,4.919976,-7.232137,1.728114,1
8330,2,0122-2020,2020,0112-2020,2,0.132,3.629121,-6.751624,6.972548,-4.284183,0.132
8330,2,0122-2020,0122,0112-2020,2,0.868,-8.651323,-0.587486,5.105156,0.623191,0.868
8331,2,0202-2020,0202,0202-2020,2,0.31,-1.681772,7.024783,-4.739688,6.07797,0.31
8331,2,0202-2020,2020,0202-2020,2,0.69,6.24545,-4.14728,6.591339,-5.347112,0.69
8332,2,0202-2022,0202,0202-2022,2,0.15,-1.250655,6.650838,-1.108627,5.842389,0.15
8332,2,0202-2022,2022,0202-2022,2,0.85,4.534954,-5.857386,2.051435,2.077877,0.85
8333,2,0202-2020,0202,0202-2020,2,0.513,-4.795735,6.257522,-5.731254,6.180165,0.513
8333,2,0202-2020,2020,0202-2020,2,0.487,4.463938,-5.61629,5.972127,-5.701848,0.487
8334,3,1012-1202-2020,1012,1012-1202-2020,3,0.395,0.618492,-3.888151,0.873477,7.542054,0.395
8334,3,1012-1202-2020,1202,1012-1202-2020,3,0.384,-1.194351,2.718404,-4.586026,7.542054,0.384
8334,3,1012-1202-2020,2020,1012-1202-2020,3,0.221,6.075747,-3.888151,7.025182,-1.154681,0.221
8335,2,2020-2202,2202,2020-2202,2,0.979,2.270073,3.595741,-6.039064,6.100047,0.979
8335,2,2020-2202,2020,2020-2202,2,0.021,7.004694,-0.79014,5.056632,0.364214,0.021
8336,2,0202-2020,2020,0202-2020,2,0.022,6.112328,-0.705967,7.119271,-3.680618,0.022
8336,2,0202-2020,0202,0202-2020,2,0.978,-5.742837,8.577025,-4.453402,5.387687,0.978
8337,4,0202-1022-1102-2020,1022,0202-1022-1102-2020,4,0.349,1.385228,-5.143509,2.486961,2.848281,0.349
8337,4,0202-1022-1102-2020,0202,0202-1022-1102-2020,4,0.038,-3.212564,5.620927,-3.775101,8.943061,0.038
8337,4,0202-1022-1102-2020,2020,0202-1022-1102-2020,4,0.241,6.668736,-5.143509,7.885826,-1.180899,0.241
8337,4,0202-1022-1102-2020,1102,0202-1022-1102-2020,4,0.372,1.385228,0.220424,-3.775101,8.941362,0.372
8338,1,2020,2020,2020,1,1,5.016495,-2.661425,7.678595,-7.293597,1
8339,2,1202-1220,1220,1202-1220,2,0.561,-0.812337,0.590627,1.211699,-0.628455,0.561
8339,2,1202-1220,1202,1202-1220,2,0.439,-0.920888,4.145519,-3.979315,5.088676,0.439
8340,3,0021-0202-2020,2020,0021-0202-2020,3,0.155,2.194722,-8.837418,6.533498,-4.731878,0.155
8340,3,0021-0202-2020,0202,0021-0202-2020,3,0.334,-7.718374,3.909408,-4.216047,6.278985,0.334
8340,3,0021-0202-2020,0021,0021-0202-2020,3,0.511,-4.397546,-2.67657,5.104232,0.489866,0.511
8341,2,0212-2020,2020,0212-2020,2,0.402,3.0988,-5.030991,7.117836,-4.292182,0.402
8341,2,0212-2020,0212,0212-2020,2,0.598,-4.803702,7.949358,-0.266047,4.367544,0.598
8342,4,0202-1012-1021-2020,0202,0202-1012-1021-2020,4,0.669,-7.46485,5.954656,-6.076778,4.335391,0.669
8342,4,0202-1012-1021-2020,1021,0202-1012-1021-2020,4,0.079,-0.966147,-4.903555,5.909145,-1.108408,0.079
8342,4,0202-1012-1021-2020,1012,0202-1012-1021-2020,4,0.016,-0.966147,-4.637417,-0.437116,4.335391,0.016
8342,4,0202-1012-1021-2020,2020,0202-1012-1021-2020,4,0.236,5.383814,-4.903555,5.909145,-6.757326,0.236
8343,4,0202-2020-2202-2210,2020,0202-2020-2210,4,0.159,8.082563,-3.942507,6.478708,-4.189213,0.159
8343,4,0202-2020-2202-2210,2202,0202-2020-2210,4,0.527,2.217514,1.080804,-6.350974,1.910372,0.527
8343,4,0202-2020-2202-2210,2210,0202-2020-2210,4,0.156,6.931317,1.080804,0.175786,-4.189213,0.156
8343,4,0202-2020-2202-2210,0202,0202-2020-2210,4,0.158,-2.72422,6.790716,-6.350974,6.528352,0.158
8344,2,0202-2020,0202,0202-2020,2,0.812,-7.860394,6.823209,-3.384572,6.722077,0.812
8344,2,0202-2020,2020,0202-2020,2,0.188,4.481972,-3.787902,6.512908,-3.576833,0.188
8345,3,0202-1022-2020,0202,0202-1022-2020,3,0.258,-4.061409,5.604586,-2.340006,3.682311,0.258
8345,3,0202-1022-2020,2020,0202-1022-2020,3,0.494,5.815464,-5.142436,6.659772,-2.511814,0.494
8345,3,0202-1022-2020,1022,0202-1022-2020,3,0.248,1.730535,-5.142436,2.212045,2.973943,0.248
8346,2,0202-2020,0202,0202-2020,2,0.839,-3.545795,9.531066,-4.29188,7.761781,0.839
8346,2,0202-2020,2020,0202-2020,2,0.161,6.745055,-3.210543,6.308294,-2.130443,0.161
8347,2,0202-2020,2020,0202-2020,2,0.544,5.763924,-10.729461,3.430812,-6.115931,0.544
8347,2,0202-2020,0202,0202-2020,2,0.456,-5.100868,1.731351,-6.852163,5.865522,0.456
8348,4,0202-2012-2020-2102,2102,0202-2012-2020-2102,4,0.507,1.588385,0.862271,-5.760195,3.596617,0.507
8348,4,0202-2012-2020-2102,2012,0202-2012-2020-2102,4,0.256,1.588385,-4.585098,-0.983004,3.596617,0.256
8348,4,0202-2012-2020-2102,2020,0202-2012-2020-2102,4,0.026,6.494283,-4.585098,4.342335,-2.019414,0.026
8348,4,0202-2012-2020-2102,0202,0202-2012-2020-2102,4,0.211,-0.952628,5.253845,-5.760195,7.300448,0.211
8349,2,0202-2020,0202,0202-2020,2,0.904,-5.550525,5.844565,-4.399542,8.574946,0.904
8349,2,0202-2020,2020,0202-2020,2,0.096,6.619903,-5.406941,5.546198,-3.486468,0.096
8350,1,0202,0202,0202,1,1,-4.416571,7.091348,-1.053198,7.083194,1
8351,1,2020,2020,2020,1,1,9.559608,-5.119334,5.660208,-3.612077,1
8352,1,0202,0202,0202,1,1,-8.149768,6.786597,-2.643785,9.437303,1
8353,3,0121-0202-2020,2020,0121-0202-2020,3,0.975,7.688247,-6.359873,6.366035,-7.460411,0.975
