parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
37,1,0303,0303,0403-1010,1,0.5,0.533,524.609,0.003,91.867,0.5
38,2,0300-1010,0300,0300-0303-1010,2,0.2,1.689,19.256,0.937,2.557,0.2
38,2,0300-1010,1010,0300-0303-1010,2,0.3333333333333333,75.021,0,75.974,2.557,0.3333333333333333
39,2,0303-1010,0303,0403-1010,2,1,1.453,555.599,0.053,89.813,1
39,2,0303-1010,1010,0403-1010,2,0.5,76.907,0.005,14.8,2.261,0.5
40,2,1010-1013,1010,1010-1013,2,0.3333333333333333,314.988,0,219.357,1.783,0.3333333333333333
40,2,1010-1013,1013,1010-1013,2,0.25,314.988,0.036,8.489,177.542,0.25
41,3,0303-1003-1010,1010,0303-1003-1010,3,1,72.21,0,5.861,13.014,1
41,3,0303-1003-1010,0303,0303-1003-1010,3,0.2,1.986,26.841,0.004,107.239,0.2
41,3,0303-1003-1010,1003,0303-1003-1010,3,0.16666666666666666,72.121,0.182,0.205,107.239,0.16666666666666666
42,2,1003-1010,1003,1003-1010,2,0.3333333333333333,93.743,0.022,1.144,157.131,0.3333333333333333
42,2,1003-1010,1010,1003-1010,2,0.5,93.743,0,98.106,12.384,0.5
43,1,1010,1010,0403-1010,1,0.5,120.345,0,93.172,7.799,0.5
44,2,1011-1013,1011,1011-1013,2,0.2,204.567,0,6.787,9.218,0.2
44,2,1011-1013,1013,1011-1013,2,0.16666666666666666,204.567,0.006,2.783,175.817,0.16666666666666666
45,3,0303-1010-1013,0303,0403-1010-1013,3,1,9.02,989.577,0.02,152.94,1
45,3,0303-1010-1013,1010,0403-1010-1013,3,0.5,56.198,0.001,112.662,2.157,0.5
45,3,0303-1010-1013,1013,0403-1010-1013,3,0.3333333333333333,56.198,0.046,1.514,152.94,0.3333333333333333
46,2,0303-1010,1010,0403-1010-1203,2,0.2,48.605,0,50.741,3.481,0.2
46,2,0303-1010,0303,0403-1010-1203,2,0.5,0.609,507.976,0.007,215.166,0.5
47,1,1010,1010,0300-1010,1,0.3333333333333333,111.505,0,170.552,0.327,0.3333333333333333
48,2,0303-1010,1010,0403-1010,2,0.5,92.375,0.002,52.961,2.055,0.5
48,2,0303-1010,0303,0403-1010,2,1,1.9,1114.279,0.221,196.679,1
49,2,0300-1010,0300,0400-0403-1010,2,0.6666666666666666,1.577,235.963,1.143,3.009,0.6666666666666666
49,2,0300-1010,1010,0400-0403-1010,2,0.25,114.966,0.007,87.18,3.009,0.25
50,1,0303,0303,0403,1,0.2,18.257,2998.384,0.046,150.557,0.2
51,1,1010,1010,0403-1010-1013-1203,1,0.6666666666666666,95.935,0,208.178,1.233,0.6666666666666666
52,1,1013,1013,1011-1013,1,2,144.758,0.01,12.895,233.676,2
53,1,1010,1010,1010,1,0.5,119.76,0.002,138.026,0.283,0.5
54,3,0303-1010-1013,0303,0403-1010-1013,3,0.3333333333333333,1.18,400.909,0.298,234.108,0.3333333333333333
54,3,0303-1010-1013,1013,0403-1010-1013,3,0.2,91.152,0.002,8.169,234.108,0.2
54,3,0303-1010-1013,1010,0403-1010-1013,3,0.25,91.152,0,642.446,9.433,0.25
55,2,0303-1010,0303,0403-1010,2,0.16666666666666666,5.167,847.848,0.015,301.128,0.16666666666666666
55,2,0303-1010,1010,0403-1010,2,1,118.464,0.007,98.073,4.933,1
56,1,0010,0010,0010-0412,1,1,21.499,0.115,127.701,1.088,1
57,2,0303-1010,0303,0210-0403-1010,2,0.3333333333333333,5.125,658.847,0.074,169.736,0.3333333333333333
57,2,0303-1010,1010,0210-0403-1010,2,0.5,134.464,0,203.217,3.33,0.5
58,2,0303-1013,1013,0113-0303-1013,2,0.3333333333333333,177.675,0.001,11.762,175.661,0.3333333333333333
58,2,0303-1013,0303,0113-0303-1013,2,0.2,3.223,55.664,0.228,175.661,0.2
59,1,1010,1010,0200-1010,1,2,287.634,0,68.509,0.196,2
60,2,1010-1013,1010,0313-1010-1013,3,0.5,351.535,0,760.684,2.782,0.5
60,2,1010-1013,1013,0313-1010-1013,3,0.25,351.535,0.006,43.136,111.504,0.5833333333333333
60,2,1010-1013,1013,0313-1010-1013,3,0.3333333333333333,351.535,0.006,43.135,111.504,0.5833333333333333
61,1,1010,1010,1010,1,0.2,70.579,0.003,125.382,0.181,0.2
62,2,0303-1013,1013,0403-1010-1013,2,2,34.617,0.011,7.783,40.372,2
62,2,0303-1013,0303,0403-1010-1013,2,0.16666666666666666,0.437,773.777,0.341,40.372,0.16666666666666666
