parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,2,01-20,01,01-20,2,0.633,-4.498374,6.529302,0.633
1,2,01-20,20,01-20,2,0.367,6.042188,1.314129,0.367
2,2,01-20,01,01-20,2,0.67,-5.589958,6.826144,0.67
2,2,01-20,20,01-20,2,0.33,6.202392,0.383023,0.33
3,2,01-20,01,01-10-20,2,0.391,-2.171928,6.8161060000000004,0.391
3,2,01-20,20,01-10-20,2,0.609,7.009111,1.079641,0.609
4,1,01,01,01,1,1,-1.411424,6.867566,1
5,2,01-20,01,01-20,2,0.554,-5.166279,5.539397,0.554
5,2,01-20,20,01-20,2,0.446,6.645043,1.00888,0.446
6,2,01-20,01,01-20,2,0.524,-5.259825,5.506337,0.524
6,2,01-20,20,01-20,2,0.476,6.89531,-0.675374,0.476
7,2,01-20,20,01-20,2,0.272,4.784009,-1.564132,0.272
7,2,01-20,01,01-20,2,0.728,-5.692724,5.076489,0.728
8,2,00-20,20,00-20,2,0.184,2.220856,1.464249,0.184
8,2,00-20,00,00-20,2,0.816,-3.434772,3.928947,0.816
9,2,00-20,20,00-20,2,0.358,4.449723,-0.099394,0.358
9,2,00-20,00,00-20,2,0.642,-1.568382,3.134084,0.642
10,1,01,01,01,1,1,-5.563133,6.374637,1
11,2,01-20,20,01-20,2,0.27,6.419877,-1.476277,0.27
11,2,01-20,01,01-20,2,0.73,-5.997046,4.871579,0.73
12,2,01-20,20,01-20,2,0.415,5.745848,0.219037,0.415
12,2,01-20,01,01-20,2,0.585,-2.263804,5.305997,0.585
13,1,01,01,01,1,1,-1.497026,5.691346,1
14,2,01-20,20,01-20,2,0.313,5.111794,0.746975,0.313
14,2,01-20,01,01-20,2,0.687,-6.01172,5.882192,0.687
15,2,11-20,20,01-11-20,2,0.424,5.418592,2.529742,0.424
15,2,11-20,11,01-11-20,2,0.576,-0.598659,6.231513,0.576
16,2,01-20,01,01-20,2,0.835,-8.020724,5.772784,0.835
16,2,01-20,20,01-20,2,0.165,4.355883,-0.281261,0.165
17,2,01-20,20,01-20,2,0.35,6.130729,2.162317,0.35
17,2,01-20,01,01-20,2,0.65,-4.202102,5.703975,0.65
18,2,01-20,20,01-20,2,0.469,6.329382,2.267644,0.469
18,2,01-20,01,01-20,2,0.531,-3.004392,7.150963,0.531
19,2,01-20,01,01-20,2,0.743,-4.745388,7.053996,0.743
19,2,01-20,20,01-20,2,0.257,7.016781,2.058178,0.257
20,2,01-20,20,01-11-20,2,0.436,6.498661,-2.086725,0.436
20,2,01-20,01,01-11-20,2,0.564,-5.49866,4.369558,0.564
21,2,01-20,01,01-20,2,0.545,-5.949951,7.157471,0.545
21,2,01-20,20,01-20,2,0.455,6.186491,1.639165,0.455
22,2,01-20,01,01-20,2,0.098,-0.092593,7.601339,0.098
22,2,01-20,20,01-20,2,0.902,6.989232,2.249588,0.902
23,2,01-20,20,01-10-20,2,0.359,6.674415,0.433425,0.359
23,2,01-20,01,01-10-20,2,0.641,-4.96672,5.302947,0.641
24,3,01-11-20,01,01-11-20,3,0.093,-5.670843,5.980214,0.093
24,3,01-11-20,11,01-11-20,3,0.222,0.495453,5.979234,0.222
24,3,01-11-20,20,01-11-20,3,0.685,5.581941,0.089619,0.685
25,2,01-20,20,01-20,2,0.07,3.788389,0.577829,0.07
25,2,01-20,01,01-20,2,0.93,-8.7903,7.065809,0.93
26,2,01-20,20,01-20,2,0.224,4.862455,-0.891097,0.224
26,2,01-20,01,01-20,2,0.776,-6.945047,5.037522,0.776
27,1,01,01,01,1,1,-11.88343,7.320706,1
28,2,01-20,20,01-20,2,0.337,6.559681,2.918385,0.337
28,2,01-20,01,01-20,2,0.663,-3.581379,6.762388,0.663
29,2,01-20,20,01-20,2,0.384,6.182446,3.264031,0.384
29,2,01-20,01,01-20,2,0.616,-5.130356,7.523656,0.616
30,2,01-20,20,01-20,2,0.387,5.716628,0.436259,0.387
30,2,01-20,01,01-20,2,0.613,-5.905779,7.026301,0.613
31,1,20,20,01-20,1,1,7.813914,1.45306,1
32,2,01-20,20,01-11-20,2,0.296,6.957172,1.957879,0.296
32,2,01-20,01,01-11-20,2,0.704,-4.775073,7.683145,0.704
33,2,01-20,01,01-11-20,2,0.63,-4.43939,6.357451,0.63
33,2,01-20,20,01-11-20,2,0.37,5.915187,0.895674,0.37
34,2,01-20,01,01-10-20,2,0.741,-6.604319,5.993005,0.741
34,2,01-20,20,01-10-20,2,0.259,5.783554,1.303707,0.259
35,3,01-10-20,20,01-10-20,3,0.255,6.752998,1.483094,0.255
35,3,01-10-20,01,01-10-20,3,0.651,-5.848388,8.107811,0.651
35,3,01-10-20,10,01-10-20,3,0.094,0.116568,1.738846,0.094
36,1,20,20,00-20,1,1,5.033838,-2.355575,1
37,2,01-20,01,01-20,2,0.85,-7.517282,7.01449,0.85
37,2,01-20,20,01-20,2,0.15,4.788986,0.705284,0.15
38,2,01-20,01,01-20,2,0.104,-0.646061,6.198626,0.104
38,2,01-20,20,01-20,2,0.896,7.176603,-0.001841,0.896
39,2,01-20,20,01-20,2,0.722,8.251237,0.030512,0.722
39,2,01-20,01,01-20,2,0.278,-0.765344,6.414012,0.278
40,1,20,20,01-11-20,1,1,7.446928,-2.372212,1
41,2,01-20,20,01-11-20,2,0.461,5.798131,1.959842,0.461
41,2,01-20,01,01-11-20,2,0.539,-6.326,6.280402,0.539
42,2,01-20,01,01-20,2,0.604,-7.575077,4.149169,0.604
42,2,01-20,20,01-20,2,0.396,4.803341,-1.734291,0.396
43,2,00-20,20,00-20,2,0.36,5.906482,-1.612216,0.36
43,2,00-20,00,00-20,2,0.64,0.423367,2.940341,0.64
44,2,01-20,20,01-20,2,0.5,5.62471,0.107261,0.5
44,2,01-20,01,01-20,2,0.5,-5.292587,6.078694,0.5
45,2,01-20,20,01-11-20,2,0.512,5.798135,-0.224632,0.512
45,2,01-20,01,01-11-20,2,0.488,-6.518308,6.280402,0.488
46,2,01-20,20,01-20,2,0.232,6.876275,2.317917,0.232
46,2,01-20,01,01-20,2,0.768,-3.664455,6.413954,0.768
47,2,01-20,01,01-20,2,0.832,-6.583018,6.90505,0.832
47,2,01-20,20,01-20,2,0.168,4.350914,0.44301,0.168
48,2,01-20,01,01-20,2,0.642,-4.218843,7.315031,0.642
48,2,01-20,20,01-20,2,0.358,7.269639,1.037058,0.358
49,2,01-20,20,01-10-20,2,0.451,6.379385,-1.019404,0.451
49,2,01-20,01,01-10-20,2,0.549,-1.472081,4.947378,0.549
50,1,20,20,20,1,1,5.724855,0.189778,1
51,2,10-20,10,10-20,2,0.599,-0.044122,-2.122181,0.599
51,2,10-20,20,10-20,2,0.401,6.278189,-2.122186,0.401
52,3,01-11-20,20,01-11-20,3,0.493,4.765656,1.405428,0.493
52,3,01-11-20,11,01-11-20,3,0.297,0.98201,6.789849,0.297
52,3,01-11-20,01,01-11-20,3,0.21,-2.030431,6.790208,0.21
53,2,01-20,01,01-20,2,0.978,-9.919087,7.263098,0.978
53,2,01-20,20,01-20,2,0.022,3.145368,2.1172,0.022
54,1,20,20,10-20,1,1,6.311082,-2.84782,1
55,2,01-20,20,01-20,2,0.807,7.659018,3.473156,0.807
55,2,01-20,01,01-20,2,0.193,-4.531749,8.178412,0.193
56,2,01-20,20,01-20,2,0.973,7.684237,1.183925,0.973
56,2,01-20,01,01-20,2,0.027,1.682452,6.440651,0.027
57,2,01-20,01,01-20,2,0.343,-3.291366,7.046056,0.343
57,2,01-20,20,01-20,2,0.657,7.865081,0.463362,0.657
58,1,01,01,01,1,1,-5.523899,7.87519,1
59,2,01-20,20,01-20,2,0.564,8.852892,1.578917,0.564
59,2,01-20,01,01-20,2,0.436,-3.167744,6.815875,0.436
60,1,01,01,01,1,1,-6.067729,7.446862,1
61,2,01-20,01,01-10-20,2,0.74,-5.251847,7.475939,0.74
61,2,01-20,20,01-10-20,2,0.26,5.994172,0.849109,0.26
62,2,01-20,20,01-20,2,0.376,6.361171,-1.898897,0.376
62,2,01-20,01,01-20,2,0.624,-4.892688,4.254938,0.624
63,2,01-20,20,01-20,2,0.352,6.901377,-0.135305,0.352
63,2,01-20,01,01-20,2,0.648,-5.317869,6.102371,0.648
64,2,01-20,20,01-20,2,0.293,8.080549,0.195157,0.293
64,2,01-20,01,01-20,2,0.707,-4.263238,6.745424,0.707
65,2,01-20,01,01-20,2,0.725,-3.463265,4.883152,0.725
65,2,01-20,20,01-20,2,0.275,5.191048,0.235901,0.275
66,3,01-10-20,10,01-10-20,3,0.067,1.199291,4.009806,0.067
66,3,01-10-20,20,01-10-20,3,0.164,5.987958,3.998748,0.164
66,3,01-10-20,01,01-10-20,3,0.769,-5.279744,8.411789,0.769
67,3,01-20-21,21,01-20,3,0.288,1.703147,7.056006,0.288
67,3,01-20-21,01,01-20,3,0.413,-3.009541,8.786179,0.413
67,3,01-20-21,20,01-20,3,0.299,7.141624,2.306935,0.299
68,2,01-20,01,01-20,2,0.887,-4.707164,8.806341,0.887
