ParIndex,GRHL2,ZEB,miR200,SLUG,Count
64,4.455,1746.725,0.085,113.249,1
64,338.817,0.001,66.912,2.782,1
65,14.481,1269.573,0.033,188.963,1
65,141.142,0.001,92.375,2.248,1
65,141.142,0.039,1.086,188.963,1
66,0.502,35.624,1.317,2.875,1
66,0.502,1934.738,0.023,123.719,1
66,36.314,0.001,102.436,2.875,1
67,20.265,35.326,0.002,441.213,2
67,171.423,0,17.219,4.935,1
68,22.671,42.285,3.659,9.389,1
68,22.671,564.095,0.039,188.828,2
68,456.877,0.086,357.034,9.389,1
68,456.877,0.087,3.852,188.828,1
69,103.439,0,105.359,15.014,1
69,103.439,0,106.424,0.569,1
70,2.876,27.855,1.097,0.173,1
70,11.793,0.003,58.758,0.173,1
71,2.298,163.793,0.337,56.439,1
71,93.562,0,456.877,0.727,1
71,93.562,0.003,28.712,56.439,1
72,4.922,28.002,0.007,93.918,2
72,101.779,0.005,0.665,1.625,1
73,11.139,43.7,0.003,110.204,1
73,164.864,0.002,16.696,2.124,1
73,164.864,0.258,0.249,110.204,1
74,5.271,101.016,0.021,100.472,2
74,165.303,0,39.199,1.272,2
74,165.303,0.034,1.437,100.472,1
75,21.544,27.742,0.019,96.13,1
75,330.92,0.001,93.997,1.257,1
76,114.141,0,238.519,0.168,1
77,1.816,473.095,0.52,15.898,1
77,1.816,473.135,0.008,207.799,1
77,50.69,0.682,0.558,207.799,1
77,50.694,0.009,38.495,15.898,1
78,2.619,32.978,2.423,1.098,1
78,2.619,1428.852,0.068,108.942,1
78,251.084,0,234.969,1.098,1
78,251.084,0.006,6.556,108.942,1
79,7.214,25.695,1.304,9.117,1
79,7.214,2535.536,0.031,237.963,1
79,7.214,2535.537,0.031,237.963,1
79,73.261,0.011,120.96,9.117,1
80,8.466,66.727,0.227,31.247,1
80,69.174,0,4.23,31.247,2
81,2.162,226.882,0.056,63.298,1
81,110.185,0,68.163,0.707,1
81,110.185,0.001,4.913,63.298,1
82,5.701,36.954,1.91,0.369,1
82,174.423,0.001,53.915,0.369,1
83,8.869,2738.01,0.119,234.6,1
83,225.702,0.013,7.268,234.6,1
83,225.702,0.463,0.164,234.6,1
84,141.134,0.001,95.601,0.685,1
85,3.918,25.074,0.431,617.168,1
85,59.252,0.002,38.484,617.168,1
85,59.252,0.002,178.974,7.142,1
86,3.37,1049.927,1.806,96.803,1
86,74.874,0.033,252.427,1.469,1
87,312.719,0,17.636,0.353,1
88,2.076,2470.962,0.013,572.348,3
89,2.81,190.631,1.042,198.097,1
89,171.676,0.001,305.71,5.996,1
89,171.676,0.052,17.252,198.097,1
90,2.663,605.277,0.036,106.119,1
90,161.055,0.176,0.12,106.119,1
90,161.2,0,191.36,2.803,1
90,161.2,0.004,2.819,106.119,1
91,0.961,17.228,1.208,1.127,1
91,0.961,1276.638,0.047,88.347,1
91,61.488,0.031,88.642,1.127,1
92,5.461,16.007,19.705,1.081,2
92,98.162,0.007,84.439,1.081,2
93,0.704,1243.516,0.03,137.734,1
93,62.154,0.002,2.799,137.734,2
94,4.345,8.525,0.004,48.253,1
94,46.289,0,15.76,2.486,1
94,46.289,0.301,0.194,48.253,1
95,12.026,11.239,0.173,139.819,1
95,76.199,0.003,485.515,1.409,1
95,76.199,0.05,13.792,139.819,1
96,2.185,1451.936,0.304,178.686,1
96,63.605,0,195.302,4.973,1
96,63.605,0.017,6.305,178.686,1
96,63.605,0.717,6.249,178.686,1
