parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
3448,2,0303-3030,3030,0030-0300-0303-0330-3030-3300,2,0.11,4.611292,-9.418179,7.419532,-12.746359,0.11
3448,2,0303-3030,0303,0030-0300-0303-0330-3030-3300,2,0.89,-9.744546,7.902453,-8.482141,4.982986,0.89
3449,4,0303-3130-3300-3320,3130,0301-0303-0320-3130-3300-3320,4,0.004,2.363982,-1.699588,5.475014,-9.379659,0.004
3449,4,0303-3130-3300-3320,3320,0301-0303-0320-3130-3300-3320,4,0.188,2.329909,7.6556,-0.769259,-9.227686,0.188
3449,4,0303-3130-3300-3320,0303,0301-0303-0320-3130-3300-3320,4,0.052,-9.69657,9.208161,-11.607808,1.465865,0.052
3449,4,0303-3130-3300-3320,3300,0301-0303-0320-3130-3300-3320,4,0.756,2.329909,7.666382,-6.665201,-7.677222,0.756
3450,6,0133-0303-3003-3030-3300-3320,3030,0033-0303-0320-3003-3030-3300-3320,6,0.378,9.514687,-10.844792,6.410331,-11.756732,0.378
3450,6,0133-0303-3003-3030-3300-3320,3003,0033-0303-0320-3003-3030-3300-3320,6,0.035,2.777196,-4.335727,-5.070895,0.539189,0.035
3450,6,0133-0303-3003-3030-3300-3320,0133,0033-0303-0320-3003-3030-3300-3320,6,0.05,-8.013382,-3.094786,1.052216,1.030418,0.05
3450,6,0133-0303-3003-3030-3300-3320,3320,0033-0303-0320-3003-3030-3300-3320,6,0.049,4.896227,1.275722,0.039664,-8.237926,0.049
3450,6,0133-0303-3003-3030-3300-3320,0303,0033-0303-0320-3003-3030-3300-3320,6,0.423,-8.242888,7.4045,-11.893047,6.992787,0.423
3450,6,0133-0303-3003-3030-3300-3320,3300,0033-0303-0320-3003-3030-3300-3320,6,0.065,4.896226,1.371569,-6.500089,-5.668715,0.065
3451,3,0303-3030-3200,0303,0302-0303-3030,3,0.674,-12.136651,6.43549,-6.694742,5.785457,0.674
