Phase,Count,Frequency
0002-0003-0302-0303-0330-3030,1,1e-4
0002-0003-0302-0303-1030-3030,1,1e-4
0003-0013-0030-0303-3030,1,1e-4
0003-0013-0303-0320-1030-3003-3013-3030,1,1e-4
0003-0013-0303-3003-3013,1,1e-4
0003-0013-0303-3011-3030,1,1e-4
0003-0013-0303-3013-3030,1,1e-4
0003-0013-0303-3030,2,2e-4
0003-0023-0030-0303-3030,1,1e-4
0003-0023-0301-0303-3030,1,1e-4
0003-0023-0303-0320-1030-3030,1,1e-4
0003-0023-0303-0320-3003-3030,1,1e-4
0003-0023-0303-0330-3003-3030,1,1e-4
0003-0023-0303-0330-3030,1,1e-4
0003-0023-0303-1003-1023-3030,1,1e-4
0003-0023-0303-1030-3030,1,1e-4
0003-0023-0303-3001-3030,1,1e-4
0003-0023-0303-3003-3023-3030,1,1e-4
0003-0023-0303-3003-3030,2,2e-4
0003-0023-0303-3003-3030-3031,1,1e-4
0003-0023-0303-3030,1,1e-4
0003-0030-0032-0303-3030,1,1e-4
0003-0030-0033-0103-3030,1,1e-4
0003-0030-0033-0123-0130-0303-3003-3030,1,1e-4
0003-0030-0033-0303-3030,5,5e-4
0003-0030-0301-0303-3030,1,1e-4
0003-0030-0303-0310-3030,1,1e-4
0003-0030-0303-3000-3030,1,1e-4
0003-0030-0303-3030,4,4e-4
0003-0030-0303-3030-3031,1,1e-4
0003-0031-0033-0303-3003-3030,1,1e-4
0003-0031-0303-3001-3003-3030,1,1e-4
0003-0031-0303-3003-3030,3,3e-4
0003-0031-0303-3030,2,2e-4
0003-0032-0033-0303-3003-3030-3033,1,1e-4
0003-0032-0303-1300-3030-3300,1,1e-4
0003-0032-0303-2003-3030,1,1e-4
0003-0032-0303-3001-3030,1,1e-4
0003-0032-0303-3003-3030,1,1e-4
0003-0032-0303-3010-3030,1,1e-4
0003-0032-0303-3030,5,5e-4
0003-0033-0133-0303-3030,1,1e-4
0003-0033-0300-0303-3003-3030-3033,1,1e-4
0003-0033-0303,2,2e-4
0003-0033-0303-0310-3030-3310,1,1e-4
0003-0033-0303-0313-3030,2,2e-4
0003-0033-0303-0330-2003-3030,1,1e-4
0003-0033-0303-0330-2330-3003-3030,1,1e-4
0003-0033-0303-0330-3003-3030,3,3e-4
0003-0033-0303-0330-3030,3,3e-4
0003-0033-0303-1003-1031-1033-3030,1,1e-4
0003-0033-0303-1003-1033-3030,1,1e-4
0003-0033-0303-1003-3030,1,1e-4
0003-0033-0303-1030-3003-3030,1,1e-4
0003-0033-0303-1030-3030,2,2e-4
0003-0033-0303-1300-3003-3030,1,1e-4
0003-0033-0303-2003-3002-3030,1,1e-4
0003-0033-0303-2003-3003-3030-3300,1,1e-4
0003-0033-0303-2003-3030,5,5e-4
0003-0033-0303-3000-3030,1,1e-4
0003-0033-0303-3001-3003-3030,1,1e-4
0003-0033-0303-3001-3003-3030-3301,1,1e-4
0003-0033-0303-3002-3003-3030,1,1e-4
0003-0033-0303-3002-3030,2,2e-4
0003-0033-0303-3002-3031,1,1e-4
0003-0033-0303-3003-3030,43,0.0043
0003-0033-0303-3003-3030-3031,2,2e-4
0003-0033-0303-3003-3030-3032,3,3e-4
0003-0033-0303-3003-3030-3033,6,6e-4
0003-0033-0303-3003-3030-3300,3,3e-4
0003-0033-0303-3003-3031,2,2e-4
0003-0033-0303-3003-3031-3033,1,1e-4
0003-0033-0303-3013-3030,1,1e-4
0003-0033-0303-3030,28,0.0028
0003-0033-0303-3030-3032,2,2e-4
0003-0033-0303-3030-3033,2,2e-4
0003-0033-0303-3030-3103,1,1e-4
0003-0033-0303-3030-3300,1,1e-4
0003-0033-3003-3030,1,1e-4
0003-0230-0301-0303-0320-3030,1,1e-4
0003-0300-0303-1003-3030,1,1e-4
0003-0300-0303-1030-3030,1,1e-4
0003-0300-0303-3010-3030,2,2e-4
0003-0300-0303-3030,8,8e-4
0003-0300-0303-3030-3300,2,2e-4
0003-0301-0303-1001-1030-3030,1,1e-4
0003-0301-0303-3030,5,5e-4
0003-0301-0303-3030-3300,3,3e-4
0003-0302-0303-0330-3030,1,1e-4
0003-0303,1,1e-4
0003-0303-0310-3030,1,1e-4
0003-0303-0310-3030-3310,1,1e-4
0003-0303-0320-3003-3030,1,1e-4
0003-0303-0330-3003-3030,1,1e-4
0003-0303-0330-3003-3030-3300,1,1e-4
0003-0303-0330-3030,5,5e-4
0003-0303-1003-2300-3030,1,1e-4
0003-0303-1003-3000-3030,1,1e-4
0003-0303-1003-3030,1,1e-4
0003-0303-1030-3000-3030,1,1e-4
0003-0303-1030-3030,2,2e-4
0003-0303-1033-3001-3030,1,1e-4
0003-0303-1301-3030,1,1e-4
0003-0303-2003-3030,1,1e-4
0003-0303-2003-3030-3201,1,1e-4
0003-0303-2003-3030-3300,1,1e-4
0003-0303-2003-3031,1,1e-4
0003-0303-2030-3030,1,1e-4
0003-0303-2300-3003-3030,2,2e-4
0003-0303-2300-3030,1,1e-4
0003-0303-2303-3003-3030,1,1e-4
0003-0303-3000-3001-3030,1,1e-4
0003-0303-3000-3002-3030,1,1e-4
0003-0303-3000-3002-3030-3032,1,1e-4
0003-0303-3000-3003-3030,10,0.001
0003-0303-3000-3030,5,5e-4
0003-0303-3000-3030-3300,1,1e-4
0003-0303-3001-3003-3030,1,1e-4
0003-0303-3001-3030,1,1e-4
0003-0303-3001-3031,1,1e-4
0003-0303-3002-3003-3030,1,1e-4
0003-0303-3002-3030,3,3e-4
0003-0303-3003-3010-3030,2,2e-4
0003-0303-3003-3030,38,0.0038
0003-0303-3003-3030-3300,3,3e-4
0003-0303-3003-3030-3300-3303,1,1e-4
0003-0303-3003-3030-3300-3303-3320,1,1e-4
0003-0303-3003-3031,1,1e-4
0003-0303-3010-3030,4,4e-4
0003-0303-3012-3030,1,1e-4
0003-0303-3030,49,0.0049
0003-0303-3030-3300,3,3e-4
0003-0303-3031,1,1e-4
0003-1303-3003-3013-3030,1,1e-4
0003-3030,1,1e-4
0010-0230-0300-0303-3010-3030,1,1e-4
0011-0013-0030-0301-0303-3030,2,2e-4
