parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,3,00-02-20,00,00-02-12-20,3,0.42,-0.273883,-2.480242,0.42
1,3,00-02-20,02,00-02-12-20,3,0.09,-4.990374,3.561538,0.09
1,3,00-02-20,20,00-02-12-20,3,0.49,6.057674,-6.588513,0.49
2,2,02-20,02,02-20,2,0.1,-1.873039,5.636746,0.1
2,2,02-20,20,02-20,2,0.9,8.242304,-5.795516,0.9
3,3,02-10-20,02,02-10-20,3,0.47,-4.619159,6.790472,0.47
3,3,02-10-20,10,02-10-20,3,0.26,1.594362,-3.635951,0.26
3,3,02-10-20,20,02-10-20,3,0.27,7.233567,-3.635951,0.27
4,2,02-20,02,02-20-21,2,0.66,-8.633537,5.262671,0.66
4,2,02-20,20,02-20-21,2,0.34,3.351543,-7.147072,0.34
5,3,02-20-22,02,02-20-22,3,0.44,-3.921058,7.42177,0.44
5,3,02-20-22,20,02-20-22,3,0.22,7.205226,-4.428266,0.22
5,3,02-20-22,22,02-20-22,3,0.34,1.600923,1.83108,0.34
6,3,02-20-22,20,02-20-22,3,0.5,8.242304,-4.617134,0.5
6,3,02-20-22,22,02-20-22,3,0.3,2.190853,1.958449,0.3
6,3,02-20-22,02,02-20-22,3,0.2,-4.246199,5.636746,0.2
7,2,02-20,20,02-20,2,0.45,5.515622,-3.343651,0.45
7,2,02-20,02,02-20,2,0.55,-5.902348,6.111946,0.55
8,3,00-02-20,20,00-02-20,3,0.47,6.798266,-6.844594,0.47
8,3,00-02-20,00,00-02-20,3,0.33,0.21559,-0.642169,0.33
8,3,00-02-20,02,00-02-20,3,0.2,-6.203487,4.599039,0.2
9,2,02-20,02,02-20,2,0.8,-6.820429,7.252408,0.8
9,2,02-20,20,02-20,2,0.2,6.18607,-3.220806,0.2
10,1,20,20,02-20,1,1,6.969507,-9.547705,1
11,1,02,02,01-02,1,1,-5.65126,7.157973,1
12,2,02-20,02,02-20-21,2,0.9,-7.140932,8.321722,0.9
12,2,02-20,20,02-20-21,2,0.1,2.989115,-3.627759,0.1
13,2,02-20,02,02-20,2,0.93,-7.710884,6.096796,0.93
13,2,02-20,20,02-20,2,0.07,3.891064,-5.562578,0.07
14,3,02-20-22,02,02-20-22,3,0.52,-3.48309,6.546685,0.52
14,3,02-20-22,22,02-20-22,3,0.26,2.513889,0.120058,0.26
14,3,02-20-22,20,02-20-22,3,0.22,5.501211,-6.306551,0.22
15,3,02-10-20,02,02-10-20,3,0.47,-3.795103,6.846767,0.47
15,3,02-10-20,10,02-10-20,3,0.04,0.603226,-3.24867,0.04
15,3,02-10-20,20,02-10-20,3,0.49,6.454719,-3.249823,0.49
16,2,02-20,02,02-20,2,0.89,-5.214102,5.697462,0.89
16,2,02-20,20,02-20,2,0.11,6.825195,-4.355985,0.11
17,2,02-20,20,02-20,2,0.07,5.863613,-2.373018,0.07
17,2,02-20,02,02-20,2,0.93,-3.361616,6.420765,0.93
18,2,02-20,02,02-20,2,0.19,-1.965465,6.330574,0.19
18,2,02-20,20,02-20,2,0.81,8.056273,-5.631879,0.81
19,1,02,02,02,1,1,-7.670028,7.432634,1
20,2,02-12,12,02-12,2,0.88,0.78174,6.465705,0.88
20,2,02-12,02,02-12,2,0.12,-5.0433,6.465705,0.12
21,2,20-22,22,20-22,2,0.54,3.430732,2.570278,0.54
