ParIndex,GRHL2,ZEB,miR200,SLUG,Count
83,87.796,0.019,87.183,1.59,2
84,330.658,0,27.506,31.971,1
84,330.658,0,29.761,0.398,1
85,1.511,378.138,0.127,119.7,1
85,126.917,0,358.568,2.997,2
86,42.269,0,69.638,4.426,3
87,65.008,90.27,0.01,104.72,1
87,307.094,0,13.493,1.196,1
88,4.966,1631.473,0.057,131.83,1
88,297.851,0,82.865,3.084,1
88,297.851,0.137,5.659,131.83,1
89,0.619,1421.565,0.03,196.042,1
89,28.607,0.001,187.6,2.721,3
90,35.645,268.411,0.345,146.908,1
90,267.053,0,150.144,1.881,1
90,267.053,0.001,7.217,146.908,1
91,37.393,0.002,85.162,0.345,2
92,0.224,2034.975,0.089,18.232,1
92,0.224,2071.858,0.088,228.929,1
93,1.481,511.599,0.038,154.04,1
93,132.793,0,105.289,2.337,1
93,132.793,0.001,1.225,154.04,1
94,0.121,189.501,0.007,97.697,1
94,4.175,0.001,18.754,1.783,2
95,0.695,501.454,0.03,71.421,2
95,69.219,0,17.996,2.904,2
96,138.545,0.116,0.365,153.065,1
97,47.928,0.001,20.705,0.546,1
98,385.336,0.003,14.052,0.446,2
98,385.336,0.04,0.49,35.886,2
99,1.364,291.901,0.144,352.284,1
99,41.517,0,78.29,3.555,1
99,41.517,0.003,4.937,352.284,2
100,186.521,0.002,125.131,0.23,3
101,0.644,489.99,0.116,58.744,1
101,17.611,0.171,186.632,3.745,1
102,8.454,5204.822,0.209,197.212,2
103,0.827,230.877,0.047,78.317,1
103,48.386,0,100.718,0.839,2
104,81.435,0,194.497,0.94,1
105,0.13,1220.774,0.097,106.9,2
105,10.916,0.148,4.127,106.9,2
106,4.111,319.725,0.035,341.011,1
106,293.017,0,40.561,3.75,2
107,15.894,319.622,0.634,526.737,1
107,876.855,0.001,719.235,5.939,1
107,876.855,0.014,17.795,526.737,1
108,1.376,3430.232,0.267,199.657,1
108,79.75,0.001,110.893,3.549,1
109,1.115,788.439,0.016,107.251,4
110,30.065,0,6.814,2.37,1
110,30.065,0.004,3.471,31.479,1
112,30.935,0.036,434.159,11.071,1
112,30.935,0.383,148.221,119.166,1
113,1.085,251.747,0.041,92.135,1
113,83.24,0,55.829,1.682,2
113,83.24,0.511,0.041,92.135,1
115,1.196,52.138,3.665,1.558,1
115,1.196,4286.068,0.118,144.809,1
115,36.839,0.001,316.592,1.558,1
115,36.839,0.069,10.161,144.809,1
116,12.69,2170.006,0.039,115.51,1
116,74.365,0.688,2.548,115.51,1
116,74.366,0,111.905,1.194,1
117,80.868,0.003,85.095,297.534,1
118,13.219,819.981,0.018,149.383,1
118,233.313,0,28.315,1.788,1
118,233.313,0.148,1.114,149.383,1
119,44.113,0,39.41,0.655,1
119,44.113,0.001,23.927,35.888,1
120,0.959,928.467,0.018,922.364,1
120,77.912,0.008,55.775,16.831,2
121,6.368,6.954,0.716,0.842,1
121,497.069,0.003,25.46,0.842,1
122,2.944,208.742,0.007,194.293,1
122,145.684,0,27.317,6.945,1
122,145.684,0.067,0.335,194.293,1
123,4.696,873.58,0.042,73.13,1
123,43.491,0.751,1.39,73.13,3
124,8.259,30.505,2.646,0.915,2
124,86.699,0.306,116.324,0.915,1
124,86.7,0.028,116.324,0.915,1
125,14.011,0.99,1.269,1.605,1
125,14.011,773.634,0.043,145.687,1
125,57.077,0.001,22.663,1.605,2
126,73.034,0.003,105.75,0.831,2
127,5.258,1518.827,0.03,280.834,2
128,14.337,85.058,2.439,0.078,1
128,126.892,0.005,120.142,0.078,1
129,1.174,2883.276,0.085,227.707,1
129,38.965,0.273,6.807,227.707,1
130,6.625,9.263,0.176,0.152,1
130,39.418,0.001,10.123,0.152,1
131,0.654,37.963,2.293,1.408,1
131,0.654,2948.761,0.154,56.347,1
131,65.096,0.207,5.095,56.347,1
131,65.098,0,75.901,1.408,1
132,0.726,1376.512,0.68,290.87,1
132,62.947,0.006,34.688,290.87,3
133,3.69,348.63,1.92,38.764,1
133,97.155,0.005,41.83,1.545,2
133,97.155,0.029,36.78,38.764,1
134,0.893,1737.487,0.068,135.631,3
135,6.27,598.921,0.032,124.061,1
135,71.817,0,43.454,2.461,2
136,1.865,1817.149,0.003,200.868,1
136,77.956,0,6.455,2.222,3
137,1.148,511.83,2.11,33.932,1
137,108.071,0.004,26.452,33.932,2
138,5.837,412.656,0.45,196.702,1
138,453.607,0.001,300.202,2.985,2
139,2.254,31.82,1.19,1.46,1
139,5.267,0.079,98.485,1.46,1
140,3.895,1618.462,1.06,69.146,2
140,59.131,0,83.578,0.809,1
140,59.131,0.006,18.548,69.146,1
141,118.106,0,41.103,2.767,1
141,118.106,0.365,0.685,93.903,1
142,3.177,225.155,0.896,0.823,2
142,90.917,0.002,42.091,0.823,1
143,1.314,1013.915,0.031,284.402,3
144,54.528,0.009,581.316,0.444,2
145,2.953,743.543,1.144,60.439,1
145,254.457,0,127.219,1.005,1
145,254.457,0.001,24.681,60.439,1
146,4.169,140.98,0.296,139.926,1
146,286.325,0,80.609,5.563,1
147,1.937,188.386,0.016,360.085,1
147,145.812,0,83.41,7.639,1
147,145.812,0.156,1.064,360.085,1
148,193.686,0.004,89.25,2.844,1
148,193.686,0.007,6.724,86.832,2
149,432.138,0.014,36.708,43.767,2
150,1.463,171.549,0.03,59.811,1
150,79.391,0,102.211,0.979,2
151,2.313,650.692,0.004,101.597,2
151,142.475,0.031,3.046,1.033,1
152,0.663,128.969,0.005,192.162,1
152,6.349,0.004,25.051,10.037,1
153,0.654,636.444,0.008,467.564,1
153,20.55,0.003,43.207,6.184,1
154,145.268,0,230.517,11.156,1
154,145.268,0.049,2.568,49.571,1
155,0.117,74.437,1.063,0.78,2
156,4.758,586.023,2.208,10.454,1
156,4.758,588.055,0.103,115.901,1
156,115.523,0.048,19.701,10.454,1
157,156.658,0,295.676,3.576,1
