parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,2,00-20,00,00-20,2,0.774,-2.317932,4.005466,0.774
1,2,00-20,20,00-20,2,0.226,4.090483,-1.953789,0.226
2,3,01-10-20,20,01-10-20,3,0.398,6.726237,2.447847,0.398
2,3,01-10-20,01,01-10-20,3,0.522,-4.293273,6.245553,0.522
2,3,01-10-20,10,01-10-20,3,0.08,1.313166,2.447864,0.08
3,1,20,20,20,1,1,6.269409,-2.152518,1
4,2,01-20,20,01-20,2,0.987,6.2964,0.59374,0.987
4,2,01-20,01,01-20,2,0.013,1.138832,4.462729,0.013
5,2,01-20,20,01-20,2,0.102,4.021324,2.178304,0.102
5,2,01-20,01,01-20,2,0.898,-7.562954,6.055603,0.898
6,3,01-10-20,20,01-10-20,3,0.468,4.341204,1.005195,0.468
6,3,01-10-20,01,01-10-20,3,0.456,-5.280848,6.776635,0.456
6,3,01-10-20,10,01-10-20,3,0.076,-1.49693,3.496851,0.076
7,3,01-11-20,11,01-11-20,3,0.118,0.499992,5.899539,0.118
7,3,01-11-20,20,01-11-20,3,0.47,7.090745,0.166232,0.47
7,3,01-11-20,01,01-11-20,3,0.412,-5.10686,5.899539,0.412
8,2,01-20,20,01-11-20,2,0.352,5.316486,0.089653,0.352
8,2,01-20,01,01-11-20,2,0.648,-6.742797,6.5035,0.648
9,2,01-20,01,01-20,2,0.519,-3.832596,7.038878,0.519
9,2,01-20,20,01-20,2,0.481,5.626565,2.12464,0.481
10,2,01-20,20,01-20,2,0.57,5.246156,0.46333,0.57
10,2,01-20,01,01-20,2,0.43,-2.774705,6.763527,0.43
11,2,01-20,20,01-20,2,0.596,7.220222,-1.28305,0.596
11,2,01-20,01,01-20,2,0.404,-3.819942,4.762031,0.404
12,2,01-20,01,01-20,2,0.788,-5.123686,7.169293,0.788
12,2,01-20,20,01-20,2,0.212,5.057754,0.530736,0.212
13,2,01-20,20,01-20,2,0.2,4.891278,1.905605,0.2
13,2,01-20,01,01-20,2,0.8,-6.380333,7.450493,0.8
14,1,20,20,20,1,1,6.881241,-5.148139,1
15,1,01,01,01,1,1,-5.022235,6.603826,1
16,2,01-20,20,01-20,2,0.006,2.527368,-0.093741,0.006
16,2,01-20,01,01-20,2,0.994,-6.364494,6.501819,0.994
17,2,01-20,01,01-20,2,0.088,-0.311465,6.669148,0.088
17,2,01-20,20,01-20,2,0.912,7.350679,0.255513,0.912
18,2,01-20,20,01-10-20,2,0.537,7.700791,-2.468686,0.537
18,2,01-20,01,01-10-20,2,0.463,-4.26282,3.462156,0.463
19,3,01-10-20,10,01-10-20,3,0.19,0.865257,1.128858,0.19
19,3,01-10-20,01,01-10-20,3,0.489,-3.724924,6.912142,0.489
19,3,01-10-20,20,01-10-20,3,0.321,5.638706,1.128858,0.321
20,2,01-20,20,01-20,2,0.559,7.525583,1.490063,0.559
20,2,01-20,01,01-20,2,0.441,-4.995071,7.586275,0.441
21,2,00-20,00,00-20,2,0.641,0.487855,4.006626,0.641
21,2,00-20,20,00-20,2,0.359,6.006517,-1.933068,0.359
22,3,01-10-20,10,01-10-20,3,0.464,0.380313,0.966195,0.464
22,3,01-10-20,01,01-10-20,3,0.274,-4.473132,6.309284,0.274
22,3,01-10-20,20,01-10-20,3,0.262,4.594322,0.966195,0.262
23,1,01,01,01,1,1,-4.113331,7.723919,1
24,1,20,20,10-20,1,1,6.440529,-0.69544,1
25,1,20,20,20,1,1,7.660905,-0.518834,1
26,3,01-10-20,10,01-10-20,3,0.211,0.289727,0.293915,0.211
26,3,01-10-20,20,01-10-20,3,0.361,6.544751,0.293911,0.361
26,3,01-10-20,01,01-10-20,3,0.428,-5.673944,6.445815,0.428
27,2,01-20,01,01-20,2,0.303,-1.436074,4.594322,0.303
27,2,01-20,20,01-20,2,0.697,8.121015,-0.74877,0.697
28,2,00-20,00,00-20,2,0.506,-0.158896,2.412271,0.506
