Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0010-0013-0303,0.0102,0.0127,0.0132,0.012033333333333333,0.0016072751268321587,1-10,3
0010-0013-0303-0310,3e-4,2e-4,8e-4,4.333333333333333e-4,3.2145502536643183e-4,1-10,4
0010-0013-0310-0313,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,4
0010-0013-0313,5e-4,0.0013,5e-4,7.666666666666667e-4,4.6188021535170057e-4,1-10,3
0010-0100-0102-0200-0202,1e-4,NA,NA,NA,NA,1-10,5
0010-0100-0102-0300-0302,1e-4,1e-4,1e-4,1e-4,0,1-10,5
0010-0100-0300,5e-4,4e-4,7e-4,5.333333333333334e-4,1.5275252316519465e-4,1-10,3
0010-0100-0300-0303,0.0033,0.0018,0.0022,0.0024333333333333334,7.767453465154029e-4,1-10,4
0010-0102,1e-4,NA,NA,NA,NA,1-10,2
0010-0102-0302,1e-4,NA,NA,NA,NA,1-10,3
0010-0103-0300-0303,3e-4,0.0011,6e-4,6.666666666666666e-4,4.0414518843273807e-4,1-10,4
0010-0103-0303,0.0014,0.0018,0.0013,0.0015,2.6457513110645904e-4,1-10,3
0010-0110,5e-4,7e-4,0.001,7.333333333333333e-4,2.5166114784235834e-4,1-10,2
0010-0110-0300,5e-4,8e-4,8e-4,7e-4,1.7320508075688773e-4,1-10,3
0010-0110-0300-0302,1e-4,2e-4,NA,NA,NA,1-10,4
0010-0110-0300-0303,0.0024,0.0019,0.0023,0.0021999999999999997,2.64575131106459e-4,1-10,4
0010-0110-0303,9e-4,0.0016,7e-4,0.0010666666666666667,4.725815626252609e-4,1-10,3
0010-0110-0313,2e-4,NA,NA,NA,NA,1-10,3
0010-0112-0300-0302,2e-4,4e-4,NA,NA,NA,1-10,4
0010-0112-0310-0312,1e-4,NA,NA,NA,NA,1-10,4
0010-0113-0300-0303,2e-4,3e-4,5e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,4
0010-0113-0303,8e-4,6e-4,5e-4,6.333333333333333e-4,1.5275252316519468e-4,1-10,3
0010-0113-0313,1e-4,1e-4,1e-4,1e-4,0,1-10,3
0010-0200,6e-4,1e-4,4e-4,3.6666666666666667e-4,2.516611478423583e-4,1-10,2
0010-0200-0300,3e-4,4e-4,5e-4,4e-4,1.0000000000000002e-4,1-10,3
0010-0200-0300-0303,0.0011,9e-4,5e-4,8.333333333333334e-4,3.0550504633038936e-4,1-10,4
0010-0200-0303,0.001,4e-4,5e-4,6.333333333333334e-4,3.2145502536643183e-4,1-10,3
0010-0203-0300-0303,3e-4,4e-4,5e-4,4e-4,1.0000000000000002e-4,1-10,4
0010-0203-0303,4e-4,8e-4,7e-4,6.333333333333334e-4,2.0816659994661328e-4,1-10,3
0010-0210,8e-4,3e-4,4e-4,5e-4,2.645751311064591e-4,1-10,2
0010-0210-0300,2e-4,NA,3e-4,NA,NA,1-10,3
0010-0210-0300-0303,7e-4,8e-4,6e-4,7e-4,1.0000000000000005e-4,1-10,4
0010-0210-0303,6e-4,3e-4,6e-4,5e-4,1.7320508075688773e-4,1-10,3
0010-0210-0313,1e-4,NA,NA,NA,NA,1-10,3
0010-0212-0312,1e-4,NA,NA,NA,NA,1-10,3
0010-0300,0.0132,0.0113,0.0118,0.0121,9.848857801796108e-4,1-10,2
0010-0300-0302,5e-4,7e-4,3e-4,5e-4,2e-4,1-10,3
0010-0300-0303,0.0315,0.0302,0.0309,0.030866666666666667,6.506407098647707e-4,1-10,3
0010-0303,0.0127,0.0134,0.0118,0.012633333333333333,8.020806277010647e-4,1-10,2
0010-0303-0310,0.0016,0.0013,0.0012,0.0013666666666666666,2.0816659994661336e-4,1-10,3
0010-0310,5e-4,8e-4,7e-4,6.666666666666666e-4,1.5275252316519468e-4,1-10,2
0010-0310-0312,2e-4,NA,1e-4,NA,NA,1-10,3
0010-0313,1e-4,NA,1e-4,NA,NA,1-10,2
0011,1e-4,1e-4,1e-4,1e-4,0,1-10,1
0011-0012-0301-0302,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0011-0013-0103-0303-0311,1e-4,NA,NA,NA,NA,1-10,5
0011-0013-0203-0303,1e-4,NA,NA,NA,NA,1-10,4
0011-0013-0211-0213-0303,2e-4,NA,NA,NA,NA,1-10,5
0011-0013-0213-0303,1e-4,NA,NA,NA,NA,1-10,4
0011-0013-0301-0303,0.0014,8e-4,0.0012,0.0011333333333333334,3.055050463303893e-4,1-10,4
0011-0013-0303,3e-4,3e-4,3e-4,3e-4,0,1-10,3
0011-0013-0303-0311,7e-4,7e-4,2e-4,5.333333333333334e-4,2.8867513459481284e-4,1-10,4
0011-0013-0311-0313,1e-4,NA,NA,NA,NA,1-10,4
0011-0101-0103-0301-0303,1e-4,NA,NA,NA,NA,1-10,5
0011-0103-0301-0303,1e-4,1e-4,NA,NA,NA,1-10,4
0011-0113-0311-0313,1e-4,NA,NA,NA,NA,1-10,4
0011-0201-0203-0301-0303,1e-4,NA,NA,NA,NA,1-10,5
0011-0211-0303,1e-4,NA,NA,NA,NA,1-10,3
0011-0301,1e-4,NA,1e-4,NA,NA,1-10,2
0011-0301-0303,0.0011,0.0018,0.0013,0.0014,3.605551275463989e-4,1-10,3
0011-0303,1e-4,1e-4,NA,NA,NA,1-10,2
0011-0303-0311,3e-4,6e-4,3e-4,3.9999999999999996e-4,1.7320508075688773e-4,1-10,3
0012,1e-4,NA,NA,NA,NA,1-10,1
0012-0013-0112-0113-0302-0303,2e-4,1e-4,NA,NA,NA,1-10,6
0012-0013-0302-0303,2e-4,1e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0012-0302,3e-4,2e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,2
0013-0103-0303,1e-4,NA,NA,NA,NA,1-10,3
0013-0113-0303,1e-4,NA,3e-4,NA,NA,1-10,3
0013-0203-0303,1e-4,NA,NA,NA,NA,1-10,3
0013-0303,0.0017,0.0023,0.001,0.0016666666666666666,6.506407098647711e-4,1-10,2
0013-0313,1e-4,1e-4,NA,NA,NA,1-10,2
0100-0300,1e-4,1e-4,NA,NA,NA,1-10,2
0100-0300-0303,2e-4,NA,3e-4,NA,NA,1-10,3
0100-0300-0303-1000,4e-4,2e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,4
0100-0300-1000,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,3
0101-0301-0303,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0101-0301-0303-1001,4e-4,3e-4,5e-4,4e-4,1.0000000000000002e-4,1-10,4
0101-0301-0303-1001-1003,2e-4,1e-4,6e-4,3e-4,2.6457513110645904e-4,1-10,5
0101-0303-1001,1e-4,NA,NA,NA,NA,1-10,3
0102-0103-0302-0303-1002-1003,2e-4,NA,2e-4,NA,NA,1-10,6
0102-0300-0302-1002-1010,1e-4,5e-4,7e-4,4.333333333333333e-4,3.0550504633038936e-4,1-10,5
0102-0302-0310-1002-1010,1e-4,NA,NA,NA,NA,1-10,5
0102-0302-1002-1010,1e-4,NA,1e-4,NA,NA,1-10,4
0102-1002-1010,1e-4,NA,NA,NA,NA,1-10,3
0103-0300-0303-1003-1010,0.0014,0.0012,0.0012,0.0012666666666666666,1.1547005383792521e-4,1-10,5
0103-0301-0303-1001-1003,2e-4,1e-4,NA,NA,NA,1-10,5
0103-0301-0303-1003-1011,4e-4,4e-4,2e-4,3.333333333333334e-4,1.1547005383792516e-4,1-10,5
0103-0303,3e-4,5e-4,3e-4,3.6666666666666667e-4,1.1547005383792517e-4,1-10,2
0103-0303-0311-1003-1011,1e-4,NA,NA,NA,NA,1-10,5
0103-0303-1000-1003,3e-4,1e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,4
0103-0303-1001-1003,2e-4,1e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0103-0303-1003,7e-4,6e-4,4e-4,5.666666666666667e-4,1.5275252316519465e-4,1-10,3
0103-0303-1003-1010,0.0035,0.0032,0.0034,0.0033666666666666667,1.527525231651946e-4,1-10,4
0110-0111,2e-4,NA,NA,NA,NA,1-10,2
0110-0111-0300-0301-1010-1011,1e-4,NA,1e-4,NA,NA,1-10,6
0110-0111-1010-1011,1e-4,NA,NA,NA,NA,1-10,4
0110-0113-0303-0310-1010-1013,1e-4,NA,NA,NA,NA,1-10,6
