Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0010-0200-0202-0300-0302,1e-4,NA,NA,NA,NA,2-11,5
0010-0200-0300-0303,0.001,7e-4,7e-4,8e-4,1.7320508075688773e-4,2-11,4
0010-0200-0303,5e-4,8e-4,3e-4,5.333333333333334e-4,2.5166114784235834e-4,2-11,3
0010-0203-0300-0303,3e-4,6e-4,NA,NA,NA,2-11,4
0010-0203-0303,3e-4,6e-4,7e-4,5.333333333333334e-4,2.0816659994661328e-4,2-11,3
0010-0210,4e-4,3e-4,4e-4,3.6666666666666667e-4,5.7735026918962605e-5,2-11,2
0010-0210-0300,3e-4,2e-4,4e-4,3.0000000000000003e-4,1e-4,2-11,3
0010-0210-0300-0302,3e-4,NA,NA,NA,NA,2-11,4
0010-0210-0300-0303,7e-4,5e-4,0.0011,7.666666666666667e-4,3.0550504633038936e-4,2-11,4
0010-0210-0303,3e-4,0.0012,8e-4,7.666666666666666e-4,4.509249752822894e-4,2-11,3
0010-0210-0312,1e-4,NA,2e-4,NA,NA,2-11,3
0010-0212-0312,2e-4,NA,NA,NA,NA,2-11,3
0010-0300,0.01,0.0102,0.0076,0.009266666666666666,0.0014468356276140474,2-11,2
0010-0300-0302,6e-4,5e-4,6e-4,5.666666666666666e-4,5.7735026918962544e-5,2-11,3
0010-0300-0303,0.0228,0.0277,0.0268,0.025766666666666667,0.0026083200212652837,2-11,3
0010-0303,0.0114,0.0112,0.0113,0.0113,1.0000000000000026e-4,2-11,2
0010-0303-0310,0.001,0.0011,0.0017,0.0012666666666666666,3.7859388972001813e-4,2-11,3
0010-0310,8e-4,9e-4,6e-4,7.666666666666667e-4,1.5275252316519468e-4,2-11,2
0010-0310-0312,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,3
0010-0310-0313,3e-4,NA,1e-4,NA,NA,2-11,3
0011-0013,1e-4,NA,NA,NA,NA,2-11,2
0011-0013-0111-0301-0303,2e-4,NA,1e-4,NA,NA,2-11,5
0011-0013-0113-0201-0303,1e-4,NA,NA,NA,NA,2-11,5
0011-0013-0113-0303,1e-4,NA,NA,NA,NA,2-11,4
0011-0013-0301-0303,7e-4,0.001,0.0012,9.666666666666667e-4,2.516611478423583e-4,2-11,4
0011-0013-0303,1e-4,3e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,2-11,3
0011-0013-0303-0311,0.0011,8e-4,3e-4,7.333333333333333e-4,4.0414518843273807e-4,2-11,4
0011-0013-0311-0313,1e-4,NA,NA,NA,NA,2-11,4
0011-0103-0301-0303,1e-4,1e-4,NA,NA,NA,2-11,4
0011-0111-0301-0303,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,4
0011-0113-0301-0303,1e-4,1e-4,NA,NA,NA,2-11,4
0011-0301,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,2
0011-0301-0303,0.0016,9e-4,0.0011,0.0012000000000000001,3.60555127546399e-4,2-11,3
0011-0303-0311,1e-4,4e-4,4e-4,3.0000000000000003e-4,1.7320508075688773e-4,2-11,3
0012-0013-0302-0303,3e-4,2e-4,5e-4,3.333333333333333e-4,1.5275252316519468e-4,2-11,4
0012-0302,1e-4,1e-4,1e-4,1e-4,0,2-11,2
0012-0312,1e-4,NA,NA,NA,NA,2-11,2
0013,1e-4,NA,NA,NA,NA,2-11,1
0013-0303,0.0022,0.0014,0.002,0.0018666666666666666,4.163331998932266e-4,2-11,2
0013-0313,1e-4,3e-4,NA,NA,NA,2-11,2
0100-0102-0300-0302,1e-4,NA,NA,NA,NA,2-11,4
0100-0300-0302-1000,1e-4,NA,1e-4,NA,NA,2-11,4
0100-0300-0303-1000,3e-4,6e-4,2e-4,3.666666666666666e-4,2.0816659994661325e-4,2-11,4
0100-0300-0303-1000-1003,1e-4,3e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,2-11,5
0101-0301-0303,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,2-11,3
0101-0301-0303-1001,5e-4,4e-4,8e-4,5.666666666666667e-4,2.0816659994661328e-4,2-11,4
0101-0301-0303-1001-1003,1e-4,5e-4,3e-4,3e-4,2e-4,2-11,5
0101-0301-1001,1e-4,NA,1e-4,NA,NA,2-11,3
0102-0210-0300-0302-1002-1010,1e-4,1e-4,NA,NA,NA,2-11,6
