Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0010-0013,6e-4,8e-4,0.0012,8.666666666666666e-4,3.055050463303893e-4,1,2
0010-0013-0100-0203-0300-0303,1e-4,NA,NA,NA,NA,1,6
0010-0013-0103-0300-0303,1e-4,1e-4,1e-4,1e-4,0,1,5
0010-0013-0103-0303,0.001,8e-4,9e-4,9e-4,9.999999999999999e-5,1,4
0010-0013-0113,3e-4,NA,1e-4,NA,NA,1,3
0010-0013-0113-0300-0303,2e-4,NA,1e-4,NA,NA,1,5
0010-0013-0113-0303,9e-4,0.0014,0.001,0.0011,2.6457513110645904e-4,1,4
0010-0013-0200-0303,1e-4,3e-4,NA,NA,NA,1,4
0010-0013-0203-0300-0303,1e-4,NA,1e-4,NA,NA,1,5
0010-0013-0203-0303,2e-4,6e-4,6e-4,4.6666666666666666e-4,2.3094010767585026e-4,1,4
0010-0013-0213,1e-4,NA,1e-4,NA,NA,1,3
0010-0013-0213-0300-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1,5
0010-0013-0213-0303,6e-4,6e-4,5e-4,5.666666666666666e-4,5.7735026918962544e-5,1,4
0010-0013-0300-0303,0.0015,0.0017,9e-4,0.0013666666666666666,4.1633319989322655e-4,1,4
0010-0013-0303,0.0077,0.0075,0.0083,0.007833333333333333,4.1633319989322666e-4,1,3
0010-0013-0313,1e-4,NA,1e-4,NA,NA,1,3
0010-0100-0103-0300-0303,2e-4,NA,1e-4,NA,NA,1,5
0010-0100-0200-0303,2e-4,1e-4,NA,NA,NA,1,4
0010-0100-0300,5e-4,1e-4,3e-4,3e-4,2e-4,1,3
0010-0100-0300-0303,6e-4,6e-4,3e-4,5e-4,1.7320508075688773e-4,1,4
0010-0100-0303,6e-4,1e-4,1e-4,2.666666666666667e-4,2.8867513459481284e-4,1,3
0010-0103-0200-0303,2e-4,3e-4,5e-4,3.333333333333333e-4,1.5275252316519468e-4,1,4
0010-0103-0300-0303,0.0021,0.0021,0.0022,0.0021333333333333334,5.773502691896273e-5,1,4
0010-0103-0303,0.0093,0.0104,0.0106,0.0101,7.000000000000003e-4,1,3
0010-0110,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1,2
0010-0110-0300,1e-4,5e-4,5e-4,3.6666666666666667e-4,2.309401076758503e-4,1,3
0010-0110-0300-0303,7e-4,5e-4,8e-4,6.666666666666666e-4,1.5275252316519468e-4,1,4
0010-0110-0303,1e-4,4e-4,4e-4,3.0000000000000003e-4,1.7320508075688773e-4,1,3
0010-0113-0300-0303,3e-4,1e-4,NA,NA,NA,1,4
0010-0200,0.0022,0.0021,0.0015,0.0019333333333333333,3.7859388972001824e-4,1,2
0010-0200-0300-0303,4e-4,NA,2e-4,NA,NA,1,4
0010-0200-0303,0.0019,0.0036,0.0022,0.0025666666666666667,9.073771725877465e-4,1,3
0010-0203-0300-0303,0.001,5e-4,0.0011,8.666666666666667e-4,3.2145502536643183e-4,1,4
0010-0203-0303,0.0026,0.002,0.0028,0.0024666666666666665,4.163331998932265e-4,1,3
0010-0210-0300,1e-4,NA,2e-4,NA,NA,1,3
0010-0210-0300-0303,1e-4,1e-4,4e-4,2e-4,1.7320508075688773e-4,1,4
0010-0300,0.0084,0.0086,0.0079,0.0083,3.605551275463984e-4,1,2
0010-0300-0303,0.008,0.0109,0.0102,0.0097,0.0015132745950421555,1,3
0010-0302,1e-4,NA,NA,NA,NA,1,2
0010-0303,0.0192,0.0177,0.0188,0.018566666666666665,7.767453465154021e-4,1,2
0010-0303-0310,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,3
0010-0310,1e-4,NA,1e-4,NA,NA,1,2
0011-0012-0301-0302,1e-4,5e-4,2e-4,2.666666666666667e-4,2.0816659994661328e-4,1,4
0011-0013,2e-4,NA,2e-4,NA,NA,1,2
0011-0013-0103-0301-0303,1e-4,NA,1e-4,NA,NA,1,5
0011-0013-0103-0303,1e-4,1e-4,1e-4,1e-4,0,1,4
0011-0013-0213-0303,1e-4,NA,NA,NA,NA,1,4
0011-0013-0301-0303,6e-4,2e-4,4e-4,3.9999999999999996e-4,1.9999999999999998e-4,1,4
0011-0013-0303,6e-4,3e-4,7e-4,5.333333333333334e-4,2.0816659994661328e-4,1,3
0011-0013-0303-0311,1e-4,NA,2e-4,NA,NA,1,4
0011-0101-0103,1e-4,NA,NA,NA,NA,1,3
0011-0101-0103-0301-0303,5e-4,3e-4,5e-4,4.333333333333333e-4,1.1547005383792517e-4,1,5
0011-0103-0301-0303,2e-4,5e-4,1e-4,2.666666666666667e-4,2.0816659994661328e-4,1,4
0011-0103-0303,1e-4,1e-4,NA,NA,NA,1,3
0011-0111-0301-0303,2e-4,3e-4,5e-4,3.333333333333333e-4,1.5275252316519468e-4,1,4
0011-0201-0301,1e-4,NA,NA,NA,NA,1,3
0011-0301,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,2
0011-0301-0303,9e-4,9e-4,0.0012,0.001,1.7320508075688767e-4,1,3
0012,1e-4,2e-4,NA,NA,NA,1,1
0012-0013-0302-0303,3e-4,1e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,1,4
0013,1e-4,1e-4,1e-4,1e-4,0,1,1
0013-0103-0303,1e-4,NA,NA,NA,NA,1,3
0013-0213-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1,3
0013-0303,9e-4,7e-4,5e-4,7e-4,1.9999999999999998e-4,1,2
0100-0101-1000-1001,1e-4,NA,NA,NA,NA,1,4
0100-0102-0300-0302-1000-1002,1e-4,1e-4,NA,NA,NA,1,6
0100-0103-0300-0303,1e-4,NA,NA,NA,NA,1,4
0100-0200-0303-1000-1003,1e-4,NA,1e-4,NA,NA,1,5
0100-0300,3e-4,NA,2e-4,NA,NA,1,2
0100-0300-0302-1000,1e-4,NA,NA,NA,NA,1,4
0100-0300-0302-1000-1002,1e-4,1e-4,NA,NA,NA,1,5
0100-0300-0303-1000-1003,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,5
0100-0300-1000,2e-4,2e-4,NA,NA,NA,1,3
0100-0303,1e-4,3e-4,NA,NA,NA,1,2
0101-0103-0301-0303,1e-4,NA,1e-4,NA,NA,1,4
0101-0103-0301-0303-1001-1003,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1,6
0101-0203-0301-0303,1e-4,NA,NA,NA,NA,1,4
0101-0301-0303,1e-4,NA,2e-4,NA,NA,1,3
0101-0301-0303-1001,1e-4,1e-4,1e-4,1e-4,0,1,4
0101-0301-1001,1e-4,NA,NA,NA,NA,1,3
0101-0303-1001,1e-4,1e-4,NA,NA,NA,1,3
0102-0103-0302-0303,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1,4
0102-0103-0302-0303-1002-1003,3e-4,2e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,1,6
0102-0202-1002-1010,1e-4,NA,1e-4,NA,NA,1,4
0102-0300-0302-1000-1002,1e-4,NA,1e-4,NA,NA,1,5
0102-0300-0302-1002-1010,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1,5
0103-0300-0303-1000,1e-4,NA,NA,NA,NA,1,4
