parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1150,1,2020,2020,0102-2020,1,1,5.766075,-4.778262,7.476769,-3.885058,1
1151,1,0202,0202,0021-0202,1,1,-4.435095,7.918468,-3.007149,5.127205,1
1152,2,0202-2020,0202,0202-2020,2,0.078,-3.904914,5.485241,1.848133,6.702917,0.078
1152,2,0202-2020,2020,0202-2020,2,0.922,7.967133,-3.674081,8.018017,-2.840029,0.922
1153,1,2020,2020,0202-1002-2020,1,1,7.415468,-3.0855,3.323711,-1.443923,1
1154,1,2020,2020,0202-2020,1,1,7.080372,-2.866458,7.233318,-0.46749,1
1155,1,2020,2020,2020,1,1,8.588088,-4.157994,7.473506,-4.217692,1
1156,2,0202-2020,2020,0202-2020,2,0.412,7.172768,-2.603126,5.796563,-5.881278,0.412
1156,2,0202-2020,0202,0202-2020,2,0.588,-0.604141,7.890526,0.226031,4.802484,0.588
1157,2,0202-2020,0202,0202-2020,2,0.528,0.194706,7.131355,-3.690964,6.763621,0.528
1157,2,0202-2020,2020,0202-2020,2,0.472,4.870082,-0.201573,8.181766,0.985765,0.472
1158,2,0202-2020,2020,0202-2020,2,0.127,5.459835,1.440207,5.69839,-0.983418,0.127
1158,2,0202-2020,0202,0202-2020,2,0.873,-6.042291,6.438318,-2.256844,7.202754,0.873
1159,1,2020,2020,0202-1200-2020,1,1,6.884709,-3.537414,4.971203,-1.498795,1
1160,2,0202-2010,2010,0202-2020,2,0.339,9.081156,-1.040386,4.211162,-1.689409,0.339
1160,2,0202-2010,0202,0202-2020,2,0.661,0.388867,6.557609,-3.919237,5.247513,0.661
1161,2,0202-2020,2020,0202-2020,2,0.13,6.821701,0.342149,3.989688,2.65159,0.13
1161,2,0202-2020,0202,0202-2020,2,0.87,-4.674252,7.87947,-4.744406,8.91171,0.87
1162,1,0202,0202,0020-0202,1,1,-5.080484,6.630753,-4.491194,7.828753,1
1163,2,0202-2020,2020,0012-0202-2020,2,0.635,6.459557,-2.611183,6.748754,-3.505416,0.635
1163,2,0202-2020,0202,0012-0202-2020,2,0.365,-2.951519,7.74009,-3.579009,5.216286,0.365
1164,2,0202-2020,2020,0202-1200-2020,2,0.797,7.241889,-4.806457,7.776585,-5.545279,0.797
1164,2,0202-2020,0202,0202-1200-2020,2,0.203,-4.259715,4.710806,-1.078429,6.817166,0.203
1165,1,2020,2020,0202-2020,1,1,7.547727,-2.029175,5.135271,-2.718124,1
1166,1,0202,0202,0202-2020-2100,1,1,-3.533376,8.708707,-2.220755,6.145422,1
1167,2,0202-2020,0202,0202-2020,2,0.407,0.325262,6.530632,-2.754445,6.232168,0.407
1167,2,0202-2020,2020,0202-2020,2,0.593,7.372096,-4.980317,6.650227,-2.77822,0.593
1168,1,0202,0202,0021-0202-2020,1,1,-1.559089,5.485144,-4.522422,6.16872,1
1169,1,0022,0022,0012-0202,1,1,-1.037091,-1.109504,6.008934,4.676158,1
1170,1,0200,0200,0200-2020-2100,1,1,3.891625,7.440792,-0.497679,0.951219,1
1171,1,2020,2020,0120-0201-2020,1,1,6.907359,-4.565827,7.959007,-5.320258,1
1172,2,0202-2020,2020,0202-2020,2,0.356,8.236842,-2.940646,4.673914,0.159544,0.356
1172,2,0202-2020,0202,0202-2020,2,0.644,-2.169086,6.150148,-2.798011,6.981101,0.644
1173,1,2020,2020,0202-2020,1,1,8.157344,-3.356682,8.156722,-0.381562,1
1174,1,2020,2020,0012-0202-2020,1,1,6.104049,-0.224528,4.359418,-3.351648,1
1175,2,0201-2020,2020,0202-2020,2,0.188,5.381069,0.930402,5.76327,0.177848,0.188
1175,2,0201-2020,0201,0202-2020,2,0.812,-4.387347,6.218452,0.01203,4.391901,0.812
1176,2,0202-2020,2020,0202-1200-2020,2,0.782,6.640301,-4.410559,5.906726,-1.248063,0.782
1176,2,0202-2020,0202,0202-1200-2020,2,0.218,-3.743706,6.164071,-2.676129,5.65626,0.218
1177,2,0202-2020,0202,0202-2020,2,0.849,-1.279859,8.008177,-0.728762,7.086765,0.849
1177,2,0202-2020,2020,0202-2020,2,0.151,6.19129,-0.923741,5.898775,-1.204608,0.151
1178,2,0202-2020,0202,0202-2001-2020,2,0.562,-1.735222,8.67586,-3.148997,6.22886,0.562
1178,2,0202-2020,2020,0202-2001-2020,2,0.438,6.58024,1.435123,6.299418,-4.471737,0.438
1179,1,0202,0202,0202-1002-2001-2020,1,1,0.869843,4.143945,-1.000486,6.123253,1
1180,2,0202-2020,2020,0202-1002-2020,2,0.156,6.250827,-1.340603,6.389913,2.58804,0.156
1180,2,0202-2020,0202,0202-1002-2020,2,0.844,-2.994779,6.3984,-2.451564,7.160498,0.844
1181,1,0102,0102,0102-2000,1,1,-1.068336,4.180474,-0.483812,4.958905,1
1182,1,0202,0202,0120-0202-2020,1,1,-4.379959,6.74741,-0.752044,7.273192,1
1183,1,2020,2020,0202-2020,1,1,6.320611,-3.592255,4.457193,1.975528,1
1184,2,0202-2020,0202,0202-2001-2020,2,0.696,2.976068,6.571185,-4.154643,9.436021,0.696
1184,2,0202-2020,2020,0202-2001-2020,2,0.304,5.791925,-1.418691,7.056359,-0.596489,0.304
1185,1,2020,2020,2020,1,1,6.726039,-5.965037,7.913036,-4.537204,1
1186,2,0202-2020,2020,0202-2020,2,0.391,7.381004,-2.862075,7.077284,-1.717754,0.391
1186,2,0202-2020,0202,0202-2020,2,0.609,-3.729296,7.478721,-2.51979,6.938565,0.609
1187,2,0202-2020,0202,0202-0210-2020,2,0.354,-2.737752,4.556139,2.099601,7.376139,0.354
1187,2,0202-2020,2020,0202-0210-2020,2,0.646,6.582124,-5.415807,6.586464,0.909899,0.646
1188,2,0202-2020,0202,0202-2020,2,0.016,0.678701,5.287304,1.323526,6.567479,0.016
1188,2,0202-2020,2020,0202-2020,2,0.984,8.544781,-5.422824,8.09933,-3.637687,0.984
1189,2,0202-2020,0202,0202-2020,2,0.147,-1.639771,6.744626,1.074659,5.845499,0.147
1189,2,0202-2020,2020,0202-2020,2,0.853,6.610397,-2.210355,8.777541,-2.462802,0.853
1190,2,0211-2020,0211,0202-1002-2020,2,0.309,-3.56573,8.805775,1.699987,3.328375,0.309
1190,2,0211-2020,2020,0202-1002-2020,2,0.691,6.375152,1.564759,4.593669,-3.25123,0.691
1191,2,0202-2020,2020,0202-1002-2020,2,0.376,6.879617,-2.577478,6.042485,-2.95159,0.376
1191,2,0202-2020,0202,0202-1002-2020,2,0.624,-2.299277,5.900212,-2.407882,6.601675,0.624
1192,2,0202-2020,0202,0202-0220-2011-2020-2101,2,0.679,-1.582512,7.292608,-1.392424,5.85684,0.679
1192,2,0202-2020,2020,0202-0220-2011-2020-2101,2,0.321,5.944528,-0.419859,9.149322,-2.774224,0.321
1193,1,0202,0202,0202-2020,1,1,-3.698763,6.846114,0.747387,7.299016,1
1194,2,0202-2200,2200,0202-2100,2,0.365,6.684487,4.47284,0.550551,0.725918,0.365
1194,2,0202-2200,0202,0202-2100,2,0.635,0.010634,7.014759,-4.87748,7.009571,0.635
1195,3,0202-0210-2020,0202,0202-0210-2020,3,0.345,-4.252147,7.346308,-2.502124,6.219924,0.345
1195,3,0202-0210-2020,0210,0202-0210-2020,3,0.287,0.427888,6.57599,3.65654,1.014172,0.287
1195,3,0202-0210-2020,2020,0202-0210-2020,3,0.368,6.180126,1.254452,6.498302,-2.038767,0.368
1196,1,0202,0202,0202-2020,1,1,-5.0727,7.221713,-2.58118,8.728248,1
