parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,2,0202-2020,0202,0202-2020,2,0.081,-0.781234,4.944305,-4.881579,4.950353,0.081
1,2,0202-2020,2020,0202-2020,2,0.919,6.788779,-5.254725,5.420901,-6.585109,0.919
2,1,0202,0202,0202,1,1,-6.988894,6.440811,-4.510275,4.96932,1
3,2,0202-2020,2020,0202-2020,2,0.001,2.01707,-4.445355,5.524491,-5.947447,0.001
3,2,0202-2020,0202,0202-2020,2,0.999,-8.463118,6.895702,-6.408744,5.413616,0.999
4,2,0202-1220,1220,0202-1220,2,0.533,0.126482,0.301133,2.299543,-0.067472,0.533
4,2,0202-1220,0202,0202-1220,2,0.467,-5.317117,6.671719,-2.778884,6.526001,0.467
5,3,0202-1220-2020,1220,0202-1220-2020,3,0.6,-0.144049,1.654035,5.952106,-6.889295,0.6
5,3,0202-1220-2020,2020,0202-1220-2020,3,0.307,5.452537,-4.394992,6.949029,-6.889295,0.307
5,3,0202-1220-2020,0202,0202-1220-2020,3,0.093,-5.738944,7.312967,-3.6482,5.731471,0.093
6,3,0202-1012-2020,2020,0202-1012-2020,3,0.395,7.291916,-5.677709,6.538622,-3.168374,0.395
6,3,0202-1012-2020,1012,0202-1012-2020,3,0.368,1.055805,-0.323378,0.302511,2.185998,0.368
6,3,0202-1012-2020,0202,0202-1012-2020,3,0.237,-2.862757,3.788331,-5.698184,6.297704,0.237
7,3,0022-0202-2020,0202,0022-0202-2020,3,0.219,-1.729121,4.944305,-6.062437,5.423079,0.219
7,3,0022-0202-2020,0022,0022-0202-2020,3,0.348,0.26809,-1.109807,-0.775498,1.098155,0.348
7,3,0022-0202-2020,2020,0022-0202-2020,3,0.433,6.788779,-6.502236,5.420901,-2.146917,0.433
8,2,1202-2020,2020,1202-2020,2,0.006,7.062041,-3.951417,2.214378,-3.776483,0.006
8,2,1202-2020,1202,1202-2020,2,0.994,-1.16209,6.367897,-9.488242,1.882448,0.994
9,3,0202-1220-2020,2020,0202-1220-2020,3,0.186,3.859569,-5.4326,7.53703,-4.049244,0.186
9,3,0202-1220-2020,0202,0202-1220-2020,3,0.579,-5.30445,6.264997,-4.094831,4.468655,0.579
9,3,0202-1220-2020,1220,0202-1220-2020,3,0.235,-0.313651,1.041596,2.29718,-3.993388,0.235
10,1,0202,0202,0202,1,1,-6.951903,5.796191,-9.026378,6.895702,1
11,4,0202-1120-1201-2020,0202,0202-1120-1201-2020,4,0.575,-5.476925,7.53703,-6.829442,7.19656,0.575
11,4,0202-1120-1201-2020,2020,0202-1120-1201-2020,4,0.124,4.886435,-4.807319,4.468655,-4.068987,0.124
11,4,0202-1120-1201-2020,1201,0202-1120-1201-2020,4,0.17,0.917042,7.53703,-6.829442,1.217794,0.17
11,4,0202-1120-1201-2020,1120,0202-1120-1201-2020,4,0.131,0.917042,1.027939,4.468655,-4.068995,0.131
12,2,0202-2020,0202,0202-2020,2,0.143,-4.089956,4.51871,-0.96028,5.160751,0.143
12,2,0202-2020,2020,0202-2020,2,0.857,7.391582,-7.752698,5.123274,-4.993923,0.857
13,1,0202,0202,0202,1,1,-1.631472,6.288803,-7.084709,4.858509,1
14,1,0202,0202,0202,1,1,-9.567511,7.385442,-5.025476,4.86069,1
15,2,0202-2021,2021,0202-2021,2,0.673,1.909466,-4.273856,6.865762,-0.97367,0.673
15,2,0202-2021,0202,0202-2021,2,0.327,-4.561601,6.374152,-4.303158,7.332898,0.327
16,3,0202-2002-2020,0202,0202-2002-2020,3,0.2,-4.007124,6.569664,-6.710846,7.779199,0.2
