parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,2,01-20,01,01-20,2,0.848,-6.079443,4.271302,0.848
1,2,01-20,20,01-20,2,0.152,6.656543,-1.944731,0.152
2,1,01,01,01-20,1,1,-7.177093,6.243285,1
3,2,01-20,20,01-20,2,0.332,4.694138,0.361567,0.332
3,2,01-20,01,01-20,2,0.668,-3.938932,6.460253,0.668
4,2,01-20,20,01-10-20,2,0.2,4.519491,1.099607,0.2
4,2,01-20,01,01-10-20,2,0.8,-6.598646,6.510587,0.8
5,3,01-11-20,01,01-11-20,3,0.143,-4.642997,6.126882,0.143
5,3,01-11-20,11,01-11-20,3,0.104,1.338026,6.098757,0.104
5,3,01-11-20,20,01-11-20,3,0.753,5.53318,-0.376223,0.753
6,3,01-11-20,11,01-20,3,0.059,1.886899,6.153375,0.059
6,3,01-11-20,20,01-20,3,0.556,5.484799,0.302377,0.556
6,3,01-11-20,01,01-20,3,0.385,-2.937547,6.166298,0.385
7,2,00-20,00,00-20,2,0.71,-0.269184,4.681314,0.71
7,2,00-20,20,00-20,2,0.29,6.330349,-0.718914,0.29
8,3,01-11-20,01,01-11-20,3,0.241,-4.762755,5.758005,0.241
8,3,01-11-20,11,01-11-20,3,0.147,1.595909,5.712197,0.147
8,3,01-11-20,20,01-11-20,3,0.612,7.241162,1.254046,0.612
9,3,01-11-20,20,01-20,3,0.335,4.543051,-0.02869,0.335
9,3,01-11-20,01,01-20,3,0.567,-4.234706,5.108323,0.567
9,3,01-11-20,11,01-20,3,0.098,2.036371,5.104251,0.098
10,2,01-20,20,01-20,2,0.355,6.767538,-1.589775,0.355
10,2,01-20,01,01-20,2,0.645,-3.357233,4.301753,0.645
11,2,01-20,01,01-20,2,0.778,-4.809338,5.586011,0.778
11,2,01-20,20,01-20,2,0.222,5.743338,-0.93259,0.222
12,2,01-20,01,01-20,2,0.651,-4.966762,7.037187,0.651
12,2,01-20,20,01-20,2,0.349,6.955303,3.565992,0.349
13,2,01-20,20,01-20,2,0.283,6.027528,1.436091,0.283
13,2,01-20,01,01-20,2,0.717,-4.837499,6.782522,0.717
14,2,01-20,01,01-20,2,0.454,-1.092473,7.555351,0.454
14,2,01-20,20,01-20,2,0.546,6.889091,0.978291,0.546
15,2,01-20,20,01-20,2,0.137,4.033848,-0.3419,0.137
15,2,01-20,01,01-20,2,0.863,-8.513461,5.926613,0.863
16,3,01-10-20,10,01-10-20,3,0.414,0.974638,0.788789,0.414
16,3,01-10-20,01,01-10-20,3,0.175,-5.198504,6.628587,0.175
16,3,01-10-20,20,01-10-20,3,0.411,6.90087,0.785632,0.411
17,2,01-20,20,01-20,2,0.187,5.78243,0.968267,0.187
17,2,01-20,01,01-20,2,0.813,-3.469461,6.729407,0.813
18,1,20,20,10-20,1,1,5.092297,1.140743,1
19,3,01-11-20,11,01-11-20,3,0.038,2.575659,6.351347,0.038
19,3,01-11-20,01,01-11-20,3,0.391,-3.291322,6.423053,0.391
19,3,01-11-20,20,01-11-20,3,0.571,7.460475,0.761936,0.571
20,2,01-20,20,01-20,2,0.137,5.78284,0.617243,0.137
20,2,01-20,01,01-20,2,0.863,-6.526678,6.729407,0.863
21,2,01-20,20,01-20,2,0.544,7.892411,-0.679851,0.544
21,2,01-20,01,01-20,2,0.456,-1.661308,5.599066,0.456
22,1,20,20,00-20,1,1,5.419264,1.66889,1
23,2,01-20,20,01-20,2,0.41,7.49051,-0.354414,0.41
23,2,01-20,01,01-20,2,0.59,-2.830834,5.866371,0.59
24,2,01-20,01,01-11-20,2,0.039,-1.756526,6.645206,0.039
24,2,01-20,20,01-11-20,2,0.961,6.581486,1.765418,0.961
25,2,01-20,20,01-11-20,2,0.293,7.002235,-0.84617,0.293
25,2,01-20,01,01-11-20,2,0.707,-5.180959,4.997904,0.707
26,2,01-20,20,01-11-20,2,0.338,6.529801,0.355435,0.338
26,2,01-20,01,01-11-20,2,0.662,-3.895781,6.634076,0.662
27,1,21,21,21,1,1,2.754859,6.811351,1
28,2,01-20,20,01-20,2,0.291,6.201819,0.052002,0.291
28,2,01-20,01,01-20,2,0.709,-5.977649,6.352065,0.709
29,2,01-21,21,01-21,3,0.18,5.598728,1.817283,0.534
29,2,01-21,21,01-21,3,0.354,3.74585,4.913494,0.534
29,2,01-21,01,01-21,3,0.466,-1.116547,7.245058,0.466
30,2,01-20,20,01-20,2,0.921,6.877217,0.870435,0.921
30,2,01-20,01,01-20,2,0.079,-1.960845,5.524411,0.079
31,2,01-20,01,01-20,2,0.551,-2.154123,6.344162,0.551
31,2,01-20,20,01-20,2,0.449,8.091426,0.299603,0.449
32,2,01-20,20,01-10-20,2,0.254,5.563416,0.588019,0.254
32,2,01-20,01,01-10-20,2,0.746,-5.877244,5.870135,0.746
33,2,01-20,20,01-10-20,2,0.99,6.313207,-0.511963,0.99
33,2,01-20,01,01-10-20,2,0.01,-3.250926,5.449605,0.01
