Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
01-11-20,0.0819,0.0821,0.0765,0.08016666666666666,0.003177000681985031,3-5,3
01-20,0.5644,0.5641,0.5708,0.5664333333333333,0.0037846179904097435,3-5,2
01-21,0.0139,0.0122,0.0131,0.013066666666666667,8.504900548115374e-4,3-5,2
10,4e-4,3e-4,3e-4,3.333333333333333e-4,5.7735026918962605e-5,3-5,1
10-20,0.0154,0.0164,0.0162,0.016,5.291502622129182e-4,3-5,2
11,7e-4,5e-4,2e-4,4.6666666666666666e-4,2.5166114784235834e-4,3-5,1
11-20,0.0019,0.002,0.0017,0.0018666666666666666,1.5275252316519474e-4,3-5,2
11-21,6e-4,4e-4,9e-4,6.333333333333333e-4,2.516611478423583e-4,3-5,2
20,0.0488,0.0477,0.0431,0.046533333333333336,0.003023794525647095,3-5,1
21,7e-4,0.0013,0.0013,0.0010999999999999998,3.4641016151377546e-4,3-5,1
00,0.0042,0.0028,0.0028,0.0032666666666666664,8.082903768654759e-4,4-6,1
00-10,0.001,9e-4,0.0015,0.0011333333333333334,3.2145502536643183e-4,4-6,2
00-20,0.0651,0.0674,0.0612,0.06456666666666666,0.0031342197327777366,4-6,2
01,0.0941,0.0978,0.091,0.0943,0.0034044089061098406,4-6,1
01-10,1e-4,NA,2e-4,NA,NA,4-6,2
01-10-20,0.0874,0.0873,0.086,0.0869,7.810249675906718e-4,4-6,3
01-11,0.0117,0.0113,0.0102,0.011066666666666667,7.767453465154025e-4,4-6,2
01-11-20,0.0838,0.0785,0.0871,0.08313333333333334,0.004338586559391586,4-6,3
01-20,0.558,0.5653,0.5655,0.5629333333333334,0.0042735621363603855,4-6,2
01-21,0.0176,0.0174,0.0158,0.016933333333333335,9.865765724632488e-4,4-6,2
10,1e-4,1e-4,NA,NA,NA,4-6,1
10-20,0.0176,0.0177,0.0171,0.01746666666666667,3.214550253664319e-4,4-6,2
11,7e-4,5e-4,4e-4,5.333333333333334e-4,1.5275252316519465e-4,4-6,1
11-20,0.0013,0.0023,0.0023,0.0019666666666666665,5.773502691896258e-4,4-6,2
11-21,9e-4,8e-4,7e-4,8e-4,9.999999999999999e-5,4-6,2
20,0.055,0.0486,0.057,0.053533333333333336,0.004387862045841158,4-6,1
