parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,3,02-20-22,02,02-20-22,3,0.16,0.997406,7.140874,0.16
1,3,02-20-22,20,02-20-22,3,0.2,6.825723,-0.502953,0.2
1,3,02-20-22,22,02-20-22,3,0.64,5.46178,5.776932,0.64
2,2,02-20,02,02-20,2,0.91,-7.03338,5.686613,0.91
2,2,02-20,20,02-20,2,0.09,3.083256,-6.855014,0.09
3,3,02-12-20,02,02-12-20,3,0.18,-6.308958,5.821355,0.18
3,3,02-12-20,12,02-12-20,3,0.11,0.22481,5.821355,0.11
3,3,02-12-20,20,02-12-20,3,0.71,6.618417,-6.3941,0.71
4,3,00-02-20,02,00-02-20,3,0.33,-7.203428,5.427436,0.33
4,3,00-02-20,20,00-02-20,3,0.23,4.929824,-7.42262,0.23
4,3,00-02-20,00,00-02-20,3,0.44,-0.839138,-0.780502,0.44
5,2,02-20,02,02-20,2,0.43,-4.374764,6.31071,0.43
5,2,02-20,20,02-20,2,0.57,7.144184,-1.688801,0.57
6,2,12-20,20,20,2,0.97,6.732942,-3.822052,0.97
6,2,12-20,12,20,2,0.03,-0.763272,2.765509,0.03
7,2,00-20,00,00-20,2,0.97,-4.079704,-3.188383,0.97
7,2,00-20,20,00-20,2,0.03,2.245043,-9.500023,0.03
8,3,02-10-20,10,02-10-20,3,0.61,-1.121151,-7.664468,0.61
8,3,02-10-20,20,02-10-20,3,0.2,4.359637,-7.977363,0.2
8,3,02-10-20,02,02-10-20,3,0.19,-7.148645,4.738245,0.19
9,3,02-20-21,20,02-20-21,3,0.16,5.535652,-5.405742,0.16
9,3,02-20-21,02,02-20-21,3,0.77,-6.891822,7.180771,0.77
9,3,02-20-21,21,02-20-21,3,0.07,5.535652,0.632413,0.07
10,1,20,20,20,1,1,3.810748,-2.881244,1
11,3,01-02-20,02,01-02-20,3,0.23,-3.148666,6.020661,0.23
11,3,01-02-20,01,01-02-20,3,0.33,-3.148666,0.415917,0.33
11,3,01-02-20,20,01-02-20,3,0.44,7.747285,-5.784579,0.44
12,2,02-20,02,02-20-21,2,0.36,-3.054951,6.691575,0.36
12,2,02-20,20,02-20-21,2,0.64,6.259783,-5.130225,0.64
13,3,02-20-21,02,02-20-21,3,0.72,-5.407674,7.765008,0.72
13,3,02-20-21,20,02-20-21,3,0.2,6.960213,-5.237686,0.2
13,3,02-20-21,21,02-20-21,3,0.08,6.960213,1.263662,0.08
14,3,02-20-22,02,02-20-22,3,0.18,-5.703574,7.589384,0.18
14,3,02-20-22,20,02-20-22,3,0.21,6.059764,-5.236759,0.21
14,3,02-20-22,22,02-20-22,3,0.61,0.33501,1.010929,0.61
15,3,01-02-20,01,01-02-20,3,0.49,-7.083316,-0.087652,0.49
15,3,01-02-20,20,01-02-20,3,0.14,5.306442,-6.447202,0.14
15,3,01-02-20,02,01-02-20,3,0.37,-7.083337,6.315091,0.37
16,4,00-02-20-22,02,00-02-20-22,4,0.35,-3.833079,6.825723,0.35
16,4,00-02-20-22,22,00-02-20-22,4,0.2,2.446806,3.398631,0.2
16,4,00-02-20-22,20,00-02-20-22,4,0.23,3.810748,-2.562893,0.23
16,4,00-02-20-22,00,00-02-20-22,4,0.22,-2.469152,0.864195,0.22
17,2,02-20,02,02-10-20,2,0.98,-5.706301,7.263506,0.98
17,2,02-20,20,02-10-20,2,0.02,6.073354,1.438083,0.02
18,2,02-20,20,02-20,2,0.24,3.769833,0.16341,0.24
18,2,02-20,02,02-20,2,0.76,-8.443207,6.885005,0.76
19,3,00-02-20,20,00-02-20,3,0.38,7.263506,-5.3527,0.38
19,3,00-02-20,02,00-02-20,3,0.21,-5.372757,6.426955,0.21
19,3,00-02-20,00,00-02-20,3,0.41,0.951849,0.727785,0.41
20,2,12-20,20,12-20,2,0.16,6.825723,-2.776928,0.16
20,2,12-20,12,12-20,2,0.84,1.662695,7.136643,0.84
21,2,00-20,20,00-20,2,0.03,2.245012,-5.05408,0.03
21,2,00-20,00,00-20,2,0.97,-3.738219,-1.191805,0.97
22,2,02-20,20,02-12-20,2,0.23,6.196739,-2.110628,0.23
22,2,02-20,02,02-12-20,2,0.77,-6.000018,7.88303,0.77
23,3,00-02-20,20,00-02-20,3,0.08,2.277333,-5.866036,0.08
23,3,00-02-20,00,00-02-20,3,0.64,-3.037321,-1.702561,0.64
