parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
2086,2,01-20,01,01-11-20,2,0.402,-2.624818,6.387381,0.402
2087,2,01-20,20,01-20,2,0.083,4.372569,1.519697,0.083
2087,2,01-20,01,01-20,2,0.917,-5.530113,7.162848,0.917
2088,1,20,20,20,1,1,6.38276,-3.577543,1
2089,2,01-20,20,01-20,2,0.883,7.40831,-1.007025,0.883
2089,2,01-20,01,01-20,2,0.117,1.405219,4.056816,0.117
2090,2,01-20,01,01-20,2,0.262,-2.711408,7.372838,0.262
2090,2,01-20,20,01-20,2,0.738,8.639053,1.581992,0.738
2091,2,01-20,20,01-20,2,0.237,5.161058,1.920764,0.237
2091,2,01-20,01,01-20,2,0.763,-5.966523,4.846869,0.763
2092,2,01-20,01,01-20,2,0.322,-3.321313,3.870689,0.322
2092,2,01-20,20,01-20,2,0.678,7.885397,-2.677318,0.678
2093,2,01-20,01,01-20,2,0.255,-1.334982,6.715411,0.255
2093,2,01-20,20,01-20,2,0.745,9.113619,0.127745,0.745
2094,2,01-21,01,01-21,2,0.48,-2.741109,6.682747,0.48
2094,2,01-21,21,01-21,2,0.52,2.893483,5.514061,0.52
2095,3,01-10-20,20,01-10-20,3,0.479,7.051489,1.223735,0.479
2095,3,01-10-20,10,01-10-20,3,0.046,0.756232,1.223735,0.046
2095,3,01-10-20,01,01-10-20,3,0.475,-5.306338,6.929312,0.475
2096,2,10-20,20,10-20,2,0.294,5.11656,-1.741566,0.294
2096,2,10-20,10,10-20,2,0.706,0.570354,-1.741559,0.706
2097,2,01-20,20,01-20,2,0.96,8.071401,1.013751,0.96
2097,2,01-20,01,01-20,2,0.04,1.077742,7.155122,0.04
2098,2,01-20,01,01-20,2,0.794,-5.673909,7.31661,0.794
2098,2,01-20,20,01-20,2,0.206,6.247263,2.410293,0.206
2099,2,01-20,01,01-20,2,0.005,-2.194181,3.864615,0.005
2099,2,01-20,20,01-20,2,0.995,7.219495,-1.713549,0.995
2100,2,11-20,11,11-20,2,0.236,1.617142,6.492199,0.236
2100,2,11-20,20,11-20,2,0.764,7.745484,0.663605,0.764
2101,2,01-21,01,01-21,2,0.406,-4.219294,8.016681,0.406
2101,2,01-21,21,01-21,2,0.594,2.002573,5.969617,0.594
2102,2,01-20,01,01-20,2,0.635,-5.276913,5.24195,0.635
2102,2,01-20,20,01-20,2,0.365,6.176724,-0.253042,0.365
2103,2,01-20,01,01-20,2,0.051,-0.893347,6.811659,0.051
2103,2,01-20,20,01-20,2,0.949,6.249911,0.611007,0.949
2104,3,01-11-20,11,01-11-20,3,0.138,1.602125,6.496354,0.138
2104,3,01-11-20,01,01-11-20,3,0.44,-4.401352,6.496354,0.44
2104,3,01-11-20,20,01-11-20,3,0.422,6.262617,3.644172,0.422
2105,2,01-20,20,01-20,2,0.11,4.645559,2.637625,0.11
2105,2,01-20,01,01-20,2,0.89,-8.340348,9.152923,0.89
2106,2,01-20,01,01-20,2,0.884,-7.200154,6.33827,0.884
2106,2,01-20,20,01-20,2,0.116,4.225349,1.976911,0.116
2107,1,01,01,01,1,1,-6.592432,7.840941,1
2108,3,01-10-20,20,01-10-20,3,0.613,6.737686,3.356894,0.613
2108,3,01-10-20,01,01-10-20,3,0.348,-1.359301,9.426395,0.348
2108,3,01-10-20,10,01-10-20,3,0.039,0.874612,3.356894,0.039
2109,2,01-21,21,01-21,2,0.73,2.296957,4.723708,0.73
