parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
9329,2,0202-2020,2020,0202-2020,2,0.49,6.618883,-2.659499,7.142446,-4.842474,0.49
9329,2,0202-2020,0202,0202-2020,2,0.51,-0.888366,6.551566,-4.654831,6.140397,0.51
9330,2,0202-2020,2020,0202-2020,2,0.15,5.070838,-2.702749,5.554935,-2.318718,0.15
9330,2,0202-2020,0202,0202-2020,2,0.85,-7.309928,8.459831,-3.783821,7.064729,0.85
9331,3,0202-2020-2100,2100,0202-2020-2100,3,0.62,8.266859,-0.35188,-0.938049,-0.585128,0.62
9331,3,0202-2020-2100,2020,0202-2020-2100,3,0.31,8.267025,-6.216781,5.689541,-2.960086,0.31
9331,3,0202-2020-2100,0202,0202-2020-2100,3,0.07,-4.178675,6.226365,-5.156095,4.78022,0.07
9332,3,0022-0202-2020,2020,0022-0202-2020,3,0.34,7.394076,-4.392071,7.502211,-4.031017,0.34
9332,3,0022-0202-2020,0022,0022-0202-2020,3,0.23,1.066082,0.366345,3.69134,0.609665,0.23
9332,3,0022-0202-2020,0202,0022-0202-2020,3,0.43,-4.999308,6.842323,-2.770353,6.447962,0.43
9333,1,0202,0202,0202,1,1,-4.380817,8.344071,-1.717628,6.915138,1
9334,2,0212-2020,0212,0212-2020,2,0.57,-4.06703,6.509022,1.558091,2.647039,0.57
9334,2,0212-2020,2020,0212-2020,2,0.43,6.380327,-2.099422,7.962345,-3.907948,0.43
9335,4,0202-1200-2020-2100,2020,0202-1200-2020-2100,4,0.05,7.79224,-3.997763,3.415999,-5.493296,0.05
9335,4,0202-1200-2020-2100,0202,0202-1200-2020-2100,4,0.26,-4.860261,5.780312,-6.941213,5.434642,0.26
9335,4,0202-1200-2020-2100,2100,0202-1200-2020-2100,4,0.63,7.79224,0.549907,-1.398846,-0.134565,0.63
9335,4,0202-1200-2020-2100,1200,0202-1200-2020-2100,4,0.06,1.26468,5.414664,-1.398846,-0.134565,0.06
