46.132,2.613	1.800,42.865
146.026,0.488	2.225,20.283
0.303,116.926
4.841,0.884
43.156,5.135	0.465,262.230
65.901,0.788	6.317,76.045
15.625,3.258
126.405,3.503	1.465,92.475
273.391,2.433	3.633,170.881
103.978,1.527	1.694,106.862
148.472,1.446	2.057,79.662
92.060,10.077	1.465,269.573
49.382,0.041
135.353,0.310	1.488,28.746
77.554,5.244	2.961,168.353
25.179,0.377	0.319,24.934
388.687,0.788	4.130,75.813
93.236,5.151	1.300,39.010
3.709,166.374
0.147,74.248
49.826,1.427	0.613,118.205
41.733,2.515	0.792,35.414
139.517,0.193
126.741,10.772	1.737,36.785
1.473,75.044
0.111,477.268
88.385,4.953
2.221,112.930
90.291,4.788	2.100,96.388
110.371,15.651	1.614,72.267
207.733,1.826	7.037,105.176
162.339,2.046	5.770,180.207
80.436,0.111	0.922,9.349
80.755,1.249
0.970,620.204
30.853,1.738	0.484,112.891
283.806,0.272	2.926,23.991
0.385,64.858
77.365,10.130
6.489,92.010
0.730,117.736
83.681,0.483
204.613,2.736	2.402,82.484
56.037,9.836	0.873,426.601
0.422,49.221
153.977,1.502	4.429,66.308
0.353,53.839
70.904,1.698
112.790,0.922
5.423,4.308	0.135,166.236
138.655,0.729	7.690,68.931
5.962,4.769
0.648,105.286
2.718,188.513
297.567,0.980
50.724,1.755	0.857,142.046
40.916,5.283	0.431,358.698
22.359,20.782
0.188,170.353
116.351,0.105	2.709,5.994
182.029,4.889	3.576,183.504
297.720,0.197	4.383,6.104
0.161,13.716
0.083,192.540
105.170,0.371	2.723,20.744
0.173,511.282
3.834,2.620
16.682,342.190
13.151,298.812
2.495,287.684
22.413,0.795
207.421,8.661
293.278,0.528	3.067,36.991
4.457,169.133
496.155,0.800	6.585,58.327
61.429,0.554	19.696,50.599
1.323,126.714
142.231,2.974	3.619,161.870
99.375,7.587	5.607,100.572
0.558,99.982
1.754,140.118
157.747,1.003	1.967,81.692
10.413,43.802
2.433,50.078
95.211,0.811
75.879,1.213	1.768,36.726
43.159,8.609	0.457,825.254
53.125,0.510	0.917,44.374
72.644,1.162	0.745,76.107
8.337,63.212
37.725,7.213	0.687,513.246
87.116,0.625	2.027,62.123
69.500,0.296	3.236,26.939
12.846,15.528	2.258,423.624
4.651,2.658
1.811,731.730
4.471,124.831
53.716,2.037	0.665,56.559
0.130,58.114
16.154,1.984	0.275,175.036
213.638,0.068
78.920,0.245	1.610,21.396
421.791,5.405
229.554,1.783
144.685,1.473	1.617,25.934
158.505,5.350	3.792,56.109
43.196,2.073
0.036,597.510
98.492,6.296	6.167,395.503
344.215,0.341	13.262,4.313
55.569,1.616	0.752,159.903
142.644,3.452	1.842,313.016
206.450,1.561	4.297,145.015
64.026,2.346	0.685,196.125
82.756,2.045	5.129,189.370
95.045,5.469	1.156,281.913
0.372,358.909
53.707,2.389
88.445,2.375	3.618,121.552
966.501,2.995
0.309,16.502
12.983,5.638	0.153,162.988
19.674,12.835
182.813,8.371	3.129,351.471
87.466,1.254	2.798,67.810
63.100,1.119	1.482,87.696
199.548,1.569	3.027,87.616
