Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
1202-2102-2120,1e-4,NA,NA,NA,NA,8-10,3
1202-2120,5e-4,3e-4,3e-4,3.6666666666666667e-4,1.1547005383792517e-4,8-10,2
1202-2120-2210,1e-4,NA,NA,NA,NA,8-10,3
1202-2200,1e-4,1e-4,NA,NA,NA,8-10,2
1202-2201,1e-4,1e-4,NA,NA,NA,8-10,2
1202-2210,2e-4,NA,1e-4,NA,NA,8-10,2
1202-2220,1e-4,NA,2e-4,NA,NA,8-10,2
1210-2020,5e-4,6e-4,6e-4,5.666666666666666e-4,5.7735026918962544e-5,8-10,2
1211-2020,2e-4,1e-4,NA,NA,NA,8-10,2
1212,1e-4,NA,NA,NA,NA,8-10,1
1212-2020,3e-4,1e-4,NA,NA,NA,8-10,2
1220,3e-4,2e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,8-10,1
1220-2020,8e-4,9e-4,9e-4,8.666666666666666e-4,5.7735026918962544e-5,8-10,2
1220-2120,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,8-10,2
1222-2220,2e-4,NA,NA,NA,NA,8-10,2
2000,1e-4,1e-4,1e-4,1e-4,0,8-10,1
2001,1e-4,1e-4,NA,NA,NA,8-10,1
2001-2020,8e-4,9e-4,7e-4,8e-4,9.999999999999999e-5,8-10,2
2002,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,8-10,1
2002-2020,0.0016,0.0018,0.0014,0.0016,1.9999999999999998e-4,8-10,2
2010,1e-4,NA,1e-4,NA,NA,8-10,1
2011,1e-4,NA,NA,NA,NA,8-10,1
2011-2020,7e-4,3e-4,2e-4,3.9999999999999996e-4,2.6457513110645904e-4,8-10,2
2011-2020-2101,3e-4,NA,NA,NA,NA,8-10,3
2011-2020-2201,3e-4,1e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,8-10,3
2012,1e-4,1e-4,1e-4,1e-4,0,8-10,1
2012-2020,0.0011,8e-4,7e-4,8.666666666666667e-4,2.081665999466133e-4,8-10,2
2012-2020-2102,1e-4,NA,NA,NA,NA,8-10,3
2012-2020-2202,2e-4,1e-4,NA,NA,NA,8-10,3
2020,0.0442,0.0463,0.0458,0.04543333333333333,0.0010969655114602876,8-10,1
2020-2100,5e-4,0.0014,8e-4,9e-4,4.58257569495584e-4,8-10,2
2020-2101,0.0012,7e-4,6e-4,8.333333333333333e-4,3.214550253664318e-4,8-10,2
2020-2102,7e-4,0.0014,0.0011,0.0010666666666666667,3.511884584284246e-4,8-10,2
2020-2110,5e-4,7e-4,2e-4,4.6666666666666666e-4,2.5166114784235834e-4,8-10,2
2020-2200,0.0017,0.0014,0.0022,0.0017666666666666666,4.041451884327381e-4,8-10,2
2020-2201,0.0011,7e-4,8e-4,8.666666666666667e-4,2.081665999466133e-4,8-10,2
2020-2202,6e-4,7e-4,4e-4,5.666666666666667e-4,1.5275252316519465e-4,8-10,2
2020-2202-2210,2e-4,NA,1e-4,NA,NA,8-10,3
2020-2210,0.0011,8e-4,7e-4,8.666666666666667e-4,2.081665999466133e-4,8-10,2
2021,6e-4,0.0014,3e-4,7.666666666666666e-4,5.686240703077327e-4,8-10,1
2021-2102,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,8-10,2
2021-2102-2111,1e-4,NA,NA,NA,NA,8-10,3
2021-2202,2e-4,2e-4,2e-4,2e-4,0,8-10,2
2022,1e-4,1e-4,NA,NA,NA,8-10,1
2100,1e-4,NA,1e-4,NA,NA,8-10,1
2120,7e-4,7e-4,0.0016,0.001,5.196152422706632e-4,8-10,1
2120-2200,1e-4,NA,NA,NA,NA,8-10,2
2120-2201,2e-4,NA,NA,NA,NA,8-10,2
2120-2202,1e-4,NA,1e-4,NA,NA,8-10,2
2200,3e-4,NA,1e-4,NA,NA,8-10,1
2201,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,8-10,1
2202,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,8-10,1
2210,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,8-10,1
2220,4e-4,NA,NA,NA,NA,8-10,1
0012-0020-0202,NA,1e-4,2e-4,NA,NA,8-10,3
0012-0202-1020,NA,1e-4,1e-4,NA,NA,8-10,3
0012-0202-1200-2020,NA,1e-4,NA,NA,NA,8-10,4
0020,NA,1e-4,NA,NA,NA,8-10,1
0020-0210,NA,1e-4,NA,NA,NA,8-10,2
0021-0102-2020,NA,2e-4,3e-4,NA,NA,8-10,3
0021-0202-0211,NA,3e-4,2e-4,NA,NA,8-10,3
0021-0202-0211-1210-2020,NA,1e-4,1e-4,NA,NA,8-10,5
0021-0202-0211-1210-2020-2110,NA,1e-4,NA,NA,NA,8-10,6
0021-0202-2020-2200,NA,1e-4,1e-4,NA,NA,8-10,4
0022,NA,2e-4,2e-4,NA,NA,8-10,1
0022-0102-2020,NA,3e-4,2e-4,NA,NA,8-10,3
0022-0202-1201-2020,NA,1e-4,NA,NA,NA,8-10,4
0022-0202-1210-2020,NA,1e-4,NA,NA,NA,8-10,4
0022-0202-2020-2100,NA,1e-4,1e-4,NA,NA,8-10,4
0022-0202-2020-2110,NA,1e-4,1e-4,NA,NA,8-10,4
0102-0110-2010,NA,1e-4,NA,NA,NA,8-10,3
0102-2002-2020,NA,2e-4,NA,NA,NA,8-10,3
0112,NA,1e-4,NA,NA,NA,8-10,1
