Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0111-0120-0201-2020,1e-4,NA,NA,NA,NA,1-10,4
0111-2020,1e-4,1e-4,1e-4,1e-4,0,1-10,2
0112,1e-4,NA,NA,NA,NA,1-10,1
0112-0120-0202,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0112-0120-0202-1012-2020,3e-4,NA,3e-4,NA,NA,1-10,5
0112-0120-0202-2020,0.0024,0.0026,0.0032,0.0027333333333333333,4.163331998932267e-4,1-10,4
0112-0121-0202,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,3
0112-0121-0202-1012-1021-2020,4e-4,2e-4,2e-4,2.666666666666667e-4,1.1547005383792516e-4,1-10,6
0112-0121-0202-2012-2020,2e-4,NA,NA,NA,NA,1-10,5
0112-0121-0202-2020,0.0014,0.001,0.0012,0.0012,1.9999999999999998e-4,1-10,4
0112-0121-2020,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0112-0202,6e-4,1e-4,1e-4,2.666666666666667e-4,2.8867513459481284e-4,1-10,2
0112-0202-1012,1e-4,NA,2e-4,NA,NA,1-10,3
0112-0202-1012-2011-2020,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,5
0112-0202-1012-2020,8e-4,9e-4,0.0013,0.001,2.6457513110645904e-4,1-10,4
0112-0202-1111-1120-1201-2011-2020,4e-4,2e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,7
0112-0202-1120-1200-2020,1e-4,1e-4,1e-4,1e-4,0,1-10,5
0112-0202-1120-2012-2020,2e-4,2e-4,NA,NA,NA,1-10,5
0112-0202-1120-2020,0.0011,5e-4,2e-4,6.000000000000001e-4,4.5825756949558405e-4,1-10,4
0112-0202-2011,2e-4,NA,NA,NA,NA,1-10,3
0112-0202-2011-2020,8e-4,0.001,5e-4,7.666666666666667e-4,2.5166114784235834e-4,1-10,4
0112-0202-2012-2020,5e-4,NA,2e-4,NA,NA,1-10,4
0112-0202-2020,0.0027,0.0037,0.0019,0.002766666666666667,9.01849950564579e-4,1-10,3
0112-1012-2020,1e-4,NA,1e-4,NA,NA,1-10,3
0112-1120-2020,1e-4,NA,NA,NA,NA,1-10,3
0112-2011-2020,1e-4,NA,NA,NA,NA,1-10,3
0112-2020,8e-4,9e-4,3e-4,6.666666666666666e-4,3.2145502536643183e-4,1-10,2
0112-2021,1e-4,NA,1e-4,NA,NA,1-10,2
0120,1e-4,NA,NA,NA,NA,1-10,1
0120-0200,1e-4,1e-4,NA,NA,NA,1-10,2
0120-0200-2020,2e-4,2e-4,3e-4,2.3333333333333333e-4,5.773502691896256e-5,1-10,3
0120-0201-1020,1e-4,NA,NA,NA,NA,1-10,3
0120-0201-2020,0.001,4e-4,0.001,8e-4,3.4641016151377546e-4,1-10,3
0120-0202,0.0016,0.0017,0.0018,0.0017,9.999999999999994e-5,1-10,2
0120-0202-0210,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,3
0120-0202-0210-2020,0.0027,0.0031,0.0033,0.003033333333333333,3.0550504633038926e-4,1-10,4
0120-0202-1020,4e-4,2e-4,5e-4,3.6666666666666667e-4,1.5275252316519468e-4,1-10,3
0120-0202-2001-2020,1e-4,NA,3e-4,NA,NA,1-10,4
0120-0202-2020,0.0194,0.0198,0.0183,0.01916666666666667,7.767453465154035e-4,1-10,3
0120-0210-2020,3e-4,1e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,3
0120-2020,9e-4,0.0014,4e-4,9e-4,5e-4,1-10,2
0121-0202,9e-4,7e-4,8e-4,8e-4,9.999999999999999e-5,1-10,2
0121-0202-0211-1021-2020,2e-4,NA,1e-4,NA,NA,1-10,5
0121-0202-0211-1120-1210-2020,1e-4,2e-4,4e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,6
0121-0202-0211-2020,4e-4,0.0015,0.0013,0.0010666666666666667,5.859465277082316e-4,1-10,4
0121-0202-0211-2020-2210,2e-4,NA,NA,NA,NA,1-10,5
0121-0202-1002-1021,1e-4,NA,NA,NA,NA,1-10,4
0121-0202-1021-2020,5e-4,0.0011,0.0011,9.000000000000001e-4,3.4641016151377546e-4,1-10,4
0121-0202-1120,1e-4,1e-4,1e-4,1e-4,0,1-10,3
0121-0202-1120-2020,9e-4,8e-4,8e-4,8.333333333333334e-4,5.7735026918962544e-5,1-10,4
0121-0202-2020,0.0091,0.0092,0.0085,0.008933333333333333,3.7859388972001797e-4,1-10,3
0121-0202-2021,2e-4,NA,1e-4,NA,NA,1-10,3
0121-0202-2120-2200,1e-4,NA,NA,NA,NA,1-10,4
0121-2020,4e-4,5e-4,6e-4,5e-4,9.999999999999996e-5,1-10,2
0122,1e-4,NA,NA,NA,NA,1-10,1
0122-0202,5e-4,4e-4,7e-4,5.333333333333334e-4,1.5275252316519465e-4,1-10,2
0122-0202-1022,2e-4,NA,1e-4,NA,NA,1-10,3
0122-0202-1022-2020,5e-4,4e-4,4e-4,4.3333333333333337e-4,5.773502691896257e-5,1-10,4
0122-0202-1120,1e-4,NA,NA,NA,NA,1-10,3
