Phase,Count,Frequency
00-01-02-20,1,1e-4
00-01-20,3,3e-4
00-02,21,0.0021
00-02-10,7,7e-4
00-02-10-20,1,1e-4
00-02-12-20,23,0.0023
00-02-12-20-21,1,1e-4
00-02-20,953,0.0953
00-02-20-21,20,0.002
00-02-20-22,38,0.0038
00-02-21,1,1e-4
00-12-20,1,1e-4
00-20,22,0.0022
01-02,20,0.002
01-02-10-20,51,0.0051
01-02-10-20-22,5,5e-4
01-02-11-12,2,2e-4
01-02-11-12-20,49,0.0049
01-02-11-20,5,5e-4
01-02-11-21-22,1,1e-4
01-02-12-20,12,0.0012
01-02-20,485,0.0485
01-02-20-22,55,0.0055
01-02-21,5,5e-4
01-02-21-22,6,6e-4
01-11-12-20,1,1e-4
01-12-20,5,5e-4
01-20,5,5e-4
02,466,0.0466
02-10,2,2e-4
02-10-11-20,1,1e-4
02-10-11-20-21,46,0.0046
02-10-12-20-22,2,2e-4
02-10-20,517,0.0517
02-10-20-21,8,8e-4
02-10-20-22,52,0.0052
02-10-21,5,5e-4
02-11-12-20,1,1e-4
02-11-20,7,7e-4
02-11-20-21,1,1e-4
02-11-21,5,5e-4
02-12,63,0.0063
02-12-20,553,0.0553
02-12-20-21,60,0.006
02-12-20-22,16,0.0016
02-12-21,17,0.0017
02-12-22,2,2e-4
02-20,3609,0.3609
02-20-21,511,0.0511
02-20-21-22,14,0.0014
02-20-22,972,0.0972
02-21,166,0.0166
02-21-22,29,0.0029
02-22,152,0.0152
10-11-12-20-21,1,1e-4
10-11-20-21,3,3e-4
10-12-20,4,4e-4
10-12-20-22,9,9e-4
10-20,22,0.0022
11-12-20,6,6e-4
11-21,2,2e-4
12,15,0.0015
12-20,145,0.0145
12-20-21,12,0.0012
12-20-22,47,0.0047
12-21,2,2e-4
12-21-22,1,1e-4
12-22,7,7e-4
20,390,0.039
20-21,49,0.0049
20-22,170,0.017
21,13,0.0013
21-22,11,0.0011
22,15,0.0015
