0.671,1.298	52.898,0.017	0.009,81.106
1.076,9.423	48.380,7.360	0.013,335.184
0.104,122.422
18.630,0.033	0.004,1.619	0.004,160.095
193.162,0.079	0.045,4.029	0.045,333.190
94.745,0.120	94.745,6.393	0.132,193.323	1.847,193.323
0.371,1.276	29.734,0.017	0.006,93.433
2.174,0.295	89.528,0.005	0.036,17.420
0.005,213.996
1.778,2.011	108.801,0.026	0.197,122.577
1.923,2.021	61.994,0.030	0.023,131.697
3.382,0.120	240.496,0.120	0.046,208.404
3.062,0.051	65.506,0.051	0.046,103.769
31.938,0.123	0.049,63.217
81.786,0.007	3.022,16.645
345.163,0.004	0.093,30.976	4.691,30.976
2.822,0.020	87.949,0.020	0.042,186.854
1.113,6.414	70.998,0.071	0.045,115.155
0.394,4.755	15.996,0.051	0.008,161.288
458.492,0.490	0.085,125.611
395.617,0.003	0.501,21.889
0.334,0.051	15.326,0.001
403.008,0.032	403.008,1.616	0.210,108.909	4.198,108.909
289.540,0.104	0.088,209.572	5.733,209.572
2.255,0.041	56.838,0.041	0.032,78.932
119.702,0.057	0.036,42.214
1.005,0.398	19.673,0.004	0.046,38.105
152.933,0.384	0.034,296.407
71.013,0.039	0.038,3.799	3.098,3.799	0.038,185.426	3.098,185.426
0.494,5.447	46.095,0.110	0.014,423.236
161.984,0.025	0.961,88.144
90.772,0.128	0.039,126.754
10.199,0.723	0.003,137.780
0.224,5.854	15.643,0.304	0.002,179.605
2.912,1.216	225.538,0.017	0.111,71.350	8.589,71.350
1.301,3.455	46.958,0.057	0.050,60.891
1.223,0.417	21.783,0.006	0.016,35.186
5.127,0.041	373.600,0.041	0.064,36.377
131.200,0.077	0.018,202.932
172.156,0.205	0.872,4.335	0.872,82.210
67.462,0.902	0.151,100.667
71.146,0.197	71.146,2.913
92.972,0.020	0.338,86.395
0.077,809.132
9.092,0.025	134.390,0.025	9.092,1.791	134.390,1.791	0.500,122.879
338.638,0.036	0.072,2.818	0.072,197.929
0.619,1.857	32.535,0.979	0.008,12.859
89.961,0.142	0.012,2.754	0.012,106.662
0.886,1.155	51.565,0.014	0.016,78.027
2.039,0.387	92.206,0.008	0.029,22.997
1.003,0.683	31.002,0.013	0.011,36.985
91.684,1.825	0.031,176.275
347.959,0.014	0.145,1.230	0.145,72.099
1.118,3.590	70.621,0.119	0.012,162.288
1.832,0.108	31.940,0.108	0.024,5.714	0.024,233.035
345.013,0.048	0.889,244.204
1.515,0.234	113.829,0.007	0.040,10.720
26.286,0.029	0.026,52.050
321.482,0.499	0.068,64.200
1.037,1.847	90.460,0.019	0.015,137.585
1.745,0.015	10.888,0.015	0.037,93.762
246.817,0.018	246.817,1.424	0.041,70.734	2.716,70.734
290.145,0.070	0.047,1.942	0.047,123.654
3.271,3.400	89.481,0.063	0.131,178.035
0.326,0.350	21.871,0.011	0.004,23.311
88.673,0.020	0.127,118.870	8.679,1.606
4.041,0.059	271.950,0.002
101.013,0.320	0.118,117.557	6.017,4.499
275.287,0.079	0.077,96.550	3.573,5.329
10.100,0.078	0.002,4.179	0.002,248.844
0.002,62.435
0.665,4.655	24.767,0.083	0.010,261.517
218.922,0.011	2.756,61.040
128.133,0.021	0.025,1.465	1.689,1.465	0.025,116.120	1.689,116.120
148.966,0.026	0.047,0.820	0.047,76.695
1.759,2.168	147.916,0.048	0.445,124.809
3.689,0.008	142.580,0.008	0.045,37.727
110.083,0.098	0.121,97.989
3.005,0.020	23.053,0.020	3.005,1.890	23.053,1.890	0.046,123.177
74.050,0.179	0.096,278.365
108.458,0.019	0.143,70.710	9.238,1.562
1.023,0.068	78.442,0.068	0.018,176.224
0.110,0.232	10.850,0.006	0.002,16.332
77.171,1.398	0.060,483.465
271.521,0.009	0.155,29.730
101.297,0.021
78.778,0.001	0.128,3.230
113.044,0.069	113.044,4.506	0.052,317.793
1.263,2.994	67.708,0.108	0.025,116.524
3.861,0.296	68.630,0.005	3.861,8.262
24.938,0.072	0.034,187.561
39.366,0.059	0.021,2.677	0.021,158.054
37.069,0.572	0.013,227.263	0.742,227.263
1.590,2.768	118.332,0.093	118.332,5.197	0.067,154.990
124.259,0.018	0.245,87.372	2.525,87.372
3.063,0.078	88.110,0.078	0.119,158.663
112.447,0.142	0.018,563.298
0.927,4.374	65.281,0.044	0.022,184.794
7.779,0.093	7.779,5.535	0.010,264.152
1.104,0.382	75.853,0.004	0.014,36.715
14.726,0.086	14.726,2.657	0.003,158.288
0.003,241.620
108.307,0.020	0.041,70.947	1.163,70.947
321.950,0.020	2.052,48.427
1.656,2.689	164.964,0.029	0.021,96.604
142.937,0.031	0.032,2.040	0.032,145.113
4.234,0.540	125.624,0.012	0.049,51.255
192.100,0.230	1.620,365.280
0.004,5.960	0.004,291.630
21.061,0.369	0.010,77.890
108.989,0.059	0.022,4.418	0.022,391.859
211.791,0.256	0.050,274.328
1.318,0.021	104.461,0.021	0.015,58.739
61.699,0.055	0.042,2.989	0.042,205.951
2.168,0.021	142.937,0.021	0.022,145.113
6.035,0.367	55.009,0.367	6.035,8.015	55.009,8.015	0.084,163.971
0.881,1.425	64.231,0.022	0.009,81.071
0.609,2.269	56.871,0.033	0.593,177.883
1.286,0.349	122.661,0.005	0.013,29.368
189.845,0.153	189.845,1.053	0.204,71.914
291.269,0.013	0.319,110.657	7.477,110.657
2.283,1.915	73.649,0.034	0.456,141.190
1.743,2.697	93.654,0.048	0.032,58.531
5.183,2.686	391.859,0.035	0.660,161.895
1.625,3.235	106.397,0.047	0.311,308.963
62.925,0.061	0.048,46.701
210.653,0.013	0.144,48.383
700.780,0.032	0.127,196.342
0.519,2.143	51.025,0.686	0.009,132.800
129.693,0.159	0.084,116.321	6.632,116.321
11.816,0.127	0.008,229.494
33.028,0.470	0.030,227.767
179.839,0.311	179.839,4.565	0.200,174.488	5.120,174.488
27.814,0.247	0.313,8.557	0.313,584.251	13.774,16.863
0.489,2.050	29.116,0.177	0.006,114.381
2.232,0.114	94.198,0.114	2.232,1.790	94.198,1.790	0.032,42.381
4.000,0.213	208.362,0.004	0.183,18.133	9.548,18.133
15.954,0.253	0.009,164.519
2.803,1.757	148.128,1.757	0.048,109.124
126.613,0.069	126.613,1.399	0.051,47.932
1.745,0.638	157.939,0.010	0.064,42.329
1.719,0.574	63.408,0.020	0.026,53.667
216.200,0.014	0.228,74.968
1.249,0.025	121.114,0.025	0.015,90.593
477.278,0.024
183.811,0.116	0.116,278.278	2.632,7.707
3.762,0.090	194.675,0.090	0.084,399.322
0.139,3.931	11.377,1.060	0.139,94.096	11.377,25.360
22.115,0.447	0.003,110.310
1.424,1.098	68.516,0.022	0.026,52.266
214.618,0.603	214.618,3.367	0.139,69.722	6.562,69.722
11.127,0.398	0.003,394.723
264.496,0.135	0.218,103.200	3.048,103.200
65.672,5.275	0.183,437.427
1.565,0.529	40.160,0.008	0.017,52.591
0.193,30.713
344.124,0.091	0.189,127.231
0.045,2.447	3.797,2.447	0.001,230.261
0.451,6.883	17.720,0.391	0.005,184.406
2.064,0.543	150.159,0.543	0.023,460.131
131.333,0.153	131.333,7.373	0.371,263.630
206.670,0.000
163.723,0.086	163.723,6.304	0.019,280.344
2.267,0.079	162.731,0.009	0.049,6.732
5.240,3.310	110.682,3.310	0.127,651.873
141.886,0.019	0.023,79.076	1.931,79.076
1.540,1.514	124.194,0.097	0.156,136.737
0.461,0.648	41.176,0.019	0.015,57.729
2.277,3.884	102.940,0.051	0.061,59.285
3.067,0.011	101.485,0.011	0.031,4.631
1.254,0.331	97.580,0.331	0.067,5.495	0.067,101.384
144.038,0.116	0.038,77.610	1.510,77.610
0.981,0.951	78.373,0.013	0.021,66.243
161.764,0.674	0.042,88.372
133.441,0.404	1.264,80.206
129.508,0.011	0.346,39.538
209.227,0.082	0.634,3.494	7.610,3.494	0.634,129.224	7.610,129.224
1.877,1.211	14.793,0.012	0.113,22.573
27.852,0.122	0.048,72.584
0.397,0.226	24.650,0.002	0.019,12.207
25.518,0.401	25.518,6.927	0.005,48.619
74.097,0.162	74.097,6.431	0.012,507.173
116.601,0.038	0.302,2.484	0.302,113.064
0.277,0.793	21.232,0.042	0.003,69.643
0.385,5.187	21.676,0.110	0.016,163.170
19.224,0.098	0.012,6.232	0.012,66.566
121.508,0.041	0.247,1.772	0.247,145.585
93.324,0.126	0.024,108.465
123.106,0.145	0.055,114.412
2.803,2.023	108.218,0.035	0.038,92.068
79.099,0.021	0.071,1.194	0.071,4.713
1.281,2.877	66.609,0.036	0.015,273.582
278.457,0.023	0.059,91.573	3.750,91.573
2.125,0.582	190.895,0.046	0.033,37.006
0.833,0.335	76.121,0.005
134.789,0.246	0.016,129.433
0.643,2.243	55.662,0.026	0.007,108.638
0.081,130.130	3.551,29.650
159.280,0.079	0.054,117.733	3.026,117.733
3.994,0.016	301.183,0.016	0.136,1.078	0.136,102.559
182.720,0.010	0.123,27.328
0.427,0.066	34.988,0.066	0.029,91.234
8.209,1.236	0.001,125.869
0.407,0.875	34.095,0.021	0.006,71.089
240.881,0.560	0.292,247.394
112.945,0.076	0.024,6.930	0.024,125.149
410.786,0.020	0.083,1.442	0.083,97.993
70.125,0.004	0.022,18.539	1.057,18.539
471.798,0.018	0.611,56.233
1.493,0.355	95.809,0.006	0.029,12.596
81.350,0.181	0.033,204.058
94.023,0.034	0.401,2.251	1.591,2.251	0.401,120.319	1.591,120.319
68.634,0.007	0.103,28.513	4.514,28.513
1.372,4.481	99.274,0.275	0.041,141.691	2.950,141.691
56.801,0.034	56.801,3.262	0.016,247.495
89.713,1.355	0.015,103.626
101.601,0.800	0.087,326.216
49.852,0.013	0.051,61.853
93.409,0.028
396.983,1.545	0.083,91.992
99.492,0.009	0.206,46.885	1.757,46.885
3.117,0.894	172.606,0.027	0.150,54.770
0.107,0.870	0.001,84.490
122.188,0.129	0.043,196.703
142.587,0.014	142.587,1.243	0.017,66.110
2.484,0.852	0.071,24.698
1.076,2.821	105.145,0.049	0.017,207.192
