parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,3,02-20-22,02,02-20-22,3,0.53,-4.511389,6.285678,0.53
1,3,02-20-22,20,02-20-22,3,0.16,5.817438,-5.4047790000000004,0.16
1,3,02-20-22,22,02-20-22,3,0.31,0.999412,0.814929,0.31
2,2,02-22,22,02-22,2,0.85,3.520971,2.830576,0.85
2,2,02-22,02,02-22,2,0.15,-1.754907,7.19572,0.15
3,2,02-20,20,02-20,2,0.18,6.143729,-4.989915,0.18
3,2,02-20,02,02-20,2,0.82,-6.687835,5.642238,0.82
4,2,02-20,02,02-20,2,0.63,-5.294644,7.172696,0.63
4,2,02-20,20,02-20,2,0.37,7.046348,-2.911908,0.37
5,3,02-12-20,20,02-12-20,3,0.83,6.509987,-9.03233,0.83
5,3,02-12-20,02,02-12-20,3,0.12,-5.193343,2.54125,0.12
5,3,02-12-20,12,02-12-20,3,0.05,0.698891,2.54125,0.05
6,3,01-02-20,20,01-02-20,3,0.5,4.389894,-5.358237,0.5
6,3,01-02-20,01,01-02-20,3,0.12,-1.882416,0.400483,0.12
6,3,01-02-20,02,01-02-20,3,0.38,-1.882419,5.461357,0.38
7,4,02-11-20-21,21,02-10-11-20-21,4,0.5,5.94849,1.366565,0.5
7,4,02-11-20-21,02,02-10-11-20-21,4,0.47,-3.541168,7.218695,0.47
7,4,02-11-20-21,11,02-10-11-20-21,4,0.01,0.772049,1.366565,0.01
7,4,02-11-20-21,20,02-10-11-20-21,4,0.02,5.94849,-0.853451,0.02
8,3,02-20-21,02,02-20-21,3,0.05,-1.48161,7.042828,0.05
8,3,02-20-21,21,02-20-21,3,0.66,6.549362,0.636877,0.66
8,3,02-20-21,20,02-20-21,3,0.29,6.549362,-5.069819,0.29
9,3,02-10-20,20,02-10-20,3,0.1,7.5062430000000004,-4.693772,0.1
9,3,02-10-20,10,02-10-20,3,0.09,1.269789,-4.693772,0.09
9,3,02-10-20,02,02-10-20,3,0.81,-5.093368,5.01209,0.81
10,2,02-20,02,02-20,2,0.05,-2.543654,4.898526,0.05
10,2,02-20,20,02-20,2,0.95,6.72201,-6.534438,0.95
11,3,02-10-20,20,02-10-20,3,0.4,5.995719,-6.591909,0.4
11,3,02-10-20,02,02-10-20,3,0.1,-4.622268,5.774856,0.1
11,3,02-10-20,10,02-10-20,3,0.5,-0.447755,-6.591753,0.5
12,2,02-20,20,02-20,2,0.95,6.949744,-6.085715,0.95
12,2,02-20,02,02-20,2,0.05,-1.188727,2.973128,0.05
13,1,20,20,20,1,1,6.376096,-5.968346,1
14,2,02-20,20,02-20,2,0.11,3.857423,-3.42611,0.11
14,2,02-20,02,02-20,2,0.89,-6.3426,6.327704,0.89
15,2,02-20,20,02-20,2,0.88,8.160982,-3.646178,0.88
15,2,02-20,02,02-20,2,0.12,-0.503522,7.365168,0.12
16,2,02-20,20,02-20,2,0.15,6.323649,-3.832873,0.15
16,2,02-20,02,02-20,2,0.85,-5.05748,6.892733,0.85
17,5,01-02-11-12-20,12,01-02-11-12-20,5,0.24,1.295689,6.171063,0.24
17,5,01-02-11-12-20,20,01-02-11-12-20,5,0.51,5.874046,-4.595796,0.51
17,5,01-02-11-12-20,11,01-02-11-12-20,5,0.05,1.295689,0.321325,0.05
17,5,01-02-11-12-20,02,01-02-11-12-20,5,0.12,-2.732291,6.171063,0.12
17,5,01-02-11-12-20,01,01-02-11-12-20,5,0.08,-2.732281,0.321326,0.08
18,3,02-12-20,12,02-12-20,3,0.34,1.596883,7.382838,0.34
18,3,02-12-20,02,02-12-20,3,0.17,-2.716295,7.382838,0.17
18,3,02-12-20,20,02-12-20,3,0.49,7.850442,-3.645746,0.49
19,3,01-02-20,01,01-02-20,3,0.03,-0.633468,-0.508223,0.03
19,3,01-02-20,02,01-02-20,3,0.15,-0.633468,6.075058,0.15
19,3,01-02-20,20,01-02-20,3,0.82,7.437257,-6.428819,0.82
20,3,00-02-20,02,00-02-20,3,0.25,-5.687951,5.193348,0.25
20,3,00-02-20,00,00-02-20,3,0.31,0.854509,-1.204813,0.31
20,3,00-02-20,20,00-02-20,3,0.44,6.662065,-7.563174,0.44
21,3,01-02-20,02,01-02-20,3,0.27,-4.331041,3.74924,0.27
21,3,01-02-20,20,01-02-20,3,0.62,6.000811,-5.509093,0.62
21,3,01-02-20,01,01-02-20,3,0.11,-4.331041,0.101187,0.11
22,3,02-10-20,02,02-10-20,3,0.29,-6.440399,5.343803,0.29
22,3,02-10-20,20,02-10-20,3,0.32,5.876908,-5.892438,0.32
22,3,02-10-20,10,02-10-20,3,0.39,0.071836,-5.892438,0.39
23,2,02-20,02,02-20,2,0.21,-5.547054,4.914718,0.21
23,2,02-20,20,02-20,2,0.79,6.225028,-2.661512,0.79
24,2,02-20,02,02-20,2,0.11,-1.531471,6.050379,0.11
24,2,02-20,20,02-20,2,0.89,6.540681,-5.242023,0.89
25,2,02-20,02,02-20,2,0.15,-0.503522,7.365168,0.15
25,2,02-20,20,02-20,2,0.85,8.160982,-3.646178,0.85
26,3,02-10-20,10,02-10-20,3,0.42,-0.048679,-6.00287,0.42
26,3,02-10-20,02,02-10-20,3,0.32,-4.857011,5.523569,0.32
26,3,02-10-20,20,02-10-20,3,0.26,4.416194,-6.002877,0.26
27,2,02-20,20,02-20,2,0.78,7.667708,-5.359332,0.78
27,2,02-20,02,02-20,2,0.22,-4.649867,5.876908,0.22
28,2,02-20,02,02-20,2,0.78,-4.415524,5.829577,0.78
28,2,02-20,20,02-20,2,0.22,6.769944,-6.975759,0.22
29,3,02-10-20,20,02-10-20,3,0.26,5.343803,-7.008641,0.26
29,3,02-10-20,10,02-10-20,3,0.52,0.327018,-7.008442,0.52
29,3,02-10-20,02,02-10-20,3,0.22,-5.892438,5.590697,0.22
30,2,12-20,12,20,2,0.01,-1.334524,2.146913,0.01
30,2,12-20,20,20,2,0.99,6.883011,-4.474815,0.99
31,2,02-20,20,02-20,2,0.1,2.816052,-5.201889,0.1
31,2,02-20,02,02-20,2,0.9,-4.544517,6.315188,0.9
32,3,02-10-20,20,02-10-20,3,0.18,7.5062430000000004,-4.693772,0.18
32,3,02-10-20,10,02-10-20,3,0.03,1.269787,-4.693772,0.03
32,3,02-10-20,02,02-10-20,3,0.79,-5.093367,5.01209,0.79
33,3,02-10-20,20,01-02-10-20,3,0.5,7.494217,-4.308593,0.5
33,3,02-10-20,10,01-02-10-20,3,0.05,0.943349,-4.308581,0.05
33,3,02-10-20,02,01-02-10-20,3,0.45,-4.772806,6.039649,0.45
