ParIndex,GRHL2,ZEB,miR200,SLUG,Count
1,3.287,0.376,28.142,42.632,1
1,3.287,849.605,0.478,42.632,1
1,130.498,0.009,28.142,42.632,1
2,1.537,34.836,0.08,97.446,1
2,95.003,0.001,99.779,1.755,1
2,95.003,0.007,1.602,97.446,1
3,2.41,21.43,0.085,61.551,1
3,133.81,0,48.519,1.562,1
3,133.81,0.002,2.313,61.551,1
4,1.96,102.217,0.032,72.897,1
4,97.56,0,190.49,6.532,1
5,0.753,838.811,0.026,91.417,1
5,62.57,0,110.757,3.116,1
6,96.689,0,135.526,0.247,1
7,4.064,281.004,0.341,9.175,1
7,4.064,975.599,0.004,190.49,1
7,43.07,0.001,10.222,9.175,1
8,0.07,0.26,3.233,98.082,1
8,0.07,2390.688,0.06,98.082,1
8,1.588,0.006,65.919,1.003,2
9,0.233,1124.246,0.02,130.498,1
9,0.233,1124.246,1.462,2.776,1
9,22.794,0.008,58.509,2.776,1
9,22.794,0.312,58.509,2.776,1
10,108.412,0,159.789,0.352,1
10,108.412,0.001,159.789,26.846,1
11,96.689,0.012,97.576,0.201,1
11,96.689,0.013,97.576,18.897,1
12,7.292,88.831,1.075,0.126,1
12,206.866,0.005,100.651,0.126,1
13,0.633,9.867,98.365,1.024,1
13,0.633,306.592,2.392,79.182,1
13,45.995,0.145,102.782,1.024,1
14,108.412,0,159.789,0.269,1
14,108.412,0.001,159.789,26.846,1
15,1.242,2390.688,0.023,98.082,1
15,28.061,0,65.919,2.086,1
16,0.82,1586.165,0.088,108.517,1
16,80.217,0,130.188,5.393,1
16,80.217,0.151,3.218,108.517,1
16,80.217,0.313,1.58,108.517,1
17,3.13,29.955,1.108,1.522,1
17,3.13,2736.599,0.015,38.191,1
17,3.132,0.484,1.108,1.522,1
17,138.963,0.005,108.412,1.522,1
18,0.193,2055.4,0.029,273.66,1
19,28.862,4.568,0.032,83.881,1
19,63.437,0,62.57,3.587,1
19,63.437,0.001,1.095,83.881,1
20,0.38,893.882,0.227,307.003,1
20,7.352,0.018,78.727,3.431,1
20,7.352,0.338,78.727,3.431,1
21,5.595,389.308,0.555,1.123,1
21,5.595,855.683,0.007,63.437,2
21,322.519,0.003,47.077,1.123,1
21,322.519,0.258,0.555,1.123,1
22,1.488,9.896,1.994,7.229,1
22,1.488,904.172,0.029,128.239,1
22,64.857,0,87.795,7.229,1
23,2.614,8.183,1.088,0.801,1
23,2.614,694.1,0.031,45.753,2
23,211.734,0.001,61.463,0.801,1
24,110.584,32.962,0.008,112.048,2
24,168.343,0,58.969,6.255,1
25,0.771,26.835,0.796,0.693,2
25,47.201,0,68.088,0.693,3
26,5.142,268.462,0.043,137.336,2
26,159.789,0.43,0.043,137.336,2
27,0.509,2926.424,0.955,138.407,2
27,25.084,0,121.53,2.341,1
27,25.084,0.03,21.874,138.407,1
28,0.289,24.854,1.007,0.494,1
28,0.289,1586.025,0.049,20.293,2
28,19.387,0,72.246,0.494,1
29,3.455,1107.574,0.091,301.91,1
29,83.881,0,91.417,5.013,2
29,83.881,0.003,8.191,301.91,1
29,83.881,0.224,0.091,301.91,1
30,0.274,1.08,136.727,0.357,1
30,26.846,0,137.336,0.357,1
31,69.355,0,67.741,0.472,1
31,69.355,0,67.741,20.948,1
32,2.692,3.873,0.16,3.296,1
32,2.692,351.223,0.033,143.166,1
32,245.411,0,12.813,3.296,1
32,245.411,0.002,2.608,143.166,1
33,41.712,4.623,0.013,101.783,1
33,169.947,0,36.007,1.887,1
33,169.947,0.073,0.602,101.783,1
34,9.241,51.49,0.155,38.397,1
34,69.648,1.186,0.155,38.397,1
34,84.097,0,8.183,38.397,1
34,84.097,0,20.851,0.784,1
35,0.59,53.442,0.063,8.582,1
35,0.59,1260.154,0.001,97.153,1
35,53.915,0,5.421,8.582,1
36,2.312,10.827,1.021,0.765,1
36,2.312,979.443,0.048,69.355,1
36,69.329,0,95.175,0.765,1
36,69.329,0.005,4.497,69.355,1
37,0.468,0.073,54.522,2.74,1
37,0.468,640.429,0.047,35.16,1
37,35.112,0.004,54.522,2.74,1
38,1.737,1062.508,0.07,1.624,1
38,1.737,2335.352,0.001,91.725,1
38,100.154,0.009,5.912,1.624,1
39,12.828,44.989,0.033,38.329,1
39,73.653,0,108.959,1.332,1
39,73.653,0.002,2.894,38.329,1
40,1.506,8.038,3.771,0.48,1
40,1.506,2454.025,0.057,43.07,1
40,103.276,0.002,50.691,0.48,1
41,4.998,7.218,3.057,15.106,1
41,4.998,7.218,3.058,0.245,1
41,83.91,0.006,134.895,15.106,1
41,83.91,0.006,134.909,0.245,1
42,0.625,915.192,0.009,101.51,1
42,23.257,0.014,57.221,1.096,1
43,2.397,7.621,0.015,0.693,1
43,2.397,693.547,0.015,67.741,1
43,95.175,0.256,1.128,0.693,1
44,5.225,1273.002,0.68,102.903,1
45,10.58,0.001,108.819,0.794,1
46,11.488,1.274,3.531,0.802,1
46,11.488,5638.054,0.15,53.915,1
46,240.961,0.001,155.488,0.802,1
46,240.961,0.052,6.594,53.915,1
47,3.121,9.551,0.591,3.878,1
47,3.121,1212.992,0.008,287.297,1
47,53.766,0.004,49.518,3.878,1
47,53.766,0.032,0.688,287.297,1
47,53.766,0.5,0.049,287.297,1
48,0.64,338.435,0.023,145.955,1
48,24.311,0.118,0.673,145.955,1
48,25.974,0,61.651,6.051,1
49,4.449,5.051,3.757,2.088,1
49,4.449,1032.764,0.279,50.691,1
49,340.572,0.001,245.403,2.088,1
49,340.572,0.004,18.255,50.691,1
50,1.862,1.71,3.394,1.943,1
50,1.862,1351.982,0.043,103.462,1
50,127.485,0,208.068,1.943,1
50,127.485,0.226,2.609,103.462,1
51,16.683,16.471,0.082,111.635,1
51,326.041,0,99.953,1.141,1
51,326.041,0.003,5.634,111.635,1
52,1.392,351.486,0.075,214.997,1
52,129.202,0.009,138.052,3.277,1
52,129.202,0.149,3.908,214.997,1
53,10.958,1007.217,0.038,65.223,1
53,102.345,0,66.155,0.918,1
53,102.345,0.01,1.811,65.223,1
54,0.493,770.206,0.021,326.521,1
54,38.304,0.013,2.113,326.521,1
55,6.245,38.283,0.335,4.567,1
55,6.245,2476.215,0.008,108.567,1
55,290.937,0.001,17.579,4.567,1
55,290.937,0.09,0.423,108.567,1
56,5.721,5.329,0.682,3.814,1
56,5.721,420.979,0.011,138.739,1
56,395.476,0,63.585,3.814,1
58,4.584,7.439,0.766,2.724,1
58,4.584,693.547,0.041,67.741,1
58,95.175,0,69.499,2.724,1
58,95.175,0.004,3.688,67.741,1
58,95.175,0.362,0.043,67.741,1
59,2.215,12.623,0.134,0.198,1
59,110.839,0,12.01,0.198,1
60,1.975,11.334,3.903,4.483,1
60,1.975,850.218,0.045,417.686,1
60,96.927,0.009,219.802,4.483,1
60,96.927,0.01,2.548,417.686,1
61,0.972,5.539,1.749,1.239,1
61,0.972,486.357,0.048,59.003,1
61,96.42,0,41.408,1.239,1
61,96.42,0.174,1.141,59.003,1
62,4.584,7.439,0.766,2.724,1
62,4.584,693.547,0.041,67.741,1
62,95.175,0,69.499,2.724,1
62,95.175,0.004,3.688,67.741,1
62,95.175,0.362,0.043,67.741,1
63,1.18,54.946,0.663,2.41,1
63,1.18,1514.998,0.007,191.26,1
63,77.522,0.009,43.91,2.41,1
64,4.073,252.66,0.071,93.644,1
64,306.313,0,77.153,1.308,1
64,306.313,0.05,0.071,93.644,1
65,79.089,0,193.004,1.147,1
66,1.136,1.871,8.115,1.625,1
66,1.136,989.194,1.024,43.607,1
66,79.347,0,91.643,1.625,1
66,79.347,0.006,11.561,43.607,1
67,0.638,0.042,103.855,1.962,1
67,0.638,3.241,13.322,1.962,1
67,0.638,2237.318,0.24,106.803,1
67,38.147,0.001,103.855,1.962,1
68,13.796,5.09,2.169,1.68,1
68,13.796,224.119,0.075,100.651,1
68,700.752,0,170.962,1.68,1
68,700.752,0.002,5.934,100.651,1
69,12.161,3.825,0.019,700.752,1
69,305.181,0.075,0.504,700.752,1
70,2.155,1.958,0.402,2.338,1
70,2.155,9584.395,0.014,140.057,1
70,98.523,0.001,31.712,2.338,1
70,98.523,0.046,1.101,140.057,1
71,10.069,15.018,0.162,700.752,1
71,252.687,0.002,4.582,700.752,1
72,1.633,673.51,12.664,4.047,1
73,3.991,11.477,0.788,2.93,1
73,3.991,910.386,0.013,101.7,1
73,148.124,0.001,74.859,2.93,1
74,1.268,1123.045,0.07,146.178,1
75,2.049,27.999,0.099,1.934,2
75,2.049,611.563,0.099,72.172,1
75,127.548,0.023,1.983,1.934,1
76,4.25,4.067,0.917,4.056,1
76,4.25,313.193,0.011,298.065,1
76,227.668,0,90.097,4.056,1
76,227.668,0.224,1.107,298.065,1
77,2.367,3108.779,0.03,87.967,1
77,117.097,0.001,123.261,1.032,1
77,117.097,0.061,3.007,87.967,1
78,21.418,14.288,0.082,31.021,1
78,21.418,14.288,0.082,235.324,1
78,389.537,0.001,5.52,31.021,1
78,389.537,0.001,5.52,235.324,1
79,0.408,2.365,5.67,1.343,1
79,0.408,4134.41,0.273,97.897,1
79,22.838,0.037,387.999,1.343,1
80,4.714,584.347,0.609,72.181,1
80,463.193,0.001,169.895,7.067,1
80,463.193,0.014,4.63,72.181,1
80,463.193,0.787,4.619,72.181,1
81,3.398,74.391,2.105,2.047,1
81,3.398,1379.094,0.089,87.747,1
81,173.673,0,131.721,2.047,1
81,173.673,0.005,5.598,87.747,1
82,4.865,3.152,1.155,0.12,1
82,4.865,3.154,1.153,11.653,1
82,175.705,0.002,91.21,11.653,1
82,175.705,0.002,91.384,0.12,1
83,0.123,2.85,248.823,1.748,1
83,0.123,10.8,14.249,133.968,1
83,12.107,0.19,300.336,1.748,1
84,2.987,7.35,0.923,1.115,1
84,2.987,694.581,0.014,102.703,1
84,30.618,0.001,87.006,1.115,1
85,197.281,0,185.111,0.842,1
85,197.281,0,185.113,0.842,2
86,1.043,4382.169,0.201,73.554,1
86,15.026,0.99,2.232,1.198,1
86,15.027,0.215,2.232,1.198,1
87,9.758,1333.957,0.02,394.599,2
87,450.456,0.496,0.825,394.599,2
88,8.923,954.884,0.748,65.948,1
88,168.044,0,627.35,0.695,1
88,168.044,0.006,54.357,65.948,1
88,168.044,0.174,0.748,65.948,1
89,27.058,7.462,1.114,0.948,1
89,27.058,135.49,1.088,36.618,1
89,119.783,0.079,81.56,0.948,1
90,426.303,0.001,135.697,0.274,1
91,1.107,8.532,3.783,7.53,1
91,1.107,518.199,0.05,100.533,1
91,76.242,0.002,127.811,7.53,1
91,76.242,0.102,1.694,100.533,1
92,0.086,9.548,0.937,1.338,1
92,0.086,290.113,0.015,60.946,1
92,5.22,0.005,92.188,1.338,1
93,6.123,5.361,27.608,9.923,1
93,6.123,826.769,0.854,205.824,1
93,142.558,0.008,350.448,9.923,1
93,142.558,0.17,10.835,205.824,1
94,6.155,123.934,1.347,7.909,1
94,6.155,124.071,0.015,423.3,1
94,458.436,0.002,67.894,7.909,1
94,458.436,0.021,0.78,423.3,1
95,0.361,43.715,0.452,4.627,1
95,0.361,185.544,0.012,304.446,1
95,0.499,0.71,31.467,4.627,1
95,23.378,0,32.29,4.627,1
95,23.378,0.021,0.886,304.446,1
96,0.261,35.202,0.13,8.874,1
96,0.261,520.755,0.13,157.428,1
96,23.512,0,4.026,8.874,1
96,23.512,0.003,4.026,157.428,1
97,2.531,37.163,0.935,0.276,1
97,139.106,0.001,72.784,0.276,1
98,8.173,5.169,0.683,1.44,1
98,8.173,509.394,0.022,137.643,1
