parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2193,1,1303,1303,1303,1,1,4.451735,3.575561,-0.837382,9.125039,1
2194,3,0010-0300-0303,0303,0010-0300-0303,3,0.71,-3.527037,9.396387,-5.099622,8.264143,0.71
2194,3,0010-0300-0303,0010,0010-0300-0303,3,0.04,2.220185,-3.269092,6.996701,2.860259,0.04
2194,3,0010-0300-0303,0300,0010-0300-0303,3,0.25,-3.527037,3.834266,0.849463,2.860259,0.25
2195,2,1013-1303,1013,1011-1013-1303,2,0.68,6.789178,-6.928289,2.217242,9.160249,0.68
2195,2,1013-1303,1303,1011-1013-1303,2,0.32,0.850843,4.520999,-3.765539,9.160249,0.32
2196,3,0300-0303-1010,0303,0300-0303-1010,3,0.57,1.614714,11.106712,-3.805997,6.350183,0.57
2196,3,0300-0303-1010,1010,0300-0303-1010,3,0.16,7.452763,-9.281824,6.866832,2.399203,0.16
2196,3,0300-0303-1010,0300,0300-0303-1010,3,0.27,1.614714,5.160989,1.527787,2.399203,0.27
2197,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.08,1.104274,11.119601,-4.751781,4.770032,0.08
2197,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,0.41,1.10428,0.185486,5.331797,0.820368,0.41
2197,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.04,6.325199,-6.42799,1.763494,4.770032,0.04
2197,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.47,6.325199,-12.035703,8.333197,0.820368,0.47
2198,3,0303-0310-1010,0303,0303-0310-1010,3,0.15,0.433049,10.981292,-1.87244,6.151777,0.15
2198,3,0303-0310-1010,0310,0303-0310-1010,3,0.54,0.433049,0.387243,3.73075,-0.254112,0.54
2198,3,0303-0310-1010,1010,0303-0310-1010,3,0.31,6.133014,-11.719494,6.911331,-0.254112,0.31
2199,4,0300-0303-1010-1100,0300,0300-0303-1010-1100,4,0.41,1.62268,5.081517,-0.89576,0.793697,0.41
2199,4,0300-0303-1010-1100,0303,0300-0303-1010-1100,4,0.53,1.62268,10.370296,-6.590616,7.292546,0.53
2199,4,0300-0303-1010-1100,1100,0300-0303-1010-1100,4,0.01,7.05952,-0.826948,-0.89576,0.793697,0.01
2199,4,0300-0303-1010-1100,1010,0300-0303-1010-1100,4,0.05,7.05952,-7.395331,5.650344,0.793698,0.05
2200,2,0303-1013,1013,0303-1013,2,0.45,4.059944,-7.601315,-0.202408,7.071806,0.45
2200,2,0303-1013,0303,0303-1013,2,0.55,0.093092,8.183225,-6.711101,7.071806,0.55
2201,2,0210-1010,1010,0210-1010,2,0.51,5.453283,-10.283485,8.076884,-0.847472,0.51
2201,2,0210-1010,0210,0210-1010,2,0.49,0.541015,-0.58852,8.076884,-0.847472,0.49
