46.263,4.198	0.060,314.341	2.266,314.341
228.273,7.806	0.066,138.445
4.325,4.874	0.002,97.636
125.538,1.360	0.025,123.078
7.820,0.214	0.021,19.167
1.385,12.247	9.464,12.247
118.347,1.136	0.056,58.831
80.323,4.533	0.065,213.133
373.170,1.024	0.805,96.121
69.388,0.957	0.040,71.655	2.936,71.655
116.078,0.930	0.015,58.628	1.316,58.628
0.014,438.511	1.421,438.511
0.082,245.965	2.804,245.965
0.030,126.390	2.339,126.390
9.667,0.717	0.007,31.432
0.043,242.478	3.651,242.478
20.705,0.787	0.010,53.546
6.427,1.799	0.004,110.019
2.289,1.296	170.293,1.296	0.036,47.122
106.232,3.801	0.018,310.546
79.353,2.717	0.421,188.097
85.736,0.704	0.053,67.691	2.669,67.691
21.992,1.671	0.007,146.798
30.093,9.248	0.004,275.167	0.311,275.167
8.760,0.256	0.006,24.327
91.153,1.224	0.015,100.446
90.294,0.977	0.014,60.772
233.434,8.214	0.226,289.138	2.712,289.138
1.673,2.337	157.417,2.337	0.019,83.060
59.075,1.696	0.046,104.335	1.393,104.335
624.352,4.931	0.279,54.255
21.254,1.057	0.022,70.146
18.365,1.593	0.002,52.544
0.005,298.197
160.191,2.167	0.107,130.186	2.577,130.186
91.896,1.856	0.054,38.250
432.896,1.377	0.056,89.303
192.845,0.465	0.044,20.030
85.326,4.126	0.010,175.700
72.622,1.025	0.053,91.987
70.464,2.289	0.133,99.313
194.002,1.616	0.109,63.442
711.605,1.519	0.240,90.581
110.134,17.642	0.163,713.769
304.229,1.662	0.089,77.571
0.018,311.008
28.680,2.877	0.005,218.031	0.315,218.031
91.258,0.253	0.409,18.993
4.885,4.922	0.014,193.868
1.101,5.994	55.593,5.994	0.014,440.793
240.770,1.435	0.103,123.957
26.778,14.347	0.194,586.928
17.662,8.140	0.002,422.224
98.402,0.529	0.089,25.630	1.684,25.630
27.367,0.590	0.042,48.517
0.032,313.595
368.035,0.332	0.053,32.852	3.685,32.852
16.536,0.048
19.452,4.993	0.046,126.880
0.015,173.127	1.299,4.238
6.950,1.944	0.002,94.507
45.927,0.832	0.034,72.724
14.446,1.487	0.137,27.003
283.702,0.398	0.072,16.874
51.829,3.164	0.008,98.801
193.486,3.471	0.062,126.850
70.255,0.636	0.048,55.759
145.946,0.925	0.029,84.532	2.196,84.532
85.616,0.364
36.956,6.261	0.020,527.444
10.078,1.234	0.012,29.231
202.158,6.385	0.304,477.557
66.968,4.282	0.017,114.174
453.853,4.767	0.114,426.859
103.841,1.192	0.070,109.461
1.964,2.554	125.803,2.554	0.121,128.583
73.552,1.554	0.034,103.911
