parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,2,0202-2020,0202,0202-2020,2,0.88,-0.583686,5.838454,-8.166937,7.274794,0.88
1,2,0202-2020,2020,0202-2020,2,0.12,6.688277,-0.851054,4.573203,-5.465366,0.12
2,2,0202-2020,0202,0202-2020,2,0.98,-8.366687,6.780846,-5.038332,6.648127,0.98
2,2,0202-2020,2020,0202-2020,2,0.02,4.450405,-2.188261,7.281382,-0.799045,0.02
3,2,0202-0211,0202,0202-0211,2,0.6,-6.294309,7.078616,-4.751353,6.480917,0.6
3,2,0202-0211,0211,0202-0211,2,0.4,-6.294309,6.951001,1.099395,0.446551,0.4
4,3,0202-0210-2020,2020,0202-0210-2020,3,0.29,4.446157,-2.095292,5.60779,-2.673435,0.29
4,3,0202-0210-2020,0210,0202-0210-2020,3,0.37,-0.915623,3.909827,-0.998845,-1.006761,0.37
4,3,0202-0210-2020,0202,0202-0210-2020,3,0.34,-7.010924,3.909833,-7.581478,5.418913,0.34
5,3,0120-0202-2020,2020,0120-0202-2020,3,0.36,4.515936,-4.541827,5.795525,-8.651388,0.36
5,3,0120-0202-2020,0120,0120-0202-2020,3,0.46,-1.705298,1.67248,5.616858,-2.282733,0.46
5,3,0120-0202-2020,0202,0120-0202-2020,3,0.18,-7.838086,5.894532,-4.326486,3.144238,0.18
6,2,0202-2020,0202,0012-0202-2020,2,0.67,-5.535121,6.257531,-5.969479,4.852971,0.67
6,2,0202-2020,2020,0012-0202-2020,2,0.33,5.10576,-2.87254,7.120062,-4.050193,0.33
7,3,0202-1200-2020,0202,0202-1200-2020,3,0.19,-5.865168,3.534371,-5.077698,5.22439,0.19
7,3,0202-1200-2020,1200,0202-1200-2020,3,0.04,0.390796,3.534014,-0.128987,-0.613263,0.04
7,3,0202-1200-2020,2020,0202-1200-2020,3,0.77,6.366217,-7.966334,6.440162,-3.783127,0.77
8,2,0202-2020,2020,-1,2,0.48,6.786696,-5.075417,6.220258,-2.233235,0.48
8,2,0202-2020,0202,-1,2,0.52,0.406537,6.458195,-3.916588,6.670447,0.52
9,2,0202-2020,0202,0202-2020,2,0.88,-5.47609,6.022706,-6.277511,6.350406,0.88
9,2,0202-2020,2020,0202-2020,2,0.12,6.791985,-0.776697,6.911733,-2.737708,0.12
10,2,0202-2020,0202,0202-2020,2,0.4,-7.807055,4.02603,-5.443265,5.348285,0.4
10,2,0202-2020,2020,0202-2020,2,0.6,5.356852,-7.934208,7.326596,-6.639637,0.6
11,2,0202-2020,0202,0202-2020,2,0.02,-2.064122,6.592344,-1.147881,2.672144,0.02
11,2,0202-2020,2020,0202-2020,2,0.98,7.471698,-2.92523,7.712501,-6.845422,0.98
12,2,0202-2020,2020,0202-2020,2,0.2,5.638909,-1.638909,5.583391,-2.994754,0.2
12,2,0202-2020,0202,0202-2020,2,0.8,-6.360152,6.504595,-4.045818,6.309406,0.8
13,2,0202-2020,2020,0202-2020,2,0.9,5.418913,-4.846659,6.198785,-4.896716,0.9
13,2,0202-2020,0202,0202-2020,2,0.1,-5.244526,7.13242,-3.575361,7.016006,0.1
14,3,0202-2020-2101,2020,0202-2020-2101,3,0.33,6.20456,-3.909719,5.520659,-5.401552,0.33
14,3,0202-2020-2101,2101,0202-2020-2101,3,0.05,5.566229,1.414874,-2.336391,0.328769,0.05
14,3,0202-2020-2101,0202,0202-2020-2101,3,0.62,-4.100494,7.074697,-7.643432,6.558688,0.62
15,2,0202-2020,2020,0022-0202-2020,2,0.65,5.593171,-7.123344,5.638909,-4.858823,0.65
15,2,0202-2020,0202,0022-0202-2020,2,0.35,-6.321568,4.897855,-1.780489,6.504595,0.35
16,4,0202-1012-2012-2020,0202,0202-1012-2020,4,0.52,-3.113489,7.916932,-4.686666,6.086489,0.52
16,4,0202-1012-2012-2020,2020,0202-1012-2020,4,0.07,6.408047,-4.136579,3.170697,-3.461307,0.07
16,4,0202-1012-2012-2020,2012,0202-1012-2020,4,0.3,4.676953,-4.136403,0.762514,2.29539,0.3
16,4,0202-1012-2012-2020,1012,0202-1012-2020,4,0.11,2.154032,-3.69538,0.762506,5.892479,0.11
17,2,0202-2020,2020,0202-2020-2110,2,0.14,6.077136,0.239291,8.336948,-3.71117,0.14
17,2,0202-2020,0202,0202-2020-2110,2,0.86,-6.524531,6.965554,-3.984793,4.170821,0.86
18,4,0202-1002-2001-2020,2020,0202-1002-2001-2020,4,0.19,7.6897,-7.517825,4.02603,-5.06589,0.19
18,4,0202-1002-2001-2020,0202,0202-1002-2001-2020,4,0.25,-4.210658,4.800797,-8.573936,7.326596,0.25
18,4,0202-1002-2001-2020,1002,0202-1002-2001-2020,4,0.1,1.11391,-1.728042,-2.344018,7.31776,0.1
18,4,0202-1002-2001-2020,2001,0202-1002-2001-2020,4,0.46,7.681997,-1.787504,-2.343568,1.333924,0.46
19,2,0202-2020,2020,0202-2020,2,0.08,7.131121,-1.839614,2.60669,-5.585317,0.08
19,2,0202-2020,0202,0202-2020,2,0.92,-3.152698,8.201574,-3.995442,5.314064,0.92
20,2,0202-2020,2020,0202-2020,2,0.07,5.018219,-3.781786,5.611896,-1.659258,0.07
20,2,0202-2020,0202,0202-2020,2,0.93,-5.622666,5.348285,-7.47765,7.243895,0.93
21,3,0202-2020-2201,2201,0202-2020-2201,3,0.36,2.152322,0.763719,-6.253699,0.859192,0.36
21,3,0202-2020-2201,2020,0202-2020-2201,3,0.19,6.504595,-5.812071,6.027132,-5.135855,0.19
21,3,0202-2020-2201,0202,0202-2020-2201,3,0.45,-3.504826,6.088366,-6.291489,6.993097,0.45
22,1,2020,2020,0202-2002-2020,1,1,7.916932,-4.351737,6.086489,-3.056255,1
23,2,0202-2020,0202,0202-2020,2,0.61,-4.182583,6.29827,-7.004572,6.831147,0.61
23,2,0202-2020,2020,0202-2020,2,0.39,6.779671,-4.301205,5.016317,-4.830352,0.39
24,2,0202-1200,1200,0202-1200,2,0.87,-1.15955,6.893221,0.965179,-1.826327,0.87
24,2,0202-1200,0202,0202-1200,2,0.13,-6.10826,6.894675,-1.631778,4.622499,0.13
25,3,0202-1002-2020,1002,0202-1002-2020,3,0.19,0.956548,-1.036915,-0.522006,6.795803,0.19
25,3,0202-1002-2020,2020,0202-1002-2020,3,0.55,7.326596,-7.044202,5.611896,-3.192419,0.55
25,3,0202-1002-2020,0202,0202-1002-2020,3,0.26,-5.273371,5.348285,-6.517256,7.243895,0.26
26,1,2102,2102,2102,1,1,4.358469,0.100023,-8.593729,1.379881,1
27,2,0202-2020,2020,0202-2020,2,0.96,6.48297,-7.832767,7.482123,-4.58303,0.96
27,2,0202-2020,0202,0202-2020,2,0.04,-1.834609,3.931097,-0.7701,4.95279,0.04
28,2,0202-2020,2020,0202-2020,2,0.43,5.348285,-4.510115,7.243895,-2.642949,0.43
28,2,0202-2020,0202,0202-2020,2,0.57,-5.088075,5.611896,-4.67237,6.375722,0.57
29,2,0202-2020,0202,0202-2020,2,0.11,-2.414288,5.217568,-5.142442,5.608279,0.11
29,2,0202-2020,2020,0202-2020,2,0.89,7.12176,-7.207093,6.224554,-1.870579,0.89
30,3,0120-0202-2020,2020,0120-0202-0210-2020,3,0.16,3.913104,-4.585363,7.505281,-5.245312,0.16
30,3,0120-0202-2020,0202,0120-0202-0210-2020,3,0.43,-8.484848,7.635964,-4.036341,4.322707,0.43
30,3,0120-0202-2020,0120,0120-0202-0210-2020,3,0.41,-1.867051,1.516342,7.356482,1.271105,0.41
31,2,0202-2020,0202,0202-2020,2,0.85,-8.094966,7.642862,-4.872801,2.756032,0.85
31,2,0202-2020,2020,0202-2020,2,0.15,3.691436,-2.772657,6.042109,-9.289528,0.15
32,2,0202-2120,0202,0202-2120,2,0.94,-3.483719,5.723816,-4.55493,7.94515,0.94
32,2,0202-2120,2120,0202-2120,2,0.06,3.334091,-0.878314,6.350406,-2.761262,0.06
33,2,0021-2020,0021,0021-2020,2,0.83,1.110651,-0.68578,6.893394,0.912285,0.83
33,2,0021-2020,2020,0021-2020,2,0.17,7.304384,-1.628414,6.894675,-5.669455,0.17
34,2,0202-2020,0202,-1,2,0.18,-2.641876,5.947353,-3.680902,7.143585,0.18
34,2,0202-2020,2020,-1,2,0.82,6.240275,-4.354209,6.665786,-2.538204,0.82
35,2,0202-2020,0202,0022-0202-2020,2,0.03,-2.754349,5.880859,-0.497691,5.105756,0.03
35,2,0202-2020,2020,0022-0202-2020,2,0.97,6.375722,-7.20857,8.405469,-4.652961,0.97
36,3,0202-2001-2020,2001,0202-2001-2020,3,0.73,7.561742,-1.360414,-2.138786,1.49922,0.73
36,3,0202-2001-2020,0202,0202-2001-2020,3,0.13,-1.806329,5.166925,-5.47976,7.01815,0.13
