Phase,Count,Frequency
00,158,0.0158
00-01,1,1e-4
00-10,1,1e-4
01,2761,0.2761
01-10,4285,0.4285
01-11,59,0.0059
10,2574,0.2574
10-11,37,0.0037
11,124,0.0124
