ParIndex,GRHL2,ZEB,miR200,SLUG,Count
66,27.583,0.001,99.968,1.584,1
67,0.971,1365.529,0.484,136.813,3
67,46.572,0.129,4.537,136.813,2
68,4.725,626.403,0.014,323.42,2
68,79.231,0.125,0.362,323.42,2
69,2.318,36.911,2.217,1.238,1
69,2.318,2088.596,0.131,51.799,1
69,160.114,0.029,126.792,1.238,1
70,3.847,1011.783,0.06,243.815,1
70,97.326,0,109.498,2.528,1
70,97.326,0.412,1.216,243.815,1
71,1.291,985.209,0.052,136.163,1
71,1.628,5.142,3.709,1.582,1
71,119.857,0.001,142.68,1.582,1
71,119.857,0.023,1.984,136.163,1
72,114.121,0.001,18.038,0.493,1
73,15.559,54.367,1.014,0.039,1
73,131.865,0.001,93.766,0.039,2
74,1.637,118.191,0.075,74.379,1
74,46.267,0,89.374,1.571,1
74,46.267,0.025,1.299,74.379,1
75,24.895,0,289.681,0.807,1
75,24.895,0,289.682,0.807,1
76,2.025,57.273,0.566,0.455,2
76,87.32,0,29.317,0.455,3
77,146.611,0.203,67.006,2.984,1
78,101.135,0,83.725,6.108,2
79,6.193,14.186,0.244,4.046,1
79,6.193,552.244,0.003,172.157,1
79,121.77,0,20.717,4.046,1
79,121.77,0.08,0.248,172.157,1
80,1.308,13.761,0.057,105.312,1
80,67.924,0.139,4.761,105.312,2
81,6.985,0.783,2.453,89.63,2
81,75.114,0,131.829,1.72,1
82,2.758,1099.957,0.037,105.415,1
82,2.76,22.976,1.601,2.574,1
82,203.15,0,80.689,2.574,1
82,203.15,0.284,1.844,105.415,1
83,90.877,0,69.542,0.77,3
84,9.002,106.829,0.912,1.761,1
84,9.002,1702.381,0.026,136.4,1
84,551.741,0.001,87.311,1.761,2
85,0.548,759.414,0.259,56.158,2
85,1.133,1.458,78.041,1.403,1
85,42.76,0.002,78.067,1.403,1
86,4.632,501.441,0.242,69.629,1
86,191.619,0.001,430.295,3.474,1
86,191.619,0.037,5.827,69.629,1
87,1.963,5.963,3.306,1.238,1
87,173.141,0,125.478,1.238,2
88,2.204,275.011,0.027,113.311,2
88,56.328,0,61.829,3.205,1
89,1.537,69.337,1.854,1.03,1
89,1.537,872.003,0.06,87.725,1
89,60.766,0.005,157.967,1.03,1
89,60.766,0.095,5.079,87.725,1
90,127.757,0.01,193.08,0.065,1
91,5.3,16.39,0.024,116.072,2
91,301.467,0.005,55.359,2.146,2
92,247.48,0,415.71,2.426,1
93,48.22,0,237.367,0.611,3
94,1.703,270.93,0.014,193.373,1
94,54.7,0,30.605,4.003,1
94,54.7,0.16,0.367,193.373,1
95,0.985,715.148,0.464,55.894,1
95,1.789,7.305,2.451,1.646,1
95,95.043,0,106.934,1.646,1
95,95.043,0.004,20.258,55.894,1
96,7.564,453.658,0.283,72.629,1
96,79.32,0,219.474,1.217,1
96,79.32,0.002,19.056,72.629,1
97,0.803,3734.343,0.127,203.532,3
97,0.809,11.641,4.552,7.501,1
97,61.855,0.003,107.95,7.501,1
98,2.365,64.433,0.199,1.298,1
98,2.365,2364.008,0.02,69.584,1
98,229.047,0.574,0.511,69.584,1
98,229.054,0.001,5.09,1.298,1
99,0.742,367.773,0.843,0.967,2
99,59.227,0.018,26.113,0.967,2
100,2.985,101.98,1.189,134.821,1
100,162.131,0.001,364.269,2.735,1
100,162.131,0.066,88.097,134.821,1
101,5.506,107.291,0.328,1.642,1
101,5.506,654.329,0.015,65.761,2
101,77.713,0.001,20.972,1.642,1
102,0.41,1165.876,0.353,112.559,2
102,40.819,0.003,105.799,1.176,1
103,5.902,8.265,5.378,0.579,1
103,258.954,0,18.198,0.579,1
105,4.869,103.565,0.008,163.789,2
105,59.553,0,47.519,4.472,2
106,2.259,468.136,0.006,321.818,2
106,165.779,0.022,0.491,321.818,2
107,6.666,573.628,0.141,71.54,1
107,6.67,11.517,0.677,3.561,1
107,147.955,0.001,58.993,3.561,1
107,147.955,0.03,12.296,71.54,1
108,2.097,294.06,0.02,134.577,1
108,87.024,0,48.772,2.625,2
108,87.024,0.102,1.781,134.577,1
109,1.009,1227.924,0.007,112.942,1
109,95.765,0.001,35.415,10.047,1
109,95.765,0.037,0.448,112.942,1
110,37.441,68.926,0.006,86.973,1
110,143.366,0.01,22.903,1.197,2
111,0.724,115.877,2.224,9.576,1
111,0.724,4124.385,0.08,91.123,1
111,13.642,0.056,184.645,9.576,1
112,8.771,15.613,0.232,1.729,1
112,8.771,1068.013,0.014,110.639,1
112,231.06,0.24,0.704,110.639,1
112,231.061,0,11.857,1.729,1
113,3.493,82.839,0.453,0.242,1
113,3.493,89.104,0.434,11.816,1
113,59.311,0.007,13.623,0.242,1
113,59.311,0.008,13.062,11.816,1
114,2.502,1785.739,0.008,235.408,2
114,92.012,0.303,0.079,235.408,2
115,24.934,486.296,0.015,249.495,1
115,24.996,8.625,1.288,2.815,1
115,308.458,0,115.879,2.815,1
116,1.6,777.354,0.033,233.958,2
116,79.789,0.42,1.998,233.958,2
117,0.165,24.366,2.801,0.663,1
117,0.165,31.354,2.639,22.16,1
117,15.801,0.018,109.488,0.663,1
117,15.801,0.023,103.166,22.16,1
118,1.157,28.294,18.627,0.096,1
118,80.777,0.083,409.165,0.096,1
119,3.575,26.587,1.361,0.373,1
119,132.389,0.001,122.521,0.373,1
120,12.846,873.712,0.031,80.488,1
120,78.985,0.02,1.385,80.488,2
121,7.71,204.817,0.9,6.537,1
121,7.71,1778.587,0.104,501.5,3
121,341.965,0.005,49.599,6.537,2
122,2.409,86.187,0.59,1.098,2
122,2.409,1648.094,0.158,93.586,1
122,3.273,0.759,14.55,93.586,1
122,74.521,0.001,58.546,1.098,1
122,74.521,0.025,15.619,93.586,1
123,1.832,9.471,0.473,2.36,1
123,1.832,534.909,0.01,54.487,1
123,30.786,0,19.53,2.36,1
123,30.786,0.331,0.428,54.487,1
124,41.464,0.001,385.117,0.716,3
125,1.878,824.913,0.011,342.693,1
126,0.498,27.385,0.433,1.105,1
126,0.498,2722.615,0.041,82.78,2
126,22.535,0.001,42.265,1.105,1
127,0.327,12.13,0.372,3.056,1
127,0.327,463.127,0.008,97.741,1
127,32.122,0.007,36.795,3.056,1
128,5.091,493.586,0.002,60.077,1
128,5.115,8.503,0.096,0.73,1
128,118.791,0,7.095,0.73,1
128,118.791,0.131,0.137,60.077,1
129,516.856,0.001,383.554,2.025,1
