parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,2,02-20,02,00-02-20,2,0.15,-6.298937,4.710826,0.15
1,2,02-20,20,00-02-20,2,0.85,6.752326,-6.72569,0.85
2,2,02-20,02,02-20,2,0.05,-3.528129,2.979162,0.05
2,2,02-20,20,02-20,2,0.95,6.048678,-9.528203,0.95
3,3,01-02-20,02,01-02-20,3,0.4,-7.752713,7.269653,0.4
3,3,01-02-20,01,01-02-20,3,0.48,-7.752713,0.722422,0.48
3,3,01-02-20,20,01-02-20,3,0.12,4.582975,-5.354348,0.12
4,2,02-20,20,02-10-20,2,0.14,6.754688,-2.229048,0.14
4,2,02-20,02,02-10-20,2,0.86,-4.161412,7.509907,0.86
5,2,02-20,20,02-20,2,0.1,6.43292,-1.819838,0.1
5,2,02-20,02,02-20,2,0.9,-4.683806,6.613838,0.9
6,3,00-02-20,02,00-02-20,3,0.36,-3.949653,4.733905,0.36
6,3,00-02-20,20,00-02-20,3,0.22,5.628144,-6.310954,0.22
6,3,00-02-20,00,00-02-20,3,0.42,1.454827,-0.539313,0.42
7,3,02-12-20,12,02-12-20,3,0.69,1.656973,6.57428,0.69
7,3,02-12-20,02,02-12-20,3,0.27,-4.64166,6.574468,0.27
7,3,02-12-20,20,02-12-20,3,0.04,8.109543,-4.134373,0.04
8,3,00-02-20,02,00-02-20,3,0.24,-5.805173,4.550882,0.24
8,3,00-02-20,00,00-02-20,3,0.39,0.369165,-1.933479,0.39
8,3,00-02-20,20,00-02-20,3,0.37,6.537831,-8.102148,0.37
9,3,00-02-20,02,00-02-20,3,0.52,-8.242083,6.960331,0.52
9,3,00-02-20,00,00-02-20,3,0.47,-1.937598,1.00406,0.47
9,3,00-02-20,20,00-02-20,3,0.01,4.054234,-3.460149,0.01
10,4,02-12-20-21,02,02-12-20-21,4,0.16,-2.891487,6.778187,0.16
10,4,02-12-20-21,12,02-12-20-21,4,0.22,1.968595,6.741587,0.22
10,4,02-12-20-21,20,02-12-20-21,4,0.31,6.847474,-4.044917,0.31
10,4,02-12-20-21,21,02-12-20-21,4,0.31,6.847461,1.152079,0.31
11,3,02-12-20,12,02-12-20,3,0.1,-0.427234,5.9836,0.1
11,3,02-12-20,02,02-12-20,3,0.17,-6.744825,6.000553,0.17
11,3,02-12-20,20,02-12-20,3,0.73,5.352757,-4.955627,0.73
12,3,01-02-20,02,01-02-20,3,0.11,-4.826566,5.927463,0.11
12,3,01-02-20,20,01-02-20,3,0.47,7.243364,-6.407913,0.47
12,3,01-02-20,01,01-02-20,3,0.42,-4.826566,0.2219,0.42
13,2,02-20,02,02-20,2,0.88,-6.988147,7.074376,0.88
13,2,02-20,20,02-20,2,0.12,3.104494,-4.011759,0.12
14,4,01-02-20-22,22,01-02-20-22,4,0.26,2.970566,3.677462,0.26
14,4,01-02-20-22,20,01-02-20-22,4,0.29,6.428599,-2.000226,0.29
14,4,01-02-20-22,02,01-02-20-22,4,0.25,-1.6872,6.555379,0.25
14,4,01-02-20-22,01,01-02-20-22,4,0.2,-1.683376,0.877705,0.2
15,2,02-20,20,02-10-20,2,0.31,6.883398,-2.33068,0.31
15,2,02-20,02,02-10-20,2,0.69,-4.216003,7.266283,0.69
16,2,02-20,20,01-02-20,2,0.1,6.182618,-4.969463,0.1
16,2,02-20,02,01-02-20,2,0.9,-5.530587,7.497191,0.9
17,3,02-20-21,02,02-20-21,3,0.84,-6.088144,6.8885,0.84
17,3,02-20-21,21,02-20-21,3,0.13,4.399995,0.829014,0.13
17,3,02-20-21,20,02-20-21,3,0.03,4.399995,-4.315936,0.03
18,3,01-02-20,01,01-02-11-12-20,3,0.05,-1.459253,1.336552,0.05
18,3,01-02-20,02,01-02-11-12-20,3,0.27,-2.256057,5.740899,0.27
18,3,01-02-20,20,01-02-11-12-20,3,0.68,6.95667,-4.601894,0.68
19,3,02-20-21,02,02-20-21,3,0.59,-4.019037,6.158554,0.59
19,3,02-20-21,21,02-20-21,3,0.23,6.577686,0.140375,0.23
19,3,02-20-21,20,02-20-21,3,0.18,6.671503,-3.903871,0.18
20,2,02-20,02,02-20-22,2,0.56,-3.226149,7.538843,0.56
20,2,02-20,20,02-20-22,2,0.44,6.970614,-3.721565,0.44
21,4,00-02-20-22,22,00-02-20-22,4,0.24,0.978092,2.692572,0.24
21,4,00-02-20-22,02,00-02-20-22,4,0.25,-5.595343,7.278735,0.25
21,4,00-02-20-22,00,00-02-20-22,4,0.09,-0.648402,0.681301,0.09
21,4,00-02-20-22,20,00-02-20-22,4,0.42,6.459961,-3.910522,0.42
22,3,00-02-20,00,00-02-20,3,0.43,-0.201638,0.422425,0.43
22,3,00-02-20,02,00-02-20,3,0.3,-4.964249,5.769907,0.3
22,3,00-02-20,20,00-02-20,3,0.27,5.490223,-4.67002,0.27
23,2,02-22,22,02-22,2,0.8,2.913212,4.213674,0.8
23,2,02-22,02,02-22,2,0.2,-1.814581,7.368391,0.2
24,2,02-20,02,02-20,2,0.21,-2.863032,5.228737,0.21
24,2,02-20,20,02-20,2,0.79,6.665318,-4.710895,0.79
25,3,02-20-21,21,02-20-21,3,0.19,6.894226,0.674501,0.19
25,3,02-20-21,02,02-20-21,3,0.63,-5.574501,7.128318,0.63
25,3,02-20-21,20,02-20-21,3,0.18,6.901038,-5.623005,0.18
26,2,02-20,02,02-20-22,2,0.17,-3.731306,5.555749,0.17
26,2,02-20,20,02-20-22,2,0.83,7.646405,-3.890481,0.83
27,2,02-20,20,02-20,2,0.42,5.833538,-2.126186,0.42
27,2,02-20,02,02-20,2,0.58,-3.083244,5.40965,0.58
28,2,02-20,02,02-20,2,0.14,-3.106138,7.162087,0.14
28,2,02-20,20,02-20,2,0.86,6.509376,-6.049114,0.86
29,2,02-20,20,02-20,2,0.95,8.272542,-7.11718,0.95
29,2,02-20,02,02-20,2,0.05,-4.48828,5.181066,0.05
30,2,20-22,20,20-22,2,0.36,6.606001,-2.77553,0.36
30,2,20-22,22,20-22,2,0.64,5.192694,2.584977,0.64
31,3,02-20-22,22,02-20-22,3,0.29,2.849883,2.620823,0.29
31,3,02-20-22,02,02-20-22,3,0.21,-3.244587,7.810115,0.21
31,3,02-20-22,20,02-20-22,3,0.5,7.363877,-4.094851,0.5
32,3,00-02-20,20,00-02-20,3,0.41,5.464197,-8.940713,0.41
32,3,00-02-20,00,00-02-20,3,0.58,-0.35877,-3.72683,0.58
32,3,00-02-20,02,00-02-20,3,0.01,-4.642098,2.69598,0.01
33,2,12-20,20,02-12-20,2,0.69,5.885447,-6.244423,0.69
33,2,12-20,12,02-12-20,2,0.31,0.871567,6.314904,0.31
34,2,02-20,20,02-20,2,0.87,8.348517,-7.61011,0.87
34,2,02-20,02,02-20,2,0.13,-1.097702,4.571121,0.13
35,3,02-20-22,22,02-20,3,0.18,1.842473,4.161265,0.18
35,3,02-20-22,02,02-20,3,0.07,-4.332077,6.315292,0.07
35,3,02-20-22,20,02-20,3,0.75,8.01121,-6.022181,0.75
36,3,02-11-21,11,02-11-21,3,0.01,0.721514,0.986666,0.01
36,3,02-11-21,02,02-11-21,3,0.66,-5.1102359999999996,6.737117,0.66
36,3,02-11-21,21,02-11-21,3,0.33,6.813372,0.968849,0.33
37,3,02-20-22,20,02-20-22,3,0.1,7.154105,-4.48442,0.1
37,3,02-20-22,02,02-20-22,3,0.21,-2.974852,6.80101,0.21
37,3,02-20-22,22,02-20-22,3,0.69,2.089627,1.596906,0.69
38,2,02-20,20,02-20,2,0.29,5.333903,-5.690314,0.29
38,2,02-20,02,02-20,2,0.71,-5.480846,5.246396,0.71
39,2,02-20,02,02-20,2,0.46,-3.100554,5.080646,0.46
39,2,02-20,20,02-20,2,0.54,6.627849,-4.087994,0.54
40,2,02-20,20,01-02-20,2,0.06,6.623865,-4.452583,0.06
40,2,02-20,02,01-02-20,2,0.94,-5.35431,7.186795,0.94
41,1,02,02,02-20,1,1,-7.113994,6.758378,1
42,2,02-20,02,01-02-20,2,0.24,-1.748558,5.941736,0.24
42,2,02-20,20,01-02-20,2,0.76,7.2390930000000004,-4.231119,0.76
