parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
5344,2,0303-1010,1010,0303-1010,2,1,76.997,0,208.133,1.405,1
5345,2,1000-1303,1000,1010-1303,2,0.25,77.346,0.007,4.569,17.537,0.25
5345,2,1000-1303,1303,1010-1303,2,0.5,12.583,19.514,0.022,119.405,0.5
5346,3,0303-1010-1013,0303,0303-1010-1013,3,0.16666666666666666,2.733,434.335,0.453,115.628,0.16666666666666666
5346,3,0303-1010-1013,1010,0303-1010-1013,3,0.2,111.928,0.001,403.228,1.534,0.2
5346,3,0303-1010-1013,1013,0303-1010-1013,3,0.3333333333333333,111.928,0.031,33.112,115.628,0.3333333333333333
5347,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.5,2.817,326.015,0.004,106.655,0.5
5347,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.16666666666666666,203.317,0.001,28.036,2,0.16666666666666666
5347,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.25,203.137,0.455,0.349,106.655,0.25
5347,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,1,2.817,58.186,0.353,2,1
5348,1,1010,1010,1010,1,0.2,138.781,0,104.964,0.144,0.2
5349,3,0303-1010-1013,0303,0303-1010-1013,3,0.3333333333333333,9.167,1682.391,2.56,87.323,0.3333333333333333
5349,3,0303-1010-1013,1013,0303-1010-1013,3,0.5,242.267,0.029,85.977,87.323,0.5
5349,3,0303-1010-1013,1010,0303-1010-1013,3,1,242.267,0.001,894.084,27.89,1
5350,1,1010,1010,1010,1,0.25,10.431,0,69.502,0.292,0.25
5351,3,0300-0303-1010,0300,0300-0303-1010,3,0.16666666666666666,0.922,18.059,3.559,1.935,0.16666666666666666
5351,3,0300-0303-1010,0303,0300-0303-1010,3,0.2,0.922,1627.183,0.081,128.041,0.2
5351,3,0300-0303-1010,1010,0300-0303-1010,3,0.3333333333333333,26.901,0.007,25.289,1.935,0.3333333333333333
5352,3,0300-0303-1010,0303,0300-0303-1010,3,0.5,15.113,1348.445,0.083,136.933,0.5
5352,3,0300-0303-1010,0300,0300-0303-1010,3,1,15.113,24.27,3.987,1.601,1
5352,3,0300-0303-1010,1010,0300-0303-1010,3,0.25,176.5,0.001,188.599,1.601,0.25
5353,2,0303-1003,1003,0303-1003,2,0.2,74.864,0.289,1.532,163.278,0.2
5353,2,0303-1003,0303,0303-1003,2,0.16666666666666666,1.171,498.253,0.122,163.278,0.16666666666666666
5354,1,1010,1010,0312-1010-1012,1,1,240.31,0,367.409,0.505,1
5355,2,1010-1013,1010,1010-1013,2,1,348.521,0.001,85.431,3.143,1
5355,2,1010-1013,1013,1010-1013,2,0.5,348.521,0.018,1.01,299.03,0.5
5356,1,0303,0303,0011-0113-0301-0303,2,0.5,0.291,3875.352,0.009,89.573,0.75
5356,1,0303,0303,0011-0113-0301-0303,2,0.25,0.291,3875.351,0.009,89.573,0.75
5357,1,0303,0303,0300-0303-1003-1010,1,0.8,2.306,787.535,0.022,104.099,0.8
5358,2,0302-1012,1012,0302-1012-1102,2,1,308.701,0.007,26.147,30.152,1
5358,2,0302-1012,0302,0302-1012-1102,2,0.6666666666666666,7.317,877.547,0.403,30.152,0.6666666666666666
5359,4,0301-0303-1011-1013,1013,0301-0303-1011-1013,4,0.2,214.752,0.084,6.852,192.146,0.2
5359,4,0301-0303-1011-1013,0301,0301-0303-1011-1013,4,0.25,2.549,11.375,0.931,5.557,0.25
5359,4,0301-0303-1011-1013,0303,0301-0303-1011-1013,4,0.5,2.327,607.064,0.465,192.146,0.5
5359,4,0301-0303-1011-1013,1011,0301-0303-1011-1013,4,0.16666666666666666,214.752,0,13.737,5.557,0.16666666666666666
5360,3,0010-0300-0303,0300,0010-0013-0300-0303,3,1,0.509,60.078,1.751,2.3,1
5360,3,0010-0300-0303,0010,0010-0013-0300-0303,3,0.5,30.099,0.052,131.589,2.3,0.5
5360,3,0010-0300-0303,0303,0010-0013-0300-0303,3,0.6666666666666666,0.506,537.903,1.386,52.249,0.6666666666666666
5361,1,1010,1010,1010,1,0.25,279.338,0,85.463,0.613,0.25
5362,2,0303-1010,1010,0303-1003-1010,2,0.2,149.022,0,50.098,3.885,0.2
5362,2,0303-1010,0303,0303-1003-1010,2,0.3333333333333333,1.896,1552.857,0.553,102.632,0.3333333333333333
5363,3,0010-0300-0303,0010,0010-0300-0303,3,0.5,3.783,0.046,79.088,4.257,0.5
5363,3,0010-0300-0303,0300,0010-0300-0303,3,0.3333333333333333,0.167,61.391,1.105,4.257,0.3333333333333333
5363,3,0010-0300-0303,0303,0010-0300-0303,3,1,0.167,717.43,0.025,108.042,1
5364,1,1010,1010,1010,1,0.25,95.915,0,72.971,0.335,0.25
5365,1,0010,0010,0010-0013-0303,1,0.5,29.101,0.037,416.094,1.709,0.5
5366,2,0310-1010,1010,0303-0310-1010-1013,2,0.3333333333333333,31.967,0.051,113.875,0.643,0.3333333333333333
5366,2,0310-1010,0310,0303-0310-1010-1013,2,0.6,0.369,39.074,7.454,0.643,0.6
5367,3,0300-0303-1010,0303,0300-0303-1010,3,0.5,2.049,3611.588,0.112,125.72,0.5
5367,3,0300-0303-1010,1010,0300-0303-1010,3,0.25,115.584,0.225,105.488,3.073,0.25
5367,3,0300-0303-1010,0300,0300-0303-1010,3,1,2.049,95.44,1.584,3.073,1
5368,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.16666666666666666,3.044,25.44,3.215,1.936,0.16666666666666666
5368,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.2,3.044,1922.416,0.135,98.638,0.2
5368,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.3333333333333333,159.836,0,65.355,1.936,0.3333333333333333
5368,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,1,159.836,0.503,3.611,98.638,1
5369,3,0300-0303-1010,0303,0300-0303-1010,3,0.25,1.224,4453.055,0.004,151.884,0.25
5369,3,0300-0303-1010,1010,0300-0303-1010,3,0.16666666666666666,65.047,0.005,15.282,2.167,0.16666666666666666
5369,3,0300-0303-1010,0300,0300-0303-1010,3,0.5,1.224,49.989,0.216,2.167,0.5
5370,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,1,244.079,0.002,96.318,5.062,1
5370,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.5,244.079,0.102,9.7,191.584,0.5
5370,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.2,2.751,2589.736,0.17,191.584,0.2
5370,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.3333333333333333,2.752,47.195,1.691,5.062,0.3333333333333333
5371,1,1010,1010,1010,1,0.25,148.256,0,215.14,0.422,0.25
5372,3,0300-0303-1010,1010,0300-0303-1003-1010,3,0.3333333333333333,351.9,0,47.646,1.968,0.3333333333333333
5372,3,0300-0303-1010,0300,0300-0303-1003-1010,3,0.2,7.153,26.844,0.717,1.968,0.2
5372,3,0300-0303-1010,0303,0300-0303-1003-1010,3,0.3333333333333333,7.14,1289.945,0.033,46.261,0.3333333333333333
5373,3,0010-0110-0303,0010,0010-0110-0300-0303,3,0.25,7.695,0.064,61.102,5.539,0.25
