Phase,Count,Frequency
0213-0313-1013,1,1.0066438494060802e-4
0213-1013,1,1.0066438494060802e-4
0300,14,0.0014093013891685123
0300-0301,2,2.0132876988121604e-4
0300-0301-1000-1001,1,1.0066438494060802e-4
0300-0301-1010,1,1.0066438494060802e-4
0300-0301-1010-1011,49,0.004932554862089792
0300-0302,3,3.0199315482182406e-4
0300-0302-1002-1010,13,0.0013086370042279041
0300-0302-1010,16,0.0016106301590497283
0300-0302-1010-1012,69,0.006945842560901953
0300-0302-1010-1012-1100,1,1.0066438494060802e-4
0300-0302-1010-1012-1112,2,2.0132876988121604e-4
0300-0303,33,0.0033219247030400645
0300-0303-0310-1010-1013,1,1.0066438494060802e-4
0300-0303-1000,14,0.0014093013891685123
0300-0303-1000-1003,12,0.0012079726192872962
0300-0303-1003-1010,315,0.03170928125629152
0300-0303-1003-1010-1013,1,1.0066438494060802e-4
0300-0303-1003-1010-1203,5,5.033219247030401e-4
0300-0303-1010,654,0.06583450775115764
0300-0303-1010-1013,272,0.02738071270384538
0300-0303-1010-1013-1103,8,8.053150795248641e-4
0300-0303-1010-1013-1113,1,1.0066438494060802e-4
0300-0303-1010-1013-1200,2,2.0132876988121604e-4
0300-0303-1010-1103,29,0.0029192671632776324
0300-0303-1010-1110,6,6.039863096436481e-4
0300-0303-1010-1200,2,2.0132876988121604e-4
0300-1000,21,0.0021139520837527683
0300-1010,834,0.08395409704046708
0300-1010-1100,6,6.039863096436481e-4
0300-1010-1110,2,2.0132876988121604e-4
0300-1010-1200,3,3.0199315482182406e-4
0300-1100,1,1.0066438494060802e-4
0300-1110,2,2.0132876988121604e-4
0301,3,3.0199315482182406e-4
0301-0302,1,1.0066438494060802e-4
0301-0302-1011-1012,1,1.0066438494060802e-4
0301-0303,17,0.0017112945439903362
0301-0303-1001,14,0.0014093013891685123
0301-0303-1001-1003,15,0.0015099657741091202
0301-0303-1001-1003-1103,1,1.0066438494060802e-4
0301-0303-1001-1101,1,1.0066438494060802e-4
0301-0303-1001-1103,2,2.0132876988121604e-4
0301-0303-1003-1011,44,0.004429232937386752
0301-0303-1011,54,0.005435876786792832
0301-0303-1011-1013,49,0.004932554862089792
0301-0303-1011-1013-1203,1,1.0066438494060802e-4
0301-0303-1011-1103,3,3.0199315482182406e-4
0301-0303-1011-1103-1111,1,1.0066438494060802e-4
0301-0303-1011-1111,2,2.0132876988121604e-4
0301-0303-1011-1113,1,1.0066438494060802e-4
0301-0303-1111,1,1.0066438494060802e-4
0301-0311-1011,1,1.0066438494060802e-4
0301-1001,9,9.059794644654722e-4
0301-1010-1011,13,0.0013086370042279041
0301-1011,27,0.002717938393396416
0301-1011-1111,2,2.0132876988121604e-4
0301-1011-1201,1,1.0066438494060802e-4
0301-1101,1,1.0066438494060802e-4
0302,10,0.0010066438494060802
0302-0303,9,9.059794644654722e-4
0302-0303-1002-1003,2,2.0132876988121604e-4
0302-0303-1003-1012,2,2.0132876988121604e-4
0302-0303-1012,3,3.0199315482182406e-4
0302-0303-1012-1013,3,3.0199315482182406e-4
0302-0303-1012-1103,1,1.0066438494060802e-4
0302-0310-1002-1010,1,1.0066438494060802e-4
0302-0310-1010-1012,4,4.026575397624321e-4
0302-0310-1110,1,1.0066438494060802e-4
0302-1002,7,7.046506945842561e-4
0302-1002-1010,6,6.039863096436481e-4
0302-1010,5,5.033219247030401e-4
0302-1010-1012,57,0.0057378699416146565
0302-1010-1012-1112,1,1.0066438494060802e-4
0302-1010-1110,1,1.0066438494060802e-4
0302-1010-1112,1,1.0066438494060802e-4
0302-1011-1012,1,1.0066438494060802e-4
0302-1012,36,0.0036239178578618887
0303,703,0.07076706261324743
0303-0310,8,8.053150795248641e-4
0303-0310-1003-1010,6,6.039863096436481e-4
0303-0310-1010,32,0.0032212603180994566
0303-0310-1010-1013,40,0.004026575397624321
0303-0310-1010-1013-1103,1,1.0066438494060802e-4
0303-0310-1010-1013-1113,1,1.0066438494060802e-4
0303-0310-1010-1110,2,2.0132876988121604e-4
0303-0310-1110-1113,1,1.0066438494060802e-4
0303-0311,6,6.039863096436481e-4
0303-0311-1003-1011,4,4.026575397624321e-4
0303-0311-1011,9,9.059794644654722e-4
0303-0311-1011-1013,30,0.0030199315482182403
0303-0311-1011-1111,1,1.0066438494060802e-4
0303-0312-1012,1,1.0066438494060802e-4
0303-1000,1,1.0066438494060802e-4
0303-1000-1003,9,9.059794644654722e-4
0303-1001,2,2.0132876988121604e-4
0303-1001-1003,4,4.026575397624321e-4
0303-1003,332,0.03342057580028186
0303-1003-1010,354,0.035635192268975234
0303-1003-1010-1103,11,0.001107308234346688
0303-1003-1010-1203,6,6.039863096436481e-4
0303-1003-1011,3,3.0199315482182406e-4
0303-1003-1103,5,5.033219247030401e-4
0303-1003-1203,3,3.0199315482182406e-4
0303-1010,375,0.037749144352728005
0303-1010-1013,856,0.08616871350916046
0303-1010-1013-1103,9,9.059794644654722e-4
0303-1010-1013-1113,17,0.0017112945439903362
0303-1010-1013-1203,6,6.039863096436481e-4
0303-1010-1013-1300,1,1.0066438494060802e-4
0303-1010-1103,24,0.0024159452385745924
0303-1010-1110,1,1.0066438494060802e-4
0303-1010-1110-1300,1,1.0066438494060802e-4
0303-1010-1113,5,5.033219247030401e-4
0303-1010-1203,2,2.0132876988121604e-4
0303-1010-1300,1,1.0066438494060802e-4
0303-1011,5,5.033219247030401e-4
0303-1011-1013,30,0.0030199315482182403
0303-1011-1013-1113,1,1.0066438494060802e-4
0303-1011-1303,2,2.0132876988121604e-4
