107.284,0.231	107.284,3.978	0.016,71.960
660.558,0.034	0.100,60.975	8.582,60.975
0.304,3.243	14.071,0.635	0.027,268.004
61.473,0.043	0.011,3.924	0.011,169.106
160.829,0.185	0.035,122.853	2.845,4.828
0.717,0.554	46.589,0.018	0.022,50.943
473.925,0.588	473.925,10.551	0.137,418.017	8.055,418.017
3.637,1.034	144.317,0.013	0.037,96.809
175.333,0.061	0.061,298.112	5.576,298.112
0.487,0.444	48.180,0.019	0.487,4.005
2.054,1.822	73.746,0.062	0.048,113.832
1.872,0.350	139.124,0.350	1.872,5.327	139.124,5.327	0.046,429.204
1.127,0.599	75.601,0.042	0.060,57.014
161.182,0.090	161.182,8.772	0.340,223.659
51.343,0.110	0.104,254.736
271.949,0.026	0.744,73.054
78.529,0.018	78.529,1.307	0.462,126.269
1.308,0.185	34.224,0.003	0.015,14.384
99.461,0.183	0.445,708.910
1.283,1.036	13.028,0.018	0.052,51.186
2.208,0.961	178.836,0.011	0.046,84.713
288.716,0.092
3.213,0.108	179.534,0.108	0.036,237.193
52.976,0.187	0.066,107.730
93.022,0.018	93.022,1.155	0.146,89.846	6.520,89.846
422.584,0.004	0.177,14.292	7.315,14.292
2.541,1.364	150.535,0.032	150.535,2.515	0.145,107.445
0.650,1.988	17.745,0.026	0.027,61.059
0.707,1.901	48.604,0.101	48.604,4.730	0.043,89.464	2.981,89.464
3.396,2.635	189.443,0.066	0.037,68.706
26.003,0.028	0.008,36.757
0.503,2.022	47.386,0.077	0.006,38.676
0.244,1.425	13.068,0.020	0.003,41.520
79.876,0.238	0.088,464.399
0.183,1.618	9.198,0.040	0.017,78.099
1.532,4.706	145.815,0.052	0.039,104.685
129.290,0.027	1.837,86.296
4.577,1.659	360.604,0.019	0.093,70.080
4.693,1.664	371.032,0.037	0.061,164.532
71.805,0.103	0.013,290.012
0.707,0.509	52.470,0.012	0.007,50.070
91.893,0.007	0.269,27.644	4.508,27.644
3.131,0.503	70.859,0.010	0.073,47.270
57.277,0.019	0.127,49.585
0.197,1.233	11.064,0.308	0.002,104.140
79.698,0.213	0.011,175.615
6.364,0.176	242.238,0.176	0.071,129.382
0.018,64.443
38.439,0.591	0.014,102.029
0.799,0.020	36.569,0.020	0.012,40.778
58.497,0.217	58.497,5.324	0.011,104.298
1.217,0.733	49.815,0.014	0.016,26.250
53.265,0.070	53.265,2.126	0.012,118.192
240.992,0.022	0.228,94.912
1.221,1.553	115.343,0.146	0.028,90.748
3.126,1.655	127.646,0.023	0.048,47.603
0.263,1.268	24.249,0.018	0.004,84.031
336.589,0.014
427.890,0.019	0.878,43.710
111.304,0.039	0.067,110.308
239.874,0.119
353.324,0.098	0.229,66.743
0.267,1.424	11.896,0.039	0.007,125.796
154.358,0.027	0.032,91.297	1.728,91.297
97.406,0.011	0.339,31.501
1.831,0.258	121.545,0.008	0.431,22.878
128.437,0.030	0.140,34.361	1.777,34.361
1.821,0.696	79.521,0.096	0.044,68.286	1.912,68.286
3.471,0.672	64.869,0.672	0.087,57.216
148.250,0.015	0.263,89.522	3.852,89.522
0.131,0.153	0.131,6.935
0.002,2.638	0.002,236.621
0.096,397.538
173.085,0.027	0.059,99.409	1.957,99.409
1.355,3.391	15.908,0.035	0.071,186.140
54.212,0.483	0.027,501.500
3.212,0.960	204.265,0.098	204.265,6.817	0.086,66.540
85.186,0.043	0.027,62.281	1.206,62.281
1.460,1.086	35.843,0.032	35.843,1.466	0.063,49.237
244.959,0.100	0.427,5.853	0.427,197.647
230.377,0.001
0.001,132.556
8.775,0.226	185.588,0.226	0.165,97.024
0.334,0.184	29.762,0.008	0.334,8.614
126.273,0.032	0.725,43.014
38.353,0.062	0.016,207.877
0.074,6.363	7.110,6.363	0.016,486.367
