3.534,1.851	246.436,0.087	0.068,111.540
103.269,1.762	103.269,8.365	0.026,75.380
0.487,0.886	37.125,0.010	0.006,79.191
137.054,0.323	137.054,5.133	0.409,204.344	7.325,204.344
244.243,2.173	1.308,583.770	15.326,30.139
114.075,0.052	0.057,80.667
30.742,0.167	0.005,116.806
111.236,0.064	0.431,74.359
0.927,3.396	49.820,0.073	0.041,52.628
152.875,0.097	0.042,323.099
2.797,5.054	98.924,0.051	0.034,348.241
4.394,0.082	173.299,0.082	0.107,127.513
80.718,0.090	0.070,215.546
2.608,0.579	123.359,0.009	0.035,46.760
0.246,0.377	10.910,0.004	0.005,31.862
237.655,0.066	0.046,283.576	4.582,283.576
0.001,132.274
3.530,0.030	202.149,0.030	0.121,116.949
8.396,3.485	256.611,0.111	0.974,138.095
3.221,0.017	64.834,0.017	0.050,67.940
802.138,0.158	0.134,135.436
1.841,1.098	49.291,0.015	0.095,97.433
50.668,0.067	0.013,15.837
1.479,1.024	128.673,0.024	0.018,38.082
0.293,8.301	19.114,0.172	0.005,118.117
146.594,0.331	0.142,237.508
3.134,2.049	217.296,0.046	0.037,76.510
569.951,0.017	0.283,102.602
1.192,0.054	48.286,0.054	0.026,138.494
1.677,0.249	146.231,0.008	0.032,21.009
336.192,0.140	0.041,45.792
2.431,0.293	138.785,0.037	0.070,20.884
43.183,0.131	0.005,124.573
3.422,1.821	189.269,0.106	189.269,6.220	0.375,106.690
4.000,0.706	47.495,0.014	0.533,69.361
1.512,1.448	83.810,0.019	0.086,115.195
7.278,0.076	125.812,0.076	0.256,61.404
1.261,1.582	82.000,0.035	0.025,40.755
2.775,0.071	185.015,0.071	0.717,278.932
2.050,0.090	132.448,0.090	0.036,181.036
0.641,3.593	51.599,0.203	0.007,243.857
4.766,0.015	222.874,0.015	0.138,131.005
1.758,0.115	133.803,0.002	0.033,4.343
2.858,0.005	160.193,0.005	0.037,18.535
3.260,1.957	201.879,0.025	0.041,114.916
90.117,0.044	0.044,104.328
2.656,0.963	148.345,0.017	0.034,86.013
81.664,0.051	0.043,147.796	2.668,147.796
171.403,0.072	0.033,6.960	0.033,411.796
1.170,0.046
1.217,2.349	100.348,0.087	0.067,120.196	5.502,120.196
69.248,0.019	1.610,119.638
2.202,0.172	46.247,0.172	0.073,268.222
24.067,0.176	0.006,750.917
122.412,0.021	122.412,0.978	0.032,93.727
182.704,0.010	0.132,0.921	0.132,71.926
0.539,0.424	26.286,0.035	0.005,12.966
1.951,1.975	133.229,0.021
2.417,0.013	79.660,0.013	0.052,40.989
37.258,0.150	0.007,486.761
0.864,6.891	67.040,0.230	0.014,79.624
31.134,0.045	0.041,4.252	0.041,155.527
0.888,2.796	72.230,0.054	0.022,22.755
0.669,1.251	55.244,0.056	55.244,4.680	0.010,104.890
858.246,0.060	4.958,2.569	4.958,129.313
48.338,0.022	0.090,1.029	0.090,78.662
63.335,0.268	0.009,87.012
1.200,0.942	102.912,0.013	0.035,89.784
0.883,1.647	46.249,0.061	0.049,135.617
0.136,2.038	12.859,0.022	0.003,63.108
108.753,0.054	0.013,2.276	0.013,143.226
149.248,0.041	0.246,68.746
119.095,0.002
0.001,103.807
50.828,0.035	50.828,1.809	0.028,154.487
0.474,4.436	44.723,0.057	0.008,263.317
2.680,0.833	257.076,0.035	0.036,80.388
