parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
5705,3,1010-1013-1303,1303,1010-1113-1303,3,0.24,2.139903,3.935469,-4.637353,6.727166,0.24
5706,2,0303-1013,1013,0213-0403-1013,2,0.5,4.768325,-8.160862,2.029169,7.455221,0.5
5706,2,0303-1013,0303,0213-0403-1013,2,0.5,-1.866545,9.49963,-3.40477,7.455221,0.5
5707,2,0310-1010,0310,1010,2,0.52,2.059111,1.581132,0.971945,-0.136599,0.52
5707,2,0310-1010,1010,1010,2,0.48,7.244899,-8.376167,6.691554,-0.136599,0.48
5708,4,1010-1011-1300-1301,1010,1010-1011-1300-1301,4,0.57,8.294107,-10.580731,6.510692,-2.968598,0.57
5708,4,1010-1011-1300-1301,1301,1010-1011-1300-1301,4,0.04,3.296502,2.025187,-0.107985,3.538353,0.04
5708,4,1010-1011-1300-1301,1011,1010-1011-1300-1301,4,0.04,8.294107,-10.580731,6.510628,3.538353,0.04
5708,4,1010-1011-1300-1301,1300,1010-1011-1300-1301,4,0.35,3.296502,2.025187,-0.107921,-2.968598,0.35
5709,4,0300-0303-1010-1103,0300,0403-1010-1200-1203,4,0.32,0.064139,4.891685,1.453237,-0.340602,0.32
5709,4,0300-0303-1010-1103,0303,0403-1010-1200-1203,4,0.12,0.064139,9.734477,-4.643052,5.316406,0.12
5709,4,0300-0303-1010-1103,1010,0403-1010-1200-1203,4,0.52,6.182653,-12.142011,7.021985,-0.340602,0.52
5709,4,0300-0303-1010-1103,1103,0403-1010-1200-1203,4,0.04,6.182653,-1.363724,-4.643052,5.316406,0.04
5710,4,0300-0303-1010-1013,1010,0403-1010-1113,4,0.51,4.288853,-12.137011,6.059545,-0.257325,0.51
5710,4,0300-0303-1010-1013,1013,0403-1010-1113,4,0.04,4.288853,-7.201726,2.8194,6.146208,0.04
5710,4,0300-0303-1010-1013,0300,0403-1010-1113,4,0.37,-2.152045,4.098653,0.785156,-0.257325,0.37
5710,4,0300-0303-1010-1013,0303,0403-1010-1113,4,0.08,-2.152045,9.033938,-2.454989,6.146208,0.08
5711,3,1010-1300-1303,1303,1110-1403,3,0.06,2.087917,4.737527,-6.36642,5.835344,0.06
5711,3,1010-1300-1303,1010,1110-1403,3,0.24,8.175165,-7.940326,5.615161,-0.074066,0.24
5711,3,1010-1300-1303,1300,1110-1403,3,0.7,4.469552,0.310962,-0.268694,-0.074066,0.7
5712,3,1010-1013-1303,1010,1010-1013,3,0.58,7.093593,-16.240288,6.304897,1.155893,0.58
5712,3,1010-1013-1303,1013,1010-1013,3,0.25,7.093593,-10.182259,2.815189,7.744572,0.25
5712,3,1010-1013-1303,1303,1010-1013,3,0.17,0.530028,2.662521,-3.063826,7.744572,0.17
5713,1,1010,1010,-1,1,1,9.148503,-9.253175,3.187986,-5.027616,1
5714,4,0303-0310-1010-1013,1010,0403-1010-1113,4,0.12,6.782074,-7.738142,8.074997,2.337782,0.12
5714,4,0303-0310-1010-1013,1013,0403-1010-1113,4,0.11,6.782074,-3.728608,3.847939,7.453673,0.11
5714,4,0303-0310-1010-1013,0310,0403-1010-1113,4,0.19,0.527918,2.396701,1.895168,2.337781,0.19
5714,4,0303-0310-1010-1013,0303,0403-1010-1113,4,0.58,0.527917,12.243278,-2.33189,7.453673,0.58
5715,1,1010,1010,1010,1,1,6.680963,-13.808646,4.868467,-2.738676,1
5716,3,0010-0310-0313,0313,0110-0413,3,0.59,-4.270945,7.020399,2.602102,7.046811,0.59
5716,3,0010-0310-0313,0010,0110-0413,3,0.13,1.622457,-3.797801,8.214614,1.956004,0.13
5716,3,0010-0310-0313,0310,0110-0413,3,0.28,-4.270945,2.781284,7.569849,1.956004,0.28
5717,4,0300-0303-1003-1010,0300,0403-1010-1203,4,0.1,1.776545,4.323687,-1.713559,1.629243,0.1
5717,4,0300-0303-1003-1010,1010,0403-1010-1203,4,0.5,7.238764,-14.770271,4.553833,1.629243,0.5
5717,4,0300-0303-1003-1010,1003,0403-1010-1203,4,0.25,7.238764,-3.05014,-2.069661,8.234195,0.25
5717,4,0300-0303-1003-1010,0303,0403-1010-1203,4,0.15,1.776545,9.895573,-8.337052,8.234195,0.15
5718,3,1010-1013-1303,1010,1010-1013,3,0.75,7.55711,-12.809791,7.150162,0.490651,0.75
5718,3,1010-1013-1303,1303,1010-1013,3,0.09,1.924125,1.679528,-5.387123,6.928268,0.09
5718,3,1010-1013-1303,1013,1010-1013,3,0.16,7.55711,-7.183308,0.545061,6.928268,0.16
5719,3,1010-1013-1313,1010,1010-1113,3,0.66,7.833586,-8.505012,9.310786,0.193949,0.66
5719,3,1010-1013-1313,1013,1010-1113,3,0.16,7.833586,-3.657952,5.716538,6.379286,0.16
5719,3,1010-1013-1313,1313,1010-1113,3,0.18,1.441711,0.173483,3.562853,6.379286,0.18
5720,2,0303-1003,0303,0403,2,0.36,1.564222,9.206373,-3.63376,7.837654,0.36
5720,2,0303-1003,1003,0403,2,0.64,7.746812,-1.353499,0.06572,7.837654,0.64
5721,2,0303-1013,0303,0313-0403,2,0.7,-1.402965,9.35881,-4.759276,6.773024,0.7
5721,2,0303-1013,1013,0313-0403,2,0.3,4.946355,-8.173956,1.84286,6.773024,0.3
5722,1,0310,0310,0410,1,1,-0.875484,2.999137,1.582005,-0.815099,1
5723,4,0210-0303-1010-1013,0303,0210-0313-0403-1010,4,0.47,0.391,11.09099,-4.095892,7.262923,0.47
5723,4,0210-0303-1010-1013,1013,0210-0313-0403-1010,4,0.29,6.945177,-6.579206,0.98740000000000006,7.262923,0.29
