parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
335,3,0313-1010-1013,0313,0313-1010,3,0.02,1.587781,3.395757,-0.650661,5.635965,0.02
335,3,0313-1010-1013,1013,0313-1010,3,0.02,5.931537,-3.301434,3.878788,5.635965,0.02
336,3,0303-1003-1010,0303,0403-1010,3,0.09,-1.725592,6.455252,-5.085043,6.002979,0.09
336,3,0303-1003-1010,1010,0403-1010,3,0.84,4.341247,-17.093432,6.96843,-0.291829,0.84
336,3,0303-1003-1010,1003,0403-1010,3,0.07,4.341247,-5.565772,0.906518,6.002979,0.07
337,4,0300-0302-1010-1012,0302,0402-1010-1012,4,0.09,2.905855,8.2359000000000009,-0.110999,4.799462,0.09
337,4,0300-0302-1010-1012,1010,0402-1010-1012,4,0.63,8.323362,-13.062398,5.472274,-1.62709,0.63
337,4,0300-0302-1010-1012,0300,0402-1010-1012,4,0.08,2.905855,3.403995,-0.110994,-1.62709,0.08
337,4,0300-0302-1010-1012,1012,0402-1010-1012,4,0.2,8.323362,-8.230503,5.472268,4.799462,0.2
338,3,0303-0310-1010,1010,0310-0403,3,0.35,7.200117,-8.13991,9.51148,0.391665,0.35
338,3,0303-0310-1010,0310,0310-0403,3,0.29,1.1883,2.397183,4.927212,0.391665,0.29
338,3,0303-0310-1010,0303,0310-0403,3,0.36,1.1883,12.043465,0.700436,6.674895,0.36
339,3,0300-0303-1010,1010,0110-0403-1010,3,0.35,7.328471,-11.311161,5.653803,-0.067189,0.35
339,3,0300-0303-1010,0300,0110-0403-1010,3,0.39,1.390207,4.900848,-0.378956,-0.067189,0.39
339,3,0300-0303-1010,0303,0110-0403-1010,3,0.26,1.390207,11.324455,-6.280008,6.509393,0.26
340,3,0303-1003-1010,1003,0403-1010-1103,3,0.81,5.02839,-3.148289,-2.878177,6.782938,0.81
340,3,0303-1003-1010,0303,0403-1010-1103,3,0.13,-1.273493,4.886132,-9.006695,6.782938,0.13
340,3,0303-1003-1010,1010,0403-1010-1103,3,0.06,5.02839,-14.223142,3.131449,1.206939,0.06
341,2,0303-1010,1010,0403-1010,2,0.4,5.138839,-9.873583,6.479534,2.633952,0.4
341,2,0303-1010,0303,0403-1010,2,0.6,0.107473,10.088891,-4.978609,8.012055,0.6
342,1,0303,0303,0403,1,1,-0.63585,9.985714,-0.584487,9.255174,1
343,1,1010,1010,1010,1,1,6.610065,-15.047851,6.804122,-0.277304,1
344,4,0300-0303-1010-1103,0303,0400-0403-1010-1100-1203,4,0.49,0.195766,9.765008,-7.022933,9.371616,0.49
344,4,0300-0303-1010-1103,1103,0400-0403-1010-1100-1203,4,0.18,6.314829,-0.879599,-7.022933,9.371616,0.18
344,4,0300-0303-1010-1103,0300,0400-0403-1010-1100-1203,4,0.2,0.195766,4.993616,-1.37323,3.657898,0.2
344,4,0300-0303-1010-1103,1010,0400-0403-1010-1100-1203,4,0.13,6.314829,-12.082912,3.715263,3.657898,0.13
345,1,0303,0303,0403,1,1,-1.981738,11.164278,-4.764835,8.962104,1
346,2,0300-1010,0300,0110-1010,2,0.25,1.90514,3.985809,-0.375393,-0.531636,0.25
346,2,0300-1010,1010,0110-1010,2,0.75,7.620988,-9.258054,6.188067,-0.531636,0.75
