2001	0202
2020	2001	0202
2020	0202
0020	0202
2020	0202
0210	2020
2101	0202
2020	0202
0200	2020
2020	0202
2020	0202
2020	0202
2020	0202
0200	2020
1200	2020	0202
2020	1002
0020	0202
0202
2020	0202
2020	0202	0012
2020	0201
-1
2020	0002
2020	0102
2020	0202	0012
2020	0202	0012
0202
2020	0002
2000	0200
2020	0202
2020	0202
2020	1002	0102
2100	2020	0202
2020	0202	0012
2020
1101	0201	1021
2020
0202
2020	0202
2020	0202
1020	0202
2020	0202
0210	2020	0202
2020	0202
2020	0002
2020	0202
2020	0202
2020	0202
0120	0202
2020
1200	2020	0202
2000	0202
2020	0202
2020	0211	0021	0202
0210	2020	0202
2100	2020	0201
2020	0202
2020	0202
0202
2101	0202
2020	0202
0202
2020	0202
0202
0200	2020
2020	0202
2020	0202
2020
1200	2010	0202
2010	0002
2020	0202
0202
2020	0202
2020	0202
1020	0202
2020	2001	0202
2020	0202
2010	0201
0202
2020	0202
2020	0202
2020	0202
2000	0202
2020	0202
0202
2001	1201	0202
2001	0202
2020	0102
0210	0020	0202
2010
2020	0202
2020	0021	0202
2020	0202	0012
2020	0202
1020	0202
2020	0202
2020	0202
0210	2020	0202
2020	0002
2010	0202
2100	0202
2020	0202
1200	2020
2020	0202
2020
1020	0202
2020	0202
2020	0202	0012
0202
2020	2001	0202
2020	2101	0202
0210	2020	0202
2010	0202
2020	1002	0202
2020	0211	0021	0202
2020	0202
2020	0202
2020	1002	0202
2020	0202
2020	0202
1200	2020	1120	0202
2020	1002	0202
2020	0102
2020	0202
0202
2020	0202	0012
2020	0202
2020	2001	0202
2020	0202
2020	1021	1002	0202
2020	0202
2010	0202
2020	0202
2020	0202
2020
2020	0202
2020	0202
2020	0202
2020
2020	1002	0202
2100	0202
2020	1002	0202
2020	0202
2020	0202
2100	0202
2020	0202
2020	0202
2020	0202
2020	0202
0202
2020	0121	0202
1200	2020
2020	0202
2020	0202	2012
2010	0202
0210	2020	0202
2020
2020	0201
2020	0202
2020	2001	0202
0210	2020	0202
2020	0202
0020	0102
2020	0202
0220	0202
0202
1020	0202
2020	0202
2020	0202
2020	0202
1200	2020	0202
2020	0202
0202
2020	0202
2020	0002
2020	1002	0202
2110	0210	2020	0202
1200	2020	0202
0200	2020	0120
2020	0202
2020	0021	0002
0020	0102
2100	2020	0202
2020	1002	0202
2020	0202
2020	0202
2010
2020	0120	0102
2020	0202
2020	0202
0210	2020	0202
2020	0202
2020	0202
2020	1012
2020	0202	1012
0012
2020
2020	1002	0202
2110	0210	0202
2020	0202
2020	1021
2020	2001	0202
2020	0202
2020	0202
0020
2020	0202
2020	0202
2020	0121	0202
2020	0202
1020	0202	0012
2020	1201	0202
2010	0102
1200	2020	0202
2020
0202
2020	0021	0202
2020	0102
2020	0202
2020	0202
2020	0102
2020	2001	0202
2020	0201
2000	0202
2020	0202	0012
2020	0202
2020	0202
2020	0202
2020	0202
0210	2020	0120	0202
2020	0102
2020	0201	0021
2000	0202
2020	0202
2020	0202
2020	0202
2100	2020	0202
2020	0202
1022
2020
1020	0021	0202
2020	0102
0200	0020
0020	0202
2001	1002	0202
2020	0202
2020	0202
2020	0202
2020	0202
2020	0102
0210	0020	0202
2100	2020	0202
1200	2010
0201
2020	0202
2020	0202	0022
2100	2020	0202
1020	0202
1200	2020	0202
2020	1002	0202
1002	0202
2020	0202
2020	0202
2020
0210	2020	0202
2020	0202
2020	0021	0202	0012
2020	0202
2020	0202
1210	2020	2001	1201	0202
2020	0202
2001	0202
2020	0021
2020	2101	0202
1020	0202
1020	0202	0012
2020	2001	0202
0020	0201
2020	0202
2020	0002
0020	0202	0012
2020
2020	0202
2020	0202
2020	0201
2020	0202
2020
2020	0202
2020	0102
2020	0202
1020	0202
2020	0202
2020	1002	0202
2020	0120	0202
2020	0202
2020	0202
0202
2020	0202
2020	0002
2020	0201
2020	0202
0202
1020	0102
0020	0202
2020	0202
2020	0120	0202
0202
2100	2020	0202
2020	0202
2020	0202
2020	0102
2020	0202
2020	0202
2020	0211	0202
2020	0202
2020	0202
2020	0021	0202
2020	0202
2020	1002	0202
2020	0120	0202
2020	0202
2020	0202
2020	2001	0202
2020	0021	0202
2020	0202
2000	1100	0102
2020	0202
0210	2020	0202
2000	0202
2020	0202
2020
2020	0202
2020	0202
2100	2010	0201
2020	0102
2110	0210	2020	0202
2001	0202
2100	2020	0202
2020	0120	0202
2020	1102
0020	0202
2020	0202
2020	2002	0202
0020	0202
2100	2020	0202
2020	0202
2020	0220	0202
2020	0202
2020	0202
2020	0202
2020	0021	0202
2020	0202
2020	0202
2100	1102	0202
2020	0021	0202
0202
2020
1200	2020	0202
2020
2000	0202
2020	0202
1200	2020	0202
2020	0201
2020	0202
0202
2020	2001	0202
2020	0202
2020	0202
2100	2020
2020	0021	0202
0202
2020	0202
2020	0202
1020	0202
0020	0202
2020	0102
2020	0202
0120	0202	0112
2020	0202
2020	0202
2020	0211	0021	0202
2020	0202
2020	0202
2020	0021	0102
1020	0202
0210	2020	0202
1020	0202	0012
2020
0202
2020	0202
2020	0202
2020	0202
2020	0202
2020	0202
0020	0201
2020	0021	0002
2020	1002	0202
2020	0202
2020	0002
2020	0202
2020	0202
2020	0202
2020	0021	0202
2020	0202
0200	2020
2020	0202
0020	0202
2100	1200	2020	0202
2020	2101	2011	0202
2100	2020	0202
2020	0202
2020	0102
2010	0002
2020	0202
2020	0202
2020	0002
0200	2010
2020	0021	0202	0012
2020	0202	0012
2020	0202
2020	0202
2010	0202
2020	2011	0202	0012
2020	0102
1200	2020	0202
2020	0021	0202
2001	0202
2020	0202
2010	0202
2020	0202
0210	2020	0202
2020	2001	0202
0210	2020	0202
2020	0202
2020	1002	0202
2020	0202
2020	0202
2100	2020	0202
2020	0202
2020	0102
2020	0120	1002	0202
2020	0202
2020	0202	0012
0200	2020
1020	0202
2020	0202
2100	1200	2020	0202
0202
2020	0202
2020	0202
2020	0201
0210	2020	0202
2020	0202
2020	0120	0202	0112
2020	0202
2100	2020	0202
2020
2020	2001	0202
2020	0202
2020	0202
0202
2001	0202
2000	0102
0120	0202
2020	2001	0202
2000	1200
0020	0202
0210	2020	0202
2020	0202
2020	0202
1102	0202
2020	0202
2020	0202
