parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
5907,2,0303-3030,3030,0033-0303-2030-2031-3030-3031,2,0.377,7.626153,-5.35498,7.824454,-5.091217,0.377
5908,4,0003-0023-0030-3030,0030,0002-0003-0022-0023-0030-0302-0303-3030,4,0.47,-3.805382,-10.344565,7.013969,-3.775506,0.47
5908,4,0003-0023-0030-3030,0003,0002-0003-0022-0023-0030-0302-0303-3030,4,0.281,-9.465755,-4.693522,-4.455312,7.522812,0.281
5908,4,0003-0023-0030-3030,3030,0002-0003-0022-0023-0030-0302-0303-3030,4,0.033,2.151989,-13.365402,7.165375,-8.103021,0.033
5908,4,0003-0023-0030-3030,0023,0002-0003-0022-0023-0030-0302-0303-3030,4,0.216,-9.465747,-7.08412,1.169104,6.938524,0.216
5909,1,3030,3030,0033-3030,1,1,8.269615,-10.775856,7.632874,-8.213266,1
5910,4,0033-0303-0330-3030,0303,0030-0300-0303-3030,4,0.802,-12.801837,8.217869,-8.541187,6.513236,0.802
5910,4,0033-0303-0330-3030,0330,0030-0300-0303-3030,4,0.021,-1.62484,2.427386,4.865152,-3.583016,0.021
5910,4,0033-0303-0330-3030,0033,0030-0300-0303-3030,4,0.023,-4.463828,-3.715824,4.532941,2.708342,0.023
5910,4,0033-0303-0330-3030,3030,0030-0300-0303-3030,4,0.154,5.509351,-7.193328,6.15809,-7.041824,0.154
5911,2,0303-3030,0303,0013-0303-1020-1030-3020-3030,2,0.07,-8.777794,5.284024,-7.819298,7.153461,0.07
5911,2,0303-3030,3030,0013-0303-1020-1030-3020-3030,2,0.93,7.807832,-11.294135,8.471374,-8.735675,0.93
5912,3,0303-3000-3030,0303,0003-0300-0303-1003-1300-3000-3030,3,0.215,-6.121154,5.467244,-9.639076,2.300658,0.215
5912,3,0303-3000-3030,3030,0003-0300-0303-1003-1300-3000-3030,3,0.137,4.823221,-8.690285,4.147075,-14.827357,0.137
5912,3,0303-3000-3030,3000,0003-0300-0303-1003-1300-3000-3030,3,0.648,4.823144,-4.537924,-2.400749,-9.263677,0.648
5913,2,0303-3030,3030,0303-3030,2,0.958,6.063108,-10.490606,7.095582,-7.945812,0.958
5913,2,0303-3030,0303,0303-3030,2,0.042,-4.634163,5.797573,-4.9054,6.746868,0.042
5914,3,0303-3030-3200,3200,0301-0303-3000-3030-3200,3,0.162,6.624383,1.186291,-2.667461,-5.982243,0.162
5914,3,0303-3030-3200,3030,0301-0303-3000-3030-3200,3,0.077,7.336542,-5.114006,5.051505,-12.096667,0.077
5914,3,0303-3030-3200,0303,0301-0303-3000-3030-3200,3,0.761,-11.377554,6.698164,-12.999967,6.307739,0.761
5915,2,0303-3030,3030,0303-0310-3030,2,0.892,7.305998,-8.816237,8.202281,-11.300356,0.892
5915,2,0303-3030,0303,0303-0310-3030,2,0.108,-10.131441,7.308247,-4.523197,4.279761,0.108
5916,2,0303-3030,3030,0003-0013-0301-0303-0311-3030,2,0.756,5.516873,-8.770485,6.900722,-12.007802,0.756
5916,2,0303-3030,0303,0003-0013-0301-0303-0311-3030,2,0.244,-11.940095,4.895787,-6.174198,6.322885,0.244
5917,2,0303-3031,3031,0303-3010-3011-3030-3031,2,0.361,6.332601,-8.396313,5.724041,0.224606,0.361
5917,2,0303-3031,0303,0303-3010-3011-3030-3031,2,0.639,-10.030426,6.617553,-11.618553,6.502129,0.639
5918,3,0303-3003-3030,0303,0301-0303-3003-3010-3030,3,0.387,-8.715828,5.678131,-7.723502,5.052118,0.387
