Phase,Count,Frequency
00,10,0.001
00-10-20,1,1e-4
00-20,244,0.0244
01,883,0.0883
01-10-20,438,0.0438
01-11,96,0.0096
01-11-20,522,0.0522
01-11-21,24,0.0024
01-20,6056,0.6056
01-20-21,53,0.0053
01-21,441,0.0441
10,2,2e-4
10-11-20,2,2e-4
10-20,75,0.0075
11,23,0.0023
11-20,92,0.0092
11-21,22,0.0022
20,938,0.0938
20-21,7,7e-4
21,71,0.0071
